epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.3455,0.84186,2.23838,0.60849,0.42326,0.41512,0.37791,0.17178,1.58625,3.18241,1.47025,0.000472697,0.000472697,0.000472697
2,115.978,1.02475,2.07112,0.69725,0.34823,0.33988,0.28279,0.12288,1.66153,3.28947,1.39956,0.000937286,0.000937286,0.000937286
3,170.756,1.07401,2.0632,0.7279,0.21309,0.22574,0.15477,0.06296,1.8369,14.2243,1.51583,0.00139009,0.00139009,0.00139009
4,225.639,1.0652,2.00331,0.7281,0.38846,0.40135,0.3553,0.15997,1.85707,3.485,1.54707,0.00137595,0.00137595,0.00137595
5,281.067,1.04926,1.88479,0.71748,0.47312,0.38325,0.39077,0.18256,2.00242,2.19456,1.60154,0.00135826,0.00135826,0.00135826
6,336.578,1.06417,1.82361,0.72374,0.48902,0.49511,0.48908,0.23391,1.35097,1.78507,1.09603,0.00134058,0.00134058,0.00134058
7,391.398,1.05832,1.7909,0.72297,0.5352,0.49711,0.50659,0.23466,1.38822,1.66946,1.11208,0.0013229,0.0013229,0.0013229
8,448.313,1.03011,1.72817,0.71155,0.57262,0.52085,0.5334,0.25453,1.31418,1.68285,1.05756,0.00130521,0.00130521,0.00130521
9,505.539,1.04379,1.69077,0.71686,0.59212,0.53329,0.55673,0.27332,1.31588,1.51112,1.07212,0.00128753,0.00128753,0.00128753
10,561.713,1.01813,1.6503,0.70818,0.57283,0.53413,0.56323,0.27906,1.19907,1.53464,0.98649,0.00126985,0.00126985,0.00126985
11,616.528,1.02961,1.61925,0.71424,0.63851,0.5135,0.58642,0.30832,1.20091,1.4526,1.02953,0.00125216,0.00125216,0.00125216
12,671.306,1.02826,1.60573,0.71639,0.60907,0.5738,0.58921,0.30519,1.19127,1.43915,1.00088,0.00123448,0.00123448,0.00123448
13,726.103,1.05,1.59108,0.72842,0.64351,0.57012,0.61519,0.31581,1.17614,1.42473,0.99576,0.00121679,0.00121679,0.00121679
14,780.541,1.00983,1.55692,0.71619,0.68618,0.57297,0.63964,0.31882,1.27216,1.29162,1.04088,0.00119911,0.00119911,0.00119911
15,835.155,1.00406,1.53971,0.70478,0.63712,0.5636,0.62236,0.31582,1.30958,1.37358,1.11808,0.00118143,0.00118143,0.00118143
16,890.306,1.00432,1.52339,0.71215,0.70198,0.57683,0.64818,0.34697,1.32254,1.31106,1.16364,0.00116374,0.00116374,0.00116374
17,944.761,1.01701,1.49381,0.72233,0.63539,0.61712,0.64872,0.34912,1.17905,1.31617,0.99664,0.00114606,0.00114606,0.00114606
18,999.738,1.00919,1.49743,0.71843,0.66061,0.5942,0.65876,0.3534,1.15328,1.33058,1.00875,0.00112837,0.00112837,0.00112837
19,1054.79,1.00167,1.48335,0.72518,0.66421,0.59173,0.64992,0.35242,1.13661,1.26146,0.97014,0.00111069,0.00111069,0.00111069
20,1109.81,1.00188,1.45947,0.71811,0.66469,0.58765,0.65432,0.36378,1.10427,1.24847,0.93079,0.00109301,0.00109301,0.00109301
21,1164.25,1.02827,1.46307,0.73812,0.6917,0.5975,0.67185,0.37579,1.10975,1.22421,0.97445,0.00107532,0.00107532,0.00107532
22,1219.46,1.01298,1.41845,0.7331,0.7333,0.56514,0.67102,0.38473,1.0318,1.22971,0.90192,0.00105764,0.00105764,0.00105764
23,1274.69,1.00671,1.43463,0.72822,0.68617,0.59602,0.68268,0.3809,1.25465,1.19627,1.10778,0.00103995,0.00103995,0.00103995
24,1330.2,1.00993,1.41115,0.73723,0.63975,0.6244,0.66824,0.37611,1.03386,1.23896,0.89914,0.00102227,0.00102227,0.00102227
25,1385.16,1.00192,1.4015,0.73044,0.6719,0.60274,0.6605,0.37035,1.21415,1.26451,1.08332,0.00100459,0.00100459,0.00100459
26,1440.41,1.01431,1.40436,0.74161,0.69435,0.6158,0.67792,0.3784,1.24347,1.18472,1.14367,0.000986903,0.000986903,0.000986903
27,1495.61,1.0092,1.37506,0.73685,0.66473,0.63867,0.7001,0.40152,1.19781,1.173,1.07132,0.000969219,0.000969219,0.000969219
28,1550.66,1.00464,1.3628,0.73742,0.71013,0.61446,0.68591,0.39031,1.18905,1.1672,1.06674,0.000951535,0.000951535,0.000951535
29,1605.87,1.02017,1.34421,0.74598,0.67553,0.63962,0.69368,0.40072,1.03854,1.12291,0.90287,0.000933851,0.000933851,0.000933851
30,1660.41,1.01791,1.3521,0.74977,0.64058,0.64827,0.68473,0.39791,1.19126,1.17253,1.07055,0.000916168,0.000916168,0.000916168
31,1716.05,1.02487,1.34168,0.7561,0.69525,0.65791,0.69933,0.40326,0.97408,1.12571,0.86304,0.000898484,0.000898484,0.000898484
32,1771.19,1.02137,1.33581,0.75078,0.72956,0.60875,0.70557,0.41169,1.15986,1.09069,1.04938,0.0008808,0.0008808,0.0008808
33,1826.67,1.00973,1.31694,0.74664,0.69948,0.6285,0.69593,0.39645,1.27972,1.09372,1.18782,0.000863116,0.000863116,0.000863116
34,1882.04,1.01863,1.3,0.75621,0.6918,0.64201,0.70436,0.40861,1.26146,1.18322,1.13994,0.000845432,0.000845432,0.000845432
35,1936.97,1.01436,1.28743,0.75474,0.73121,0.62037,0.7141,0.41651,1.21186,1.09928,1.09861,0.000827748,0.000827748,0.000827748
36,1992.37,1.02678,1.28577,0.7627,0.71725,0.62523,0.70923,0.41267,1.02065,1.09874,0.89559,0.000810064,0.000810064,0.000810064
37,2047.09,1.01779,1.28894,0.75984,0.68863,0.66202,0.7196,0.41738,1.21539,1.11034,1.1337,0.00079238,0.00079238,0.00079238
38,2101.51,1.04078,1.26056,0.77389,0.70962,0.63862,0.71566,0.42624,1.18042,1.10655,1.08397,0.000774697,0.000774697,0.000774697
39,2155.92,1.00881,1.25808,0.75869,0.73096,0.6357,0.72183,0.43168,1.34617,1.10554,1.23946,0.000757013,0.000757013,0.000757013
40,2210.29,1.02413,1.25476,0.7683,0.70121,0.66582,0.73831,0.4358,1.26324,1.03623,1.15551,0.000739329,0.000739329,0.000739329
41,2264.71,1.03838,1.23711,0.77971,0.69024,0.66542,0.72424,0.42541,1.23565,1.0852,1.13821,0.000721645,0.000721645,0.000721645
42,2319.09,1.0242,1.23425,0.76835,0.73387,0.64245,0.72516,0.43672,1.24772,1.03285,1.13691,0.000703961,0.000703961,0.000703961
43,2373.5,1.0342,1.22039,0.77506,0.74554,0.64699,0.7389,0.43432,1.59954,1.02567,1.47268,0.000686277,0.000686277,0.000686277
