epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.911,0.82106,2.25083,0.60663,0.38332,0.43104,0.36089,0.17017,1.5764,2.61976,1.48899,0.000472697,0.000472697,0.000472697
2,114.611,0.99684,2.0656,0.6925,0.30256,0.38302,0.27647,0.11588,1.54872,3.51938,1.32971,0.000937286,0.000937286,0.000937286
3,169.67,1.03802,2.05265,0.71926,0.33382,0.28774,0.24944,0.10106,1.95474,9.14902,1.7832,0.00139009,0.00139009,0.00139009
4,225.026,1.03651,2.01978,0.72794,0.43117,0.44936,0.40132,0.17214,1.70683,3.61447,1.52289,0.00137595,0.00137595,0.00137595
5,280.92,1.02663,1.88674,0.71393,0.38112,0.41054,0.36501,0.15505,1.71223,2.19941,1.44485,0.00135826,0.00135826,0.00135826
6,336.911,1.03261,1.83521,0.72225,0.54848,0.43655,0.46145,0.21111,1.40686,1.77968,1.16199,0.00134058,0.00134058,0.00134058
7,392.599,1.03633,1.7916,0.7245,0.58125,0.46019,0.50832,0.24515,1.31168,1.60994,1.08393,0.0013229,0.0013229,0.0013229
8,447.49,0.99466,1.72126,0.70426,0.57905,0.49988,0.53941,0.26131,1.22378,1.59606,1.01453,0.00130521,0.00130521,0.00130521
9,503.164,1.00608,1.68306,0.7104,0.5927,0.55397,0.56574,0.28541,1.14485,1.45263,0.99465,0.00128753,0.00128753,0.00128753
10,558.581,0.98339,1.65159,0.70399,0.60464,0.52785,0.57224,0.29999,1.19726,1.58439,1.05985,0.00126985,0.00126985,0.00126985
11,613.548,0.99954,1.61934,0.71104,0.60307,0.55843,0.58951,0.30671,1.08027,1.47576,0.93668,0.00125216,0.00125216,0.00125216
12,669.139,1.00031,1.60701,0.71613,0.64297,0.53084,0.59172,0.3118,1.12022,1.45666,0.99532,0.00123448,0.00123448,0.00123448
13,724.198,1.01638,1.58334,0.72411,0.61931,0.56423,0.59762,0.31625,1.11038,1.46085,0.95455,0.00121679,0.00121679,0.00121679
14,778.865,0.985,1.55472,0.71145,0.64582,0.54132,0.58496,0.25358,1.17989,1.39901,0.94998,0.00119911,0.00119911,0.00119911
15,834.121,0.9855,1.5352,0.70681,0.64607,0.57116,0.63129,0.34698,1.04627,1.2977,0.94085,0.00118143,0.00118143,0.00118143
16,889.852,0.99158,1.52313,0.71678,0.61587,0.57591,0.61957,0.33506,1.04364,1.30896,0.94682,0.00116374,0.00116374,0.00116374
17,944.616,0.99541,1.48878,0.72212,0.66582,0.58845,0.64434,0.35228,1.02965,1.23736,0.92859,0.00114606,0.00114606,0.00114606
18,999.214,0.98269,1.48503,0.71551,0.64698,0.59005,0.64668,0.34392,1.08708,1.28909,0.95383,0.00112837,0.00112837,0.00112837
19,1054.7,0.97805,1.46844,0.72567,0.65749,0.59689,0.64856,0.35938,1.00124,1.25626,0.89861,0.00111069,0.00111069,0.00111069
20,1110.26,0.97592,1.45989,0.7166,0.68451,0.56648,0.65813,0.36416,1.06101,1.26234,0.95989,0.00109301,0.00109301,0.00109301
21,1167.52,1.00069,1.45382,0.73584,0.65518,0.5867,0.66102,0.35979,1.03178,1.23379,0.93801,0.00107532,0.00107532,0.00107532
22,1223.73,0.98688,1.4295,0.73433,0.63127,0.62779,0.66697,0.36862,1.0852,1.2876,1.00444,0.00105764,0.00105764,0.00105764
23,1277.75,0.97758,1.42471,0.72479,0.71688,0.60644,0.69027,0.38758,0.99374,1.18263,0.89469,0.00103995,0.00103995,0.00103995
24,1331.38,0.99213,1.40914,0.73689,0.66623,0.61487,0.66161,0.37484,1.01048,1.21732,0.90523,0.00102227,0.00102227,0.00102227
25,1385.65,0.98225,1.40788,0.73808,0.6982,0.59228,0.67721,0.38979,0.93324,1.20876,0.86153,0.00100459,0.00100459,0.00100459
26,1439.33,0.99136,1.40518,0.74184,0.72618,0.60276,0.68689,0.38437,0.99369,1.20958,0.91981,0.000986903,0.000986903,0.000986903
27,1493.52,0.9829,1.38773,0.73933,0.71725,0.61604,0.69801,0.39921,0.95771,1.1806,0.88689,0.000969219,0.000969219,0.000969219
28,1547.93,0.97864,1.35702,0.73605,0.71594,0.61893,0.70044,0.39834,1.00308,1.12459,0.92876,0.000951535,0.000951535,0.000951535
29,1601.59,0.99012,1.34792,0.74564,0.70974,0.6446,0.70573,0.4172,1.00346,1.13893,0.93059,0.000933851,0.000933851,0.000933851
30,1655.08,0.98643,1.33989,0.74497,0.70038,0.64881,0.70716,0.41485,0.96919,1.12963,0.90091,0.000916168,0.000916168,0.000916168
31,1708.55,0.99097,1.34694,0.75778,0.72231,0.62937,0.71275,0.41233,0.96269,1.12227,0.87719,0.000898484,0.000898484,0.000898484
32,1761.99,0.99378,1.33025,0.75305,0.70218,0.63801,0.70614,0.4098,0.98315,1.11177,0.89963,0.0008808,0.0008808,0.0008808
33,1815.46,0.98609,1.32323,0.74888,0.72728,0.61724,0.71133,0.41912,0.95947,1.1172,0.89067,0.000863116,0.000863116,0.000863116
34,1868.96,0.99374,1.31198,0.75978,0.6801,0.64465,0.70156,0.40798,1.10595,1.18198,1.03572,0.000845432,0.000845432,0.000845432
35,1922.4,0.99662,1.29321,0.76063,0.73638,0.61186,0.71472,0.42104,0.99125,1.10491,0.9348,0.000827748,0.000827748,0.000827748
36,1975.87,1.00263,1.28019,0.76329,0.75251,0.62407,0.72318,0.424,0.90748,1.09593,0.84186,0.000810064,0.000810064,0.000810064
37,2029.36,0.99123,1.28548,0.76073,0.73753,0.62495,0.72403,0.42916,1.1798,1.06237,1.14391,0.00079238,0.00079238,0.00079238
38,2082.89,1.01594,1.25637,0.77484,0.71492,0.65782,0.7239,0.4275,0.96887,1.0919,0.89168,0.000774697,0.000774697,0.000774697
39,2136.39,0.98549,1.2484,0.75799,0.71565,0.65458,0.72067,0.42401,1.16582,1.06656,1.10941,0.000757013,0.000757013,0.000757013
40,2189.83,1.00213,1.2548,0.77088,0.71,0.64913,0.72393,0.41931,1.05936,1.09604,0.99557,0.000739329,0.000739329,0.000739329
41,2243.29,1.01119,1.23314,0.78079,0.72082,0.66416,0.73181,0.43491,1.13542,1.05993,1.09777,0.000721645,0.000721645,0.000721645
42,2296.79,0.99585,1.2322,0.77118,0.75128,0.62799,0.72531,0.43482,1.06486,1.03705,1.0399,0.000703961,0.000703961,0.000703961
43,2350.23,1.00489,1.21719,0.77691,0.72373,0.65556,0.73474,0.44045,1.21227,1.04995,1.1575,0.000686277,0.000686277,0.000686277
44,2403.76,0.99947,1.2114,0.77977,0.71957,0.6636,0.72889,0.43162,1.07815,1.05057,1.03819,0.000668593,0.000668593,0.000668593
45,2457.64,1.01356,1.20022,0.78577,0.75116,0.65014,0.73807,0.43847,0.9505,1.04232,0.8884,0.000650909,0.000650909,0.000650909
46,2511.74,1.00877,1.20073,0.78287,0.72889,0.66487,0.73727,0.44409,0.94882,1.06112,0.8932,0.000633226,0.000633226,0.000633226
47,2566.09,1.00794,1.18196,0.78652,0.71233,0.68288,0.74391,0.44107,0.98544,1.03564,0.94258,0.000615542,0.000615542,0.000615542
48,2620.35,1.0104,1.17579,0.78953,0.73745,0.67449,0.75063,0.44838,1.00985,1.01576,0.97765,0.000597858,0.000597858,0.000597858
