epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.7713,0.90867,2.25239,0.60999,0.32157,0.36637,0.27185,0.12086,1.57999,5.59181,1.29623,0.000472697,0.000472697,0.000472697
2,108.196,1.09715,2.07139,0.69917,0.38261,0.2841,0.26622,0.10828,1.83507,3.4799,1.42716,0.000937286,0.000937286,0.000937286
3,164.011,1.14326,2.05125,0.72289,0.25301,0.29669,0.21979,0.0923,2.21399,9.61576,1.89928,0.00139009,0.00139009,0.00139009
4,220.058,1.15486,2.00666,0.7385,0.4204,0.39447,0.362,0.1617,1.67214,3.70016,1.27519,0.00137595,0.00137595,0.00137595
5,274.454,1.13152,1.89158,0.71936,0.5106,0.39764,0.41796,0.19663,1.44027,2.15295,1.1093,0.00135826,0.00135826,0.00135826
6,328.005,1.14906,1.83047,0.7271,0.52187,0.47674,0.45846,0.20792,1.3809,1.94537,1.03643,0.00134058,0.00134058,0.00134058
7,381.449,1.14022,1.78245,0.72651,0.60021,0.43322,0.4964,0.22853,1.50836,1.61694,1.20489,0.0013229,0.0013229,0.0013229
8,434.834,1.1052,1.72254,0.71295,0.52399,0.47552,0.48222,0.23368,1.39422,1.88294,1.02406,0.00130521,0.00130521,0.00130521
9,489.025,1.10215,1.6946,0.71461,0.55168,0.52242,0.53745,0.27461,1.2997,1.62474,1.02404,0.00128753,0.00128753,0.00128753
10,543.155,1.08129,1.65705,0.70664,0.59049,0.53963,0.58255,0.30257,1.432,1.59657,1.12889,0.00126985,0.00126985,0.00126985
11,598.591,1.09292,1.62976,0.70947,0.60157,0.52756,0.56645,0.2781,1.31017,1.52555,1.03284,0.00125216,0.00125216,0.00125216
12,653.5,1.09804,1.61889,0.71611,0.62857,0.54858,0.59401,0.31097,1.39905,1.45171,1.14555,0.00123448,0.00123448,0.00123448
13,708.211,1.1141,1.58596,0.72281,0.60212,0.55088,0.60329,0.31768,1.51495,1.36594,1.23095,0.00121679,0.00121679,0.00121679
14,761.917,1.08194,1.56816,0.71495,0.68369,0.57386,0.64031,0.32867,1.20834,1.28967,0.95485,0.00119911,0.00119911,0.00119911
15,815.337,1.09073,1.53801,0.70996,0.70258,0.54727,0.63694,0.33826,1.20862,1.25558,0.96998,0.00118143,0.00118143,0.00118143
16,868.792,1.08097,1.5293,0.71335,0.64476,0.56576,0.60388,0.32773,1.15188,1.415,0.95639,0.00116374,0.00116374,0.00116374
17,922.884,1.09573,1.49586,0.72376,0.67932,0.55777,0.63697,0.34638,1.24413,1.28488,1.02424,0.00114606,0.00114606,0.00114606
18,976.99,1.08451,1.51123,0.72009,0.66546,0.58832,0.66975,0.36678,1.37441,1.23169,1.15746,0.00112837,0.00112837,0.00112837
19,1030.53,1.07116,1.47699,0.72593,0.65596,0.60009,0.65012,0.35403,1.42812,1.24786,1.20263,0.00111069,0.00111069,0.00111069
