epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.8865,0.83771,2.26148,0.61076,0.31816,0.37007,0.26817,0.12872,1.63977,3.68022,1.73989,0.000472697,0.000472697,0.000472697
2,111.763,1.00941,2.06959,0.69916,0.26397,0.30295,0.20827,0.08587,2.46061,9.12918,2.26509,0.000937286,0.000937286,0.000937286
3,169.609,1.05035,2.06689,0.72604,0.33133,0.31712,0.26032,0.10935,1.94629,7.14659,1.71813,0.00139009,0.00139009,0.00139009
4,227.721,1.05,2.00363,0.73028,0.42685,0.39316,0.3549,0.15126,1.46227,4.35982,1.22596,0.00137595,0.00137595,0.00137595
5,285.166,1.01555,1.89139,0.71344,0.44729,0.37382,0.36235,0.14893,1.51936,2.43516,1.24768,0.00135826,0.00135826,0.00135826
6,338.993,1.02983,1.8447,0.72198,0.52612,0.44444,0.44805,0.20199,1.29315,1.7811,1.08079,0.00134058,0.00134058,0.00134058
7,393.401,1.02957,1.79026,0.72167,0.52421,0.47417,0.49351,0.24054,1.18544,1.69215,0.98353,0.0013229,0.0013229,0.0013229
8,447.874,0.9879,1.73007,0.70542,0.55165,0.5103,0.51599,0.26166,1.37141,1.66777,1.11656,0.00130521,0.00130521,0.00130521
9,502.383,0.99693,1.71686,0.70921,0.5982,0.52946,0.56534,0.28627,1.29195,1.47791,1.06629,0.00128753,0.00128753,0.00128753
10,556.884,0.98693,1.66891,0.70669,0.5719,0.51155,0.54183,0.25953,1.27321,1.65262,1.05453,0.00126985,0.00126985,0.00126985
11,610.878,0.9945,1.62458,0.70785,0.63286,0.53933,0.5904,0.27547,1.21885,1.41927,1.01503,0.00125216,0.00125216,0.00125216
12,664.212,0.99703,1.61741,0.71352,0.61314,0.56919,0.59009,0.31278,1.09218,1.39403,0.93587,0.00123448,0.00123448,0.00123448
13,718.757,1.0069,1.58343,0.72135,0.58299,0.52012,0.56367,0.29787,1.08588,1.48205,0.929,0.00121679,0.00121679,0.00121679
14,772.932,0.9658,1.56976,0.7101,0.62107,0.57129,0.61325,0.31514,1.13108,1.32979,0.93721,0.00119911,0.00119911,0.00119911
15,826.477,0.98482,1.54466,0.70752,0.66991,0.57743,0.6354,0.30861,1.30976,1.34637,1.08153,0.00118143,0.00118143,0.00118143
16,881.195,0.98413,1.54001,0.71676,0.62749,0.55388,0.60689,0.32539,1.07835,1.36709,0.94197,0.00116374,0.00116374,0.00116374
17,934.892,0.98909,1.5216,0.72291,0.61065,0.60046,0.62931,0.33166,1.09869,1.29724,0.94096,0.00114606,0.00114606,0.00114606
18,988.074,0.97896,1.50026,0.7169,0.62872,0.59293,0.63637,0.33861,1.16731,1.4371,1.01573,0.00112837,0.00112837,0.00112837
19,1041.62,0.97171,1.47814,0.72377,0.66522,0.5785,0.63793,0.34332,1.1523,1.29783,1.01854,0.00111069,0.00111069,0.00111069
20,1094.99,0.97123,1.48435,0.71788,0.66135,0.59458,0.64483,0.35775,1.1307,1.25995,1.00289,0.00109301,0.00109301,0.00109301
21,1148.23,0.99239,1.46136,0.73566,0.69244,0.58284,0.67359,0.37273,1.06176,1.22651,0.91877,0.00107532,0.00107532,0.00107532
22,1201.83,0.97892,1.43699,0.73187,0.64799,0.62666,0.66603,0.36506,1.48028,1.23112,1.39927,0.00105764,0.00105764,0.00105764
23,1254.99,0.9723,1.43534,0.72779,0.67935,0.61067,0.68692,0.38148,1.1854,1.19077,1.06373,0.00103995,0.00103995,0.00103995
