epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.9998,2.09755,2.41998,1.5821,0.30174,0.33936,0.26928,0.1202,1.9909,3.4278,1.93095,0.000472697,0.000472697,0.000472697
2,111.455,1.90637,2.14914,1.51516,0.2606,0.29604,0.21041,0.09727,1.97533,6.30837,1.89665,0.000937286,0.000937286,0.000937286
3,165.779,1.88922,2.16954,1.53862,0.37821,0.3234,0.30229,0.13803,1.99702,3.58515,1.8543,0.00139009,0.00139009,0.00139009
4,220.184,1.82952,2.08435,1.52949,0.37098,0.38725,0.35524,0.17568,1.75307,2.93261,1.70515,0.00137595,0.00137595,0.00137595
5,275.009,1.74731,1.95778,1.47108,0.41599,0.41078,0.37883,0.19207,1.69403,2.30508,1.63026,0.00135826,0.00135826,0.00135826
6,330.665,1.71439,1.8907,1.45526,0.46972,0.44914,0.4432,0.23124,1.64187,1.94944,1.6154,0.00134058,0.00134058,0.00134058
7,386.211,1.68047,1.81353,1.43035,0.57843,0.47812,0.52639,0.28882,1.42244,1.59392,1.43574,0.0013229,0.0013229,0.0013229
8,441.827,1.63365,1.74432,1.40941,0.54172,0.49581,0.50259,0.28272,1.48589,1.78906,1.51929,0.00130521,0.00130521,0.00130521
9,497.133,1.61283,1.70977,1.39044,0.5547,0.52226,0.54775,0.31813,1.40856,1.54789,1.46401,0.00128753,0.00128753,0.00128753
10,551.425,1.593,1.66037,1.38369,0.59983,0.56156,0.59651,0.35126,1.31979,1.44602,1.39918,0.00126985,0.00126985,0.00126985
11,605.759,1.57059,1.62763,1.36535,0.60189,0.51437,0.56741,0.33819,1.35049,1.45312,1.43561,0.00125216,0.00125216,0.00125216
12,660.051,1.5562,1.60461,1.36271,0.64156,0.53173,0.60679,0.35487,1.31078,1.46634,1.39238,0.00123448,0.00123448,0.00123448
13,715.727,1.53578,1.57805,1.34515,0.63948,0.55054,0.62102,0.36854,1.28255,1.40034,1.38464,0.00121679,0.00121679,0.00121679
14,771.541,1.51744,1.53487,1.3439,0.63128,0.56067,0.61953,0.36503,1.33835,1.38863,1.39739,0.00119911,0.00119911,0.00119911
