epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.0408,1.05523,2.69127,0.66755,0.2415,0.30889,0.21269,0.08192,1.6938,3.63869,1.36854,0.000472697,0.000472697,0.000472697
2,112.361,1.09213,2.11345,0.68275,0.30539,0.26933,0.22068,0.08734,2.14459,4.81841,1.69148,0.000937286,0.000937286,0.000937286
3,169.581,1.09715,2.05337,0.70293,0.3442,0.32605,0.27986,0.11925,1.50929,6.55396,1.23914,0.00139009,0.00139009,0.00139009
4,225.675,1.09422,1.99255,0.70979,0.4064,0.39519,0.35394,0.14492,1.99397,2.99243,1.60899,0.00137595,0.00137595,0.00137595
5,280.932,1.07806,1.86731,0.70035,0.44762,0.44619,0.41194,0.18474,1.7163,2.10032,1.43152,0.00135826,0.00135826,0.00135826
6,336.29,1.08615,1.81842,0.71434,0.53491,0.52214,0.52126,0.23625,1.40009,1.56105,1.14827,0.00134058,0.00134058,0.00134058
7,392.502,1.06319,1.77316,0.70652,0.55777,0.47354,0.50854,0.24286,1.27787,1.62996,1.031,0.0013229,0.0013229,0.0013229
8,448.815,1.03003,1.70047,0.69245,0.64186,0.46035,0.54031,0.25951,1.24128,1.61901,0.9971,0.00130521,0.00130521,0.00130521
9,505.493,1.03556,1.67422,0.69732,0.62012,0.51534,0.56143,0.24595,1.18657,1.52624,0.92498,0.00128753,0.00128753,0.00128753
10,561.421,1.01406,1.65081,0.69229,0.56894,0.54092,0.56239,0.29203,1.21318,1.53945,0.99937,0.00126985,0.00126985,0.00126985
11,617.403,1.02511,1.60414,0.6968,0.62863,0.57086,0.61004,0.311,1.18755,1.41869,1.00033,0.00125216,0.00125216,0.00125216
12,672.953,1.0315,1.59905,0.70626,0.6618,0.55597,0.62117,0.32357,1.06359,1.38389,0.89167,0.00123448,0.00123448,0.00123448
