epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.2715,0.78801,2.25001,0.61317,0.39415,0.39111,0.33981,0.16135,1.39252,3.49214,1.26187,0.000472697,0.000472697,0.000472697
2,108.679,0.94766,2.05975,0.69871,0.33728,0.33776,0.27309,0.11361,2.00003,3.97985,1.77199,0.000937286,0.000937286,0.000937286
3,162.698,1.00152,2.05894,0.72928,0.31945,0.28065,0.23587,0.09095,2.11237,4.69646,1.84491,0.00139009,0.00139009,0.00139009
4,215.99,0.99196,1.99359,0.72987,0.45415,0.40129,0.38678,0.17976,1.34886,4.4808,1.12727,0.00137595,0.00137595,0.00137595
5,270.099,0.98666,1.88711,0.72238,0.53291,0.43124,0.44369,0.2074,1.2132,2.45518,1.00893,0.00135826,0.00135826,0.00135826
6,324.038,0.99634,1.8212,0.73003,0.52728,0.47047,0.4714,0.22724,1.34187,1.66857,1.12117,0.00134058,0.00134058,0.00134058
7,378.08,0.98866,1.78046,0.72901,0.50841,0.4826,0.46818,0.22356,1.25003,1.62863,1.07159,0.0013229,0.0013229,0.0013229
8,431.576,0.94753,1.72393,0.70939,0.54723,0.48892,0.50591,0.2472,1.02594,1.82278,0.88656,0.00130521,0.00130521,0.00130521
9,485.923,0.9515,1.68804,0.71272,0.55658,0.53167,0.54507,0.26607,1.18406,1.50968,0.99912,0.00128753,0.00128753,0.00128753
10,540.01,0.93961,1.64781,0.70622,0.5506,0.5383,0.5571,0.28454,1.06304,1.60639,0.94018,0.00126985,0.00126985,0.00126985
11,595.016,0.94797,1.61871,0.71216,0.65447,0.55723,0.6151,0.31197,1.09503,1.37351,0.95738,0.00125216,0.00125216,0.00125216
12,648.236,0.96305,1.61717,0.72012,0.65734,0.54253,0.60106,0.31323,1.09208,1.44359,0.97834,0.00123448,0.00123448,0.00123448
13,701.754,0.96966,1.59628,0.73028,0.58385,0.54985,0.59354,0.307,1.19547,1.41592,1.05965,0.00121679,0.00121679,0.00121679
14,755.958,0.94469,1.57187,0.71848,0.64418,0.57458,0.62002,0.32699,1.12306,1.40368,0.98921,0.00119911,0.00119911,0.00119911
15,810.272,0.93755,1.53393,0.70944,0.6393,0.59031,0.64543,0.33774,0.99907,1.33025,0.89279,0.00118143,0.00118143,0.00118143
16,864.668,0.92841,1.52631,0.712,0.60367,0.60726,0.62371,0.32371,1.04723,1.35248,0.92634,0.00116374,0.00116374,0.00116374
17,919.243,0.95168,1.49785,0.72832,0.62805,0.5822,0.61346,0.28647,1.17274,1.33879,0.99764,0.00114606,0.00114606,0.00114606
18,973.685,0.94506,1.50087,0.72182,0.63178,0.60222,0.65409,0.34097,1.06293,1.27312,0.94811,0.00112837,0.00112837,0.00112837
19,1027.93,0.93788,1.47443,0.7297,0.6672,0.60148,0.65841,0.35423,1.00164,1.31159,0.9042,0.00111069,0.00111069,0.00111069
20,1082.6,0.93375,1.46087,0.72131,0.66059,0.58545,0.64152,0.35341,1.07132,1.28252,0.96498,0.00109301,0.00109301,0.00109301
21,1136.68,0.95817,1.44612,0.73966,0.62135,0.61029,0.64608,0.35488,1.06074,1.36198,0.95704,0.00107532,0.00107532,0.00107532
22,1189.76,0.94815,1.43167,0.73948,0.67595,0.58715,0.65877,0.37084,1.11354,1.20687,1.02088,0.00105764,0.00105764,0.00105764
23,1242.92,0.94326,1.42181,0.73412,0.68197,0.6121,0.67934,0.37935,1.05036,1.21863,0.96088,0.00103995,0.00103995,0.00103995
24,1296.04,0.95587,1.41454,0.74579,0.67878,0.57781,0.65798,0.36841,1.2046,1.30894,1.11544,0.00102227,0.00102227,0.00102227
25,1349.26,0.94445,1.40019,0.74113,0.64346,0.6171,0.66448,0.3654,1.05015,1.26332,0.94029,0.00100459,0.00100459,0.00100459
26,1402.82,0.95322,1.39383,0.7483,0.68842,0.61144,0.69014,0.38236,0.98661,1.19043,0.92264,0.000986903,0.000986903,0.000986903
27,1456.25,0.95002,1.37307,0.74512,0.72003,0.60595,0.6952,0.3953,1.03724,1.18961,0.96087,0.000969219,0.000969219,0.000969219
28,1510.43,0.94289,1.36908,0.74174,0.67316,0.65363,0.69527,0.39224,0.9718,1.16059,0.89688,0.000951535,0.000951535,0.000951535
29,1564.63,0.9466,1.35799,0.74833,0.71947,0.59653,0.69132,0.39291,0.98991,1.17351,0.93163,0.000933851,0.000933851,0.000933851
30,1618.84,0.95259,1.34619,0.75485,0.71191,0.60908,0.69688,0.40091,1.19579,1.14088,1.14002,0.000916168,0.000916168,0.000916168
31,1673.02,0.95876,1.35588,0.76438,0.72041,0.62135,0.70432,0.40574,1.07649,1.08921,0.99566,0.000898484,0.000898484,0.000898484
32,1726.18,0.95851,1.33819,0.76071,0.70398,0.62534,0.70534,0.40776,1.00227,1.07277,0.92977,0.0008808,0.0008808,0.0008808
33,1779.34,0.94912,1.31379,0.75618,0.68324,0.66285,0.71927,0.42026,0.95007,1.09196,0.88613,0.000863116,0.000863116,0.000863116
34,1833.69,0.95501,1.30298,0.76445,0.68901,0.63618,0.71206,0.4131,1.07653,1.09255,1.01504,0.000845432,0.000845432,0.000845432
35,1887.2,0.9465,1.29456,0.75884,0.71069,0.63042,0.70936,0.40992,1.0419,1.1158,0.97171,0.000827748,0.000827748,0.000827748
36,1940.65,0.95643,1.28861,0.76741,0.72185,0.62797,0.71032,0.41663,0.99195,1.09369,0.93303,0.000810064,0.000810064,0.000810064
37,1993.95,0.94589,1.27723,0.76047,0.70882,0.62657,0.72283,0.4161,1.23277,1.12471,1.17732,0.00079238,0.00079238,0.00079238
38,2048.35,0.96636,1.25851,0.77555,0.72965,0.62891,0.71968,0.42562,1.08117,1.08749,1.00582,0.000774697,0.000774697,0.000774697
39,2102.53,0.93965,1.2533,0.76148,0.69137,0.65465,0.7216,0.42174,1.13537,1.08779,1.08964,0.000757013,0.000757013,0.000757013
40,2156.67,0.95616,1.26024,0.7751,0.71161,0.6481,0.73224,0.43389,1.22567,1.10121,1.14061,0.000739329,0.000739329,0.000739329
41,2211.01,0.96528,1.23867,0.78586,0.71649,0.64554,0.7215,0.42119,1.30415,1.0696,1.22811,0.000721645,0.000721645,0.000721645
42,2265.61,0.95485,1.24581,0.77881,0.68257,0.68348,0.72982,0.43366,1.16291,1.05991,1.10861,0.000703961,0.000703961,0.000703961
43,2320.62,0.95614,1.23032,0.78026,0.69377,0.66121,0.72747,0.42451,1.61454,1.12163,1.56446,0.000686277,0.000686277,0.000686277
44,2376.2,0.95414,1.20935,0.7821,0.74969,0.61325,0.72673,0.43333,1.02973,1.08644,0.96873,0.000668593,0.000668593,0.000668593
45,2430.92,0.95913,1.20302,0.78674,0.71702,0.66119,0.73072,0.43964,1.30622,1.0541,1.28279,0.000650909,0.000650909,0.000650909
46,2484.62,0.96056,1.20765,0.7884,0.71686,0.65935,0.73217,0.44359,0.94028,1.02942,0.88413,0.000633226,0.000633226,0.000633226
47,2538.49,0.9613,1.17697,0.79162,0.73478,0.63427,0.734,0.44211,1.09199,1.07201,1.02335,0.000615542,0.000615542,0.000615542
48,2592.74,0.96856,1.17452,0.7958,0.72112,0.65703,0.7428,0.45202,1.03814,1.02215,0.96816,0.000597858,0.000597858,0.000597858
49,2646.96,0.96555,1.17333,0.79676,0.73143,0.66096,0.74457,0.44404,0.99207,1.04368,0.92012,0.000580174,0.000580174,0.000580174
50,2700.78,0.97746,1.17139,0.80932,0.7098,0.65524,0.73165,0.44923,0.93918,1.0125,0.88302,0.00056249,0.00056249,0.00056249
51,2754.64,0.97582,1.15648,0.80522,0.71468,0.67769,0.73823,0.45343,0.92349,1.01868,0.87562,0.000544806,0.000544806,0.000544806
52,2808.76,0.9806,1.14006,0.81077,0.73612,0.65538,0.74299,0.45356,0.90652,1.05885,0.86,0.000527122,0.000527122,0.000527122
53,2863.09,0.98015,1.13504,0.80872,0.7464,0.64666,0.73979,0.45085,0.94572,1.04496,0.8886,0.000509438,0.000509438,0.000509438
54,2917.2,0.96689,1.11866,0.8084,0.72345,0.6743,0.74078,0.45472,0.92291,1.03086,0.87414,0.000491755,0.000491755,0.000491755
55,2971.67,0.966,1.11496,0.80437,0.76291,0.62661,0.74022,0.45498,0.92036,1.05701,0.86561,0.000474071,0.000474071,0.000474071
56,3025.38,0.97518,1.09983,0.8143,0.73681,0.65929,0.74786,0.45858,0.96024,1.0381,0.89908,0.000456387,0.000456387,0.000456387
57,3079.52,0.96903,1.10357,0.8123,0.71045,0.67906,0.74822,0.45843,1.03869,1.05405,0.97927,0.000438703,0.000438703,0.000438703
58,3133.52,0.97433,1.10216,0.82167,0.72766,0.66679,0.74755,0.46109,0.94922,1.04719,0.88622,0.000421019,0.000421019,0.000421019
59,3187.62,0.97194,1.08702,0.81999,0.72862,0.66052,0.74423,0.45846,0.9469,1.07299,0.88715,0.000403335,0.000403335,0.000403335
60,3241.64,0.96447,1.07243,0.81425,0.72541,0.66114,0.7491,0.46422,0.92304,1.02371,0.86634,0.000385651,0.000385651,0.000385651
61,3295.88,0.96613,1.05996,0.8173,0.70269,0.68867,0.75173,0.46264,0.95181,1.03608,0.8874,0.000367967,0.000367967,0.000367967
62,3350.21,0.9713,1.05553,0.82415,0.73834,0.64803,0.74426,0.46092,0.96325,1.09103,0.90459,0.000350284,0.000350284,0.000350284
63,3404.59,0.97223,1.04059,0.82358,0.74974,0.63743,0.74239,0.46066,0.94782,1.04727,0.88366,0.0003326,0.0003326,0.0003326
64,3458.85,0.96262,1.04035,0.81872,0.77759,0.63681,0.74817,0.45954,1.02521,1.0555,0.97748,0.000314916,0.000314916,0.000314916
65,3513.01,0.97098,1.03406,0.82602,0.75884,0.64713,0.74665,0.45833,1.04941,1.03154,0.99405,0.000297232,0.000297232,0.000297232
66,3567.32,0.97703,1.02628,0.83699,0.73891,0.66785,0.74468,0.45881,1.03526,1.03089,0.98437,0.000279548,0.000279548,0.000279548
67,3620.68,0.97819,1.01873,0.83489,0.70722,0.6939,0.74582,0.46308,1.02548,1.057,0.97418,0.000261864,0.000261864,0.000261864
68,3673.8,0.96855,1.01628,0.83623,0.74359,0.66428,0.75057,0.46773,1.02607,1.03832,0.97801,0.00024418,0.00024418,0.00024418
69,3728.11,0.97702,1.02171,0.83748,0.74756,0.6557,0.74769,0.4638,1.02433,1.03234,0.97968,0.000226497,0.000226497,0.000226497
70,3782.36,0.99633,1.01801,0.85157,0.7272,0.67711,0.75215,0.4675,1.01849,1.03763,0.9729,0.000208813,0.000208813,0.000208813
71,3836.07,0.94657,0.85399,0.85124,0.7339,0.67671,0.75348,0.46756,1.01898,1.05461,0.97372,0.000191129,0.000191129,0.000191129
72,3889.06,0.94088,0.82471,0.85368,0.7785,0.64473,0.7535,0.46689,1.02385,1.05653,0.97272,0.000173445,0.000173445,0.000173445
73,3942.61,0.94002,0.81698,0.85631,0.7217,0.6866,0.7506,0.46416,1.00804,1.05877,0.96446,0.000155761,0.000155761,0.000155761
