image,n_candidates_added
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/0035e3a5417aaa36f4c5f242d47ee4f5_jpg.rf.e0b7348a2462aa17cb8444e100803f6a.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/07093fdf-war-and-army-handgun-wallpaper-preview_jpg.rf.64c6362df42740d82c47bbe531ed02b9.jpg,2
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/0ABQFUGBZL6D73EG8K88519AP7RXYA_jpg.rf.0c75d87d790972639c998c7e6a50aad8.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/1-175-_jpg.rf.a3295afedfd664e80ab39f3190b2c71f.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/198_jpg.rf.cf4b6b9c3172201ae00d5c5df90ec974.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/2080345-1024x993_jpg.rf.81efb5af767f764d72b32c21fa9d5aa1.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/20_jpg.rf.c3107edd250fd7f301b2ad840563c2d2.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/28144548_00__01300_jpg.rf.92fcf4a39ebf0cc43dc1b38f36da190e.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/2814469_00__02472_jpg.rf.0067c6068f1c3827f660ae09cb279169.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/2814493_01__02712_jpg.rf.69db078ad467253bf794b00b5b828c1d.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/28161233_13__04536_jpg.rf.dd1c3d7b2251605444d6eacc30c4aefd.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/28161233_13__04540_jpg.rf.ed37b96afee8340bc6bf18e2da8a6a74.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/2816187_13__22644_jpg.rf.916f48ea469473c1c1e2ec716e786eaa.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/2816240_16__05544_jpg.rf.12263c7530f8a784e3785dcc8a34a474.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/2816240_16__05560_jpg.rf.9c674ee9f2cd57d9a5b9d361f6c4f705.jpg,2
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/28162632_17__04996_jpg.rf.5204f9e816ada23e96c4d322f6cd0bdd.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/2816956_12__01304_jpg.rf.15b9c515b088bc66bc967d9df90ae06a.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/2816959_12__01496_jpg.rf.d20fdda0706a912e1c596da29138ef27.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/2942620_00__120472_jpg.rf.ffb5ba34efdb2cc3cda2940c5613c7af.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/2c6741a5f4931e351d0e32acd4b21f92_jpg.rf.2391b8a61dcf215b4fe283a48068a481.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/355_jpg.rf.a9e8d1b373492baade8291398b6c428d.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/41-1410_jpg.rf.fdb474721c5d364bf15cbcd902f50c83.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/410424407-1603717206_jpeg_jpg.rf.e0795ed2849be2a023996e13d9097b0d.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/496506341-1626329561_jpeg.rf.e9f122b6440eb7ec63170825b4c3c611.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/51dee378-cbfb-488c-b5ef-ae172cff8a1b_jpg.rf.7fbb19bd58104d46ccd6b3b00786e964.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/545646541drzt1s56e1t51sdrgf51sergf1dszrfgsd6_jpg.rf.2bcc3d73a8c5eb919afa1106e66703fc.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/664.rf.73b1107059eaa078ca3d811ab79e1a80.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/66c31a88d85c363dabe8e421f05ad4ae_jpg.rf.75c35e81dbba2135329b7076191827e1.jpg,2
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/6efc0470-a641-45bd-bdb9-79beb9960e80_jpg.rf.d013f63387fbd18e6af41c9ba2c6f7d7.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/788dd640a41282bb59ef64e8bd2edab8_jpg.rf.f0cd1a32d29bf9a6ef0b078ee5337e42.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/8130cc29a41fcb150c6cd1665efe88d1_jpeg_jpg.rf.0d4bd7eff4eeff0312bc5e97e74fb49d.jpg,2
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/89.rf.0eb61595a9265a82deaaf95b9a8c4db3.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/8ccf9a94947478d0_jpg.rf.196f140b2232a8ba3b6a1b3e53b0b4ef.jpg,2
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/9b3a3e630d7765e2_jpg.rf.76997479c76f2968fcdf677408842bd2.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/DatasetWeapons_086_png.rf.610e449d1038c43835271225d109d9d9.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/DatasetWeapons_1215_png.rf.f312ba322abfcdd341833e42ac9b1e72.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/DatasetWeapons_2820_png.rf.179251818b86d7acdf2b8b956e47c9f5.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/DatasetWeapons_5344_png.rf.f944f3c75143da9f8af00722ee92ab7b.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/Deagleshowcasevegas_jpg.rf.166bae197b1e2e726c7f19c1ee200925.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/Doc-dao-Nghet-tho-man-VAY-BAT-TOI-PHAM-NGOAN-CO-cua-hinh-su-vung-BIEN-GIOI-Phim-canh-sat-hinh-su_mp4-0314_jpg.rf.93e77291d1ee0d8db289d9b0dcc54471.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/FILE057_JPG_jpg.rf.d5ef520d0913d70edf773c5aed53f1dc.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/FILE5361_JPG_jpg.rf.6c96c704584d3e586de6e581b18a8103.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/KnifeDataset_1202_png.rf.19e76c30bf66b09f0bae4ed674f33608.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/KnifeDataset_1544_png.rf.3876d4849d799ba0d7b7d9d51fb770f6.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/KnifeDataset_1936_png.rf.98d639c48fee0062564c140f1207d650.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/KnifeDataset_2020_png.rf.15b9bd6b18d08e15cc6373915c354050.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/KnifeDataset_2053_png.rf.b678c01dcb1738500a8142982c5f6bc3.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/KnifeDataset_2055_png.rf.99d1e03ce0e68627274fb449e878949c.jpg,1
