image,n_candidates_added
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/00K0JDN3UUTLVAMWUFF0FXT20L7M8H_jpg.rf.bebdf9068e1add4357a7a41be2603fb7.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/011_jpg.rf.6d2ec5f00c17d205f2aded050823d83a.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/1-99-_jpg.rf.fdeb296f7de7df440c98140b96759b07.jpg,3
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/187771c6-248f-461b-969e-424abd515b72_jpg.rf.23a89830660e4eb05342f692873e06c6.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/1a771ed89dcc8d24_jpg.rf.ccb997520289ab504102fa1eb517ce94.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/2-167-_jpg.rf.4bc0f20a7a693a6621c5fcad51979c13.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/2-277-_jpg.rf.bca0bb5132108af70aad19cced05a9b2.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/253_jpg.rf.206b8f7a2ff7b1aa3748a8c3eb66c198.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/2814474_00__05292_jpg.rf.c1cef9e1e1d34ac8437aa6f3ead8bac2.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/28144823_01__00668_jpg.rf.5c7a279febca53a3bf2cdf4f972d97c9.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/28144823_01__00680_jpg.rf.cd9dcc61b62879294e1c86681ef191da.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/28162257_16__02096_jpg.rf.adb298519bdebf4d59727d10f6f4c10c.jpg,2
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/28162258_16__02100_jpg.rf.36ef553d11ebe9a4da23b4a88c455522.jpg,2
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/29fa41f99d82779f_jpg.rf.18eb13514a190084226353a88deb892e.jpg,2
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/319.rf.4246d0382f9f8019343a2adf9e0f11fb.jpg,2
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/399426275-1600663074_jpeg.rf.65b837895086c1b42e0d49d33bdcf8e4.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/399426275-1600663074_jpeg_jpg.rf.cf31b113753f348f32099207b7e5b1e0.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/403217663-1601805704_jpeg.rf.b05e1c0e8a7889a98ef6304db2fc2ebe.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/585.rf.0e2c1beaebb777edd427c0b50ed89089.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/632ecf3b-152_jpeg_jpg.rf.a2817c6ff6767c017460502aff1be25e.jpg,1
/home/constantin/Doctorat/GunDatasetNoAugSplit70percentage/train/images/6a81129f2b101522_jpg.rf.9c158415ad6c73d275f2399c37fa48ac.jpg,1
