image,n_existing_labels,n_candidates_added
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/0035e3a5417aaa36f4c5f242d47ee4f5_jpg.rf.e0b7348a2462aa17cb8444e100803f6a.jpg,2,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/013a0328-231_jpeg_jpg.rf.29c4dd8aaa0e25b8ecf5dbba792b4c8d.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/07093fdf-war-and-army-handgun-wallpaper-preview_jpg.rf.64c6362df42740d82c47bbe531ed02b9.jpg,6,2
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/084b8703f65732d4bce9ef99241f9ee9_jpg.rf.c6314e50d9bb9810c0cbe8ba27d5d71d.jpg,5,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/0ABQFUGBZL6D73EG8K88519AP7RXYA_jpg.rf.0c75d87d790972639c998c7e6a50aad8.jpg,2,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/0AEMPF2X5QOK60CHYGPUWL2R5B9NJU_jpg.rf.d5b3b5bc34458106fa840c600ce94db4.jpg,3,2
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/0B7WQJUALHML0D21ICNU51Y7YPK7GP_jpg.rf.b5c5708442a1572ffa8b7ef41d6b373d.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/0C984O819MRCMNIVCLIO1EXBI0DOVH_jpg.rf.b844006953eac5123378c8849b4eb6f1.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/1-175-_jpg.rf.a3295afedfd664e80ab39f3190b2c71f.jpg,2,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/1000_F_128993624_pT5m3qg0z4UWx2jQH7wW4hmHlO0znBTS_jpg.rf.808e21ef0f7fd56bed52b6d19fb4faa7.jpg,5,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/11_jpeg_jpg.rf.f9903014887b277a9855ff77ac987baa.jpg,3,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/198_jpg.rf.cf4b6b9c3172201ae00d5c5df90ec974.jpg,1,2
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/2080345-1024x993_jpg.rf.81efb5af767f764d72b32c21fa9d5aa1.jpg,2,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/20_jpg.rf.c3107edd250fd7f301b2ad840563c2d2.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/28144547_00__01296_jpg.rf.d35b103a42cff4cc738ae9b27223dff8.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/28144548_00__01300_jpg.rf.92fcf4a39ebf0cc43dc1b38f36da190e.jpg,1,1
