epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.242,0.62466,2.67022,0.60592,0.50194,0.44163,0.43969,0.22558,0.77175,2.0518,0.71684,0.00332056,0.00332056,0.00332056
2,247.133,0.60998,2.04129,0.58039,0.30687,0.22017,0.1664,0.06646,1.0867,3.44968,1.01585,0.00657155,0.00657155,0.00657155
3,371.283,0.74257,2.52675,0.68337,0.06761,0.06035,0.02,0.00792,1.61189,9.14961,1.65154,0.00974004,0.00974004,0.00974004
4,495.465,0.78913,2.75338,0.72559,0.18823,0.16117,0.09776,0.03669,1.19621,7.7365,1.22146,0.00962875,0.00962875,0.00962875
5,614.986,0.72756,2.50292,0.68407,0.32183,0.26336,0.2334,0.09944,1.01662,2.78401,1.00224,0.009505,0.009505,0.009505
6,736.681,0.70876,2.30979,0.66733,0.45158,0.38258,0.36429,0.17647,0.88582,2.36801,0.88513,0.00938125,0.00938125,0.00938125
7,858.248,0.67937,2.19429,0.64948,0.43438,0.40631,0.38082,0.18379,0.87442,2.22604,0.8419,0.0092575,0.0092575,0.0092575
8,978.207,0.66034,2.08469,0.635,0.46243,0.39132,0.37606,0.18447,0.90384,2.25191,0.87039,0.00913375,0.00913375,0.00913375
9,1103.25,0.65756,2.00836,0.6367,0.54082,0.48508,0.49053,0.23955,0.82515,1.82736,0.78613,0.00901,0.00901,0.00901
10,1223.95,0.64772,1.94597,0.62988,0.51924,0.51419,0.51307,0.26331,0.78631,1.76144,0.76923,0.00888625,0.00888625,0.00888625
11,1345.96,0.64239,1.8715,0.63087,0.6035,0.51429,0.54307,0.28235,0.77006,1.70266,0.76634,0.0087625,0.0087625,0.0087625
12,1469.03,0.63567,1.81547,0.62252,0.59973,0.52576,0.54952,0.29413,0.74894,1.66496,0.73718,0.00863875,0.00863875,0.00863875
13,1593.83,0.63921,1.77534,0.62862,0.61567,0.56716,0.58182,0.30602,0.75475,1.62633,0.73589,0.008515,0.008515,0.008515
14,1716.21,0.63772,1.72308,0.62971,0.6565,0.55921,0.60272,0.32436,0.70617,1.53174,0.6951,0.00839125,0.00839125,0.00839125
15,1837.22,0.63443,1.68735,0.62985,0.63807,0.54704,0.58447,0.31327,0.74584,1.55864,0.73052,0.0082675,0.0082675,0.0082675
