epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.206,0.63114,2.53131,0.61282,0.47542,0.45166,0.42164,0.20983,0.6694,1.88728,0.6441,0.00332108,0.00332108,0.00332108
2,259.907,0.61323,2.04084,0.58768,0.36561,0.29982,0.22573,0.1022,0.82769,2.72626,0.83903,0.00657206,0.00657206,0.00657206
3,408.579,0.71243,2.50667,0.68419,0.05786,0.0816,0.02005,0.0066,1.27957,13.0181,1.36962,0.00974055,0.00974055,0.00974055
4,537.187,0.76311,2.71495,0.73808,0.26568,0.27762,0.18576,0.07677,1.00428,3.48986,1.0733,0.00962875,0.00962875,0.00962875
5,672.486,0.71659,2.47631,0.69623,0.39476,0.36725,0.32108,0.13922,0.83673,2.5904,0.85113,0.009505,0.009505,0.009505
6,806.099,0.68031,2.27915,0.67344,0.41491,0.3841,0.3488,0.16634,0.84898,2.20603,0.87221,0.00938125,0.00938125,0.00938125
7,941.808,0.66439,2.16174,0.66083,0.4392,0.3685,0.34474,0.16394,0.81708,2.29961,0.83844,0.0092575,0.0092575,0.0092575
8,1079.14,0.65904,2.07838,0.65598,0.51844,0.45887,0.45645,0.22502,0.75265,1.9402,0.77293,0.00913375,0.00913375,0.00913375
9,1215.55,0.6436,1.97527,0.64767,0.54286,0.47962,0.48647,0.24279,0.73185,1.82808,0.76391,0.00901,0.00901,0.00901
10,1348.91,0.6363,1.89573,0.64158,0.58831,0.52165,0.54603,0.28609,0.69511,1.682,0.71995,0.00888625,0.00888625,0.00888625
11,1482.37,0.63451,1.88416,0.64154,0.60317,0.51951,0.54196,0.28807,0.74877,1.67685,0.77516,0.0087625,0.0087625,0.0087625
12,1615.76,0.62212,1.8074,0.63398,0.63779,0.54059,0.57273,0.30275,0.70543,1.59044,0.72493,0.00863875,0.00863875,0.00863875
13,1751.4,0.6241,1.74808,0.63704,0.67114,0.57739,0.62305,0.33385,0.68446,1.46998,0.70088,0.008515,0.008515,0.008515
14,1888.19,0.61777,1.68887,0.63279,0.67292,0.58085,0.62819,0.34329,0.67858,1.45393,0.69707,0.00839125,0.00839125,0.00839125
15,2022.26,0.61955,1.66678,0.63681,0.64084,0.59586,0.63307,0.34656,0.66683,1.43583,0.69091,0.0082675,0.0082675,0.0082675
16,2156.32,0.61399,1.63824,0.63377,0.68712,0.60212,0.65539,0.36301,0.66108,1.38257,0.68693,0.00814375,0.00814375,0.00814375
17,2291.58,0.61643,1.58075,0.63416,0.69975,0.61581,0.67354,0.3752,0.65593,1.35904,0.68336,0.00802,0.00802,0.00802
18,2424.57,0.61399,1.55476,0.63547,0.68545,0.63542,0.67434,0.37988,0.6448,1.33142,0.67519,0.00789625,0.00789625,0.00789625
19,2560.11,0.60934,1.53367,0.63382,0.7194,0.63094,0.6875,0.39234,0.61272,1.29707,0.64677,0.0077725,0.0077725,0.0077725
20,2694.47,0.60344,1.5017,0.63072,0.7287,0.64699,0.70338,0.3994,0.61447,1.27135,0.64864,0.00764875,0.00764875,0.00764875
21,2827.54,0.61476,1.47189,0.63819,0.72563,0.65382,0.71265,0.41431,0.62438,1.23447,0.66101,0.007525,0.007525,0.007525
