epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.201,0.64146,2.53932,0.62697,0.4765,0.48533,0.45604,0.22577,0.70754,2.00331,0.6827,0.00332056,0.00332056,0.00332056
2,264.845,0.60807,2.02383,0.58401,0.27662,0.21918,0.15892,0.07868,1.19703,3.29239,1.17076,0.00657155,0.00657155,0.00657155
3,399.509,0.69013,2.48288,0.66403,0.04456,0.05365,0.01676,0.00578,1.59002,6.76879,1.7514,0.00974004,0.00974004,0.00974004
4,530.79,0.74968,2.69562,0.72177,0.2317,0.27967,0.16671,0.0657,1.137,5.30122,1.15418,0.00962875,0.00962875,0.00962875
5,660.464,0.71038,2.45996,0.68916,0.36923,0.31242,0.25302,0.10915,0.96433,2.87871,0.97162,0.009505,0.009505,0.009505
6,791.257,0.67577,2.2813,0.66056,0.43424,0.39994,0.37574,0.18136,0.8632,2.19946,0.88252,0.00938125,0.00938125,0.00938125
7,920.271,0.66444,2.15679,0.65254,0.51873,0.43813,0.43635,0.21789,0.79259,2.04191,0.79722,0.0092575,0.0092575,0.0092575
8,1048.28,0.6439,2.05685,0.63968,0.51883,0.45317,0.45292,0.2217,0.82006,1.96504,0.82016,0.00913375,0.00913375,0.00913375
9,1178.12,0.63033,1.96615,0.63206,0.56954,0.47507,0.4976,0.2497,0.76032,1.82063,0.75105,0.00901,0.00901,0.00901
10,1307.48,0.62823,1.90687,0.63184,0.56739,0.50216,0.52234,0.27296,0.7338,1.74299,0.74959,0.00888625,0.00888625,0.00888625
11,1437.73,0.62483,1.83281,0.63075,0.6497,0.5103,0.57127,0.30474,0.72542,1.62743,0.73978,0.0087625,0.0087625,0.0087625
12,1570.78,0.61953,1.7805,0.62559,0.63507,0.56692,0.59578,0.32068,0.68622,1.57929,0.69981,0.00863875,0.00863875,0.00863875
13,1701.7,0.61266,1.73041,0.62529,0.64387,0.57108,0.61075,0.33048,0.71558,1.55771,0.7266,0.008515,0.008515,0.008515
