epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.208,0.63951,2.60911,0.61547,0.46368,0.39013,0.36863,0.19076,0.80211,2.20934,0.76712,0.00332056,0.00332056,0.00332056
2,247.041,0.60341,2.00906,0.58185,0.35634,0.32077,0.27543,0.11712,0.97423,2.411,0.93974,0.00657155,0.00657155,0.00657155
3,372.772,0.69408,2.47892,0.6662,0.02372,0.04805,0.00825,0.00289,1.6143,8.40209,1.9204,0.00974004,0.00974004,0.00974004
4,496.159,0.75221,2.6951,0.72576,0.23128,0.22941,0.15373,0.06127,0.99564,5.05742,1.03636,0.00962875,0.00962875,0.00962875
5,621.571,0.70131,2.45976,0.68381,0.38789,0.32304,0.2871,0.12393,0.96569,2.57891,0.97659,0.009505,0.009505,0.009505
6,744.631,0.67895,2.27535,0.66295,0.45515,0.36268,0.35186,0.16368,0.89495,2.45353,0.88972,0.00938125,0.00938125,0.00938125
7,869.074,0.65831,2.15073,0.65031,0.45511,0.38542,0.35181,0.16856,0.88027,2.31599,0.86743,0.0092575,0.0092575,0.0092575
8,984.426,0.6408,2.05964,0.6413,0.55476,0.46367,0.48756,0.24394,0.80892,1.85309,0.81042,0.00913375,0.00913375,0.00913375
9,1109.21,0.64117,1.9702,0.64103,0.57359,0.48787,0.5116,0.25729,0.80426,1.80795,0.79651,0.00901,0.00901,0.00901
10,1233.35,0.63897,1.90925,0.63948,0.54202,0.49645,0.51562,0.26692,0.75509,1.74225,0.76925,0.00888625,0.00888625,0.00888625
11,1358.03,0.63114,1.82774,0.63696,0.60384,0.53217,0.56284,0.29613,0.73453,1.65894,0.75648,0.0087625,0.0087625,0.0087625
12,1482.74,0.6239,1.78303,0.62855,0.64966,0.55698,0.60683,0.32891,0.6972,1.55769,0.7227,0.00863875,0.00863875,0.00863875
13,1607.54,0.61844,1.743,0.63164,0.62738,0.5559,0.58105,0.31182,0.71307,1.62084,0.73873,0.008515,0.008515,0.008515
14,1731.55,0.62671,1.69727,0.6357,0.67087,0.57794,0.63452,0.3463,0.69032,1.47909,0.7035,0.00839125,0.00839125,0.00839125
15,1850.34,0.61843,1.64593,0.6321,0.69001,0.59553,0.64471,0.35515,0.68418,1.47467,0.69806,0.0082675,0.0082675,0.0082675
16,1971.79,0.61981,1.62143,0.63287,0.64637,0.60364,0.63886,0.35887,0.68867,1.44829,0.70098,0.00814375,0.00814375,0.00814375
17,2088.18,0.61477,1.57691,0.62831,0.69673,0.60756,0.66312,0.36779,0.69489,1.40826,0.7119,0.00802,0.00802,0.00802
18,2202.45,0.61814,1.54716,0.63521,0.70061,0.61835,0.67656,0.38654,0.64274,1.37053,0.65898,0.00789625,0.00789625,0.00789625
19,2325.41,0.61192,1.51325,0.6311,0.71186,0.63642,0.69111,0.39951,0.66747,1.28812,0.68394,0.0077725,0.0077725,0.0077725
20,2449.31,0.61205,1.49745,0.63443,0.72576,0.63709,0.70363,0.40687,0.66537,1.29351,0.6817,0.00764875,0.00764875,0.00764875
21,2563.84,0.61402,1.47584,0.63606,0.72476,0.64844,0.70606,0.41467,0.64297,1.253,0.66741,0.007525,0.007525,0.007525
22,2683.01,0.60886,1.43269,0.63123,0.74482,0.64448,0.71581,0.42186,0.64367,1.24031,0.66008,0.00740125,0.00740125,0.00740125
23,2807.55,0.60937,1.40999,0.6325,0.74812,0.66624,0.72768,0.42304,0.64811,1.22792,0.6619,0.0072775,0.0072775,0.0072775
24,2932.11,0.61691,1.38208,0.64299,0.74919,0.67719,0.7332,0.43048,0.6403,1.1965,0.65865,0.00715375,0.00715375,0.00715375
25,3049.72,0.61568,1.37196,0.64546,0.75654,0.67411,0.74413,0.4483,0.64556,1.18764,0.66385,0.00703,0.00703,0.00703
26,3165.18,0.61257,1.3441,0.64131,0.7656,0.67956,0.75076,0.44573,0.61908,1.17733,0.63187,0.00690625,0.00690625,0.00690625
27,3280.4,0.62177,1.34469,0.64975,0.77601,0.69484,0.75732,0.45266,0.64201,1.17361,0.65518,0.0067825,0.0067825,0.0067825
28,3404.49,0.6223,1.31349,0.65084,0.79284,0.69222,0.76455,0.45829,0.60806,1.13295,0.62337,0.00665875,0.00665875,0.00665875
