epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.888,0.63897,2.44131,0.6172,0.50554,0.43293,0.43536,0.22906,0.69454,2.14726,0.65467,0.00332056,0.00332056,0.00332056
2,256.319,0.60338,2.0073,0.57955,0.30812,0.27612,0.209,0.0958,0.93581,2.81003,0.92726,0.00657155,0.00657155,0.00657155
3,385.653,0.70023,2.48303,0.66955,0.06948,0.058,0.02156,0.00753,1.42703,16.1007,1.68647,0.00974004,0.00974004,0.00974004
4,506.576,0.75821,2.69883,0.72594,0.16869,0.2388,0.13239,0.05492,1.16355,5.91372,1.20085,0.00962875,0.00962875,0.00962875
5,635.193,0.69908,2.47222,0.68098,0.36987,0.32366,0.2904,0.13073,0.8891,2.65253,0.91479,0.009505,0.009505,0.009505
6,763.749,0.68132,2.28432,0.66475,0.48505,0.40448,0.40575,0.19481,0.81035,2.25413,0.82185,0.00938125,0.00938125,0.00938125
7,890.007,0.66275,2.15247,0.65152,0.50949,0.41925,0.42216,0.20536,0.79207,2.16251,0.78079,0.0092575,0.0092575,0.0092575
8,1019.57,0.6514,2.05755,0.64599,0.46833,0.4088,0.40033,0.19092,0.85733,2.0596,0.85367,0.00913375,0.00913375,0.00913375
9,1148.66,0.63899,1.97366,0.63808,0.59559,0.49354,0.52632,0.26945,0.77656,1.77374,0.7755,0.00901,0.00901,0.00901
10,1278.24,0.63043,1.91941,0.63305,0.59003,0.53501,0.54354,0.28159,0.77481,1.72766,0.76561,0.00888625,0.00888625,0.00888625
11,1406.6,0.62228,1.83473,0.62974,0.59597,0.53933,0.56188,0.29803,0.71613,1.68379,0.73209,0.0087625,0.0087625,0.0087625
12,1529.75,0.61791,1.78391,0.62593,0.62895,0.52341,0.56879,0.30236,0.72336,1.67341,0.72996,0.00863875,0.00863875,0.00863875
13,1658.8,0.6166,1.73578,0.62692,0.64215,0.55147,0.59022,0.31351,0.70264,1.60123,0.71714,0.008515,0.008515,0.008515
14,1787.98,0.62285,1.69701,0.63419,0.65958,0.5571,0.61015,0.33502,0.69799,1.52452,0.7056,0.00839125,0.00839125,0.00839125
15,1913.32,0.61749,1.65114,0.63109,0.64565,0.58113,0.60544,0.32553,0.6827,1.52369,0.69272,0.0082675,0.0082675,0.0082675
16,2040.87,0.61729,1.62185,0.63099,0.69613,0.61367,0.65014,0.36899,0.68091,1.40633,0.69048,0.00814375,0.00814375,0.00814375
17,2170.39,0.61653,1.57903,0.62944,0.6975,0.58437,0.64803,0.36158,0.70784,1.4397,0.72008,0.00802,0.00802,0.00802
18,2299.18,0.6156,1.55513,0.63056,0.67732,0.61067,0.66295,0.37333,0.66733,1.37713,0.6773,0.00789625,0.00789625,0.00789625
19,2424.27,0.61555,1.51997,0.63205,0.7213,0.64096,0.69612,0.39234,0.68974,1.31446,0.68977,0.0077725,0.0077725,0.0077725
20,2547.87,0.61299,1.49189,0.63056,0.72708,0.63531,0.69992,0.39245,0.67499,1.31268,0.67976,0.00764875,0.00764875,0.00764875
21,2674.44,0.61339,1.46974,0.63159,0.71741,0.64441,0.70388,0.41273,0.64222,1.27888,0.67055,0.007525,0.007525,0.007525
22,2803.89,0.61192,1.44041,0.63222,0.74048,0.64467,0.70842,0.40971,0.654,1.28532,0.65647,0.00740125,0.00740125,0.00740125
23,2930.3,0.60993,1.41366,0.63486,0.74887,0.66908,0.72901,0.42261,0.63358,1.21942,0.64609,0.0072775,0.0072775,0.0072775
24,3059.17,0.62269,1.38942,0.64603,0.75165,0.67355,0.72977,0.42849,0.63056,1.19844,0.64689,0.00715375,0.00715375,0.00715375
25,3188.49,0.61452,1.37757,0.64283,0.76296,0.67881,0.7396,0.4431,0.61854,1.23633,0.63535,0.00703,0.00703,0.00703
26,3315.76,0.61353,1.3606,0.64119,0.75752,0.68073,0.74229,0.44353,0.61564,1.22058,0.6362,0.00690625,0.00690625,0.00690625
27,3444.64,0.6216,1.34259,0.64797,0.7676,0.68287,0.74695,0.44847,0.62251,1.17377,0.64159,0.0067825,0.0067825,0.0067825
28,3574.1,0.6187,1.31797,0.64808,0.78979,0.68808,0.75994,0.45689,0.62096,1.12863,0.63713,0.00665875,0.00665875,0.00665875
29,3702.89,0.61884,1.30459,0.65057,0.79243,0.69771,0.7602,0.45826,0.6165,1.12912,0.63242,0.006535,0.006535,0.006535
30,3832.52,0.61666,1.28376,0.65204,0.80074,0.69459,0.77193,0.47068,0.58865,1.09328,0.61292,0.00641125,0.00641125,0.00641125
31,3962.04,0.6173,1.26025,0.65042,0.80102,0.69155,0.77338,0.47118,0.62016,1.08652,0.6324,0.0062875,0.0062875,0.0062875
32,4091.43,0.61374,1.23465,0.6502,0.79594,0.71474,0.77988,0.47737,0.61528,1.05729,0.62912,0.00616375,0.00616375,0.00616375
33,4220.81,0.61253,1.21905,0.65049,0.8036,0.71826,0.78334,0.47754,0.60732,1.05457,0.62966,0.00604,0.00604,0.00604
34,4350.22,0.61668,1.20767,0.65737,0.7962,0.71996,0.78389,0.48286,0.5899,1.03434,0.61026,0.00591625,0.00591625,0.00591625
35,4479.75,0.61266,1.18602,0.65648,0.81468,0.71289,0.78875,0.48627,0.58043,1.03781,0.60415,0.0057925,0.0057925,0.0057925
36,4608.89,0.62338,1.18294,0.66667,0.81669,0.71349,0.78874,0.49039,0.58335,1.02517,0.60468,0.00566875,0.00566875,0.00566875
37,4738.23,0.62712,1.16675,0.66998,0.79517,0.72068,0.78984,0.48839,0.58651,1.01984,0.60435,0.005545,0.005545,0.005545
38,4856.91,0.62819,1.14753,0.66598,0.81147,0.71884,0.79338,0.49152,0.59058,1.01557,0.60732,0.00542125,0.00542125,0.00542125
39,4982.93,0.62632,1.13274,0.67011,0.81371,0.7207,0.7923,0.49423,0.58411,0.99015,0.6038,0.0052975,0.0052975,0.0052975
40,5106.16,0.62032,1.10818,0.67049,0.81066,0.72583,0.79576,0.49632,0.58994,0.96648,0.60677,0.00517375,0.00517375,0.00517375
41,5235.48,0.62692,1.10084,0.6734,0.81065,0.72251,0.79448,0.4977,0.5864,0.97502,0.6055,0.00505,0.00505,0.00505
42,5364.65,0.62251,1.08631,0.67481,0.81829,0.71931,0.79438,0.49929,0.57827,0.96243,0.59914,0.00492625,0.00492625,0.00492625
43,5488.6,0.62221,1.07733,0.67445,0.81419,0.74136,0.80278,0.5064,0.58869,0.95711,0.60583,0.0048025,0.0048025,0.0048025
44,5606.19,0.62764,1.06818,0.68302,0.80962,0.73859,0.80233,0.50354,0.58018,0.96889,0.60179,0.00467875,0.00467875,0.00467875
45,5723.69,0.62561,1.05987,0.68252,0.81162,0.73903,0.80408,0.50588,0.58151,0.96781,0.60495,0.004555,0.004555,0.004555
46,5841.4,0.63031,1.04063,0.6851,0.80714,0.74294,0.80643,0.50718,0.57328,0.95672,0.59546,0.00443125,0.00443125,0.00443125
47,5965.54,0.63052,1.0293,0.68835,0.81335,0.73523,0.80565,0.50861,0.58063,0.94257,0.5992,0.0043075,0.0043075,0.0043075
48,6094.54,0.62696,1.00463,0.68902,0.82151,0.741,0.81069,0.51025,0.58365,0.93362,0.5999,0.00418375,0.00418375,0.00418375
