epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.054,0.7185,2.69272,0.64278,0.42837,0.42166,0.37275,0.18618,0.72134,1.92386,0.67377,0.00332108,0.00332108,0.00332108
2,255.377,0.68402,2.04699,0.59798,0.27748,0.27951,0.18952,0.07842,0.88025,3.01947,0.86459,0.00657206,0.00657206,0.00657206
3,376.626,0.75458,2.47119,0.68775,0.0637,0.08774,0.02367,0.0075,1.24186,6.42134,1.24358,0.00974055,0.00974055,0.00974055
4,498.842,0.78675,2.6719,0.73167,0.23647,0.21571,0.14149,0.05511,1.05671,3.63131,1.03058,0.00962875,0.00962875,0.00962875
5,619.582,0.74378,2.45647,0.69701,0.36535,0.34639,0.29408,0.13003,0.85229,2.48736,0.84034,0.009505,0.009505,0.009505
6,740.101,0.69077,2.2636,0.66328,0.36687,0.33183,0.28171,0.13528,0.90904,2.47133,0.90686,0.00938125,0.00938125,0.00938125
7,863.409,0.67,2.14799,0.65094,0.52122,0.42991,0.42918,0.21183,0.76774,1.99758,0.76933,0.0092575,0.0092575,0.0092575
8,996.051,0.66195,2.05981,0.64537,0.52423,0.43959,0.45091,0.22333,0.77501,1.8919,0.76844,0.00913375,0.00913375,0.00913375
9,1127.68,0.65444,1.98044,0.63993,0.56528,0.49953,0.51465,0.26291,0.72543,1.78521,0.73241,0.00901,0.00901,0.00901
10,1259.48,0.65199,1.89588,0.63913,0.60678,0.50088,0.5292,0.27507,0.69256,1.7323,0.70369,0.00888625,0.00888625,0.00888625
11,1384.87,0.64398,1.87277,0.63491,0.60072,0.51237,0.54881,0.28949,0.67865,1.63118,0.70093,0.0087625,0.0087625,0.0087625
12,1510.52,0.62792,1.80123,0.62503,0.62494,0.52121,0.5619,0.2949,0.68269,1.6132,0.68956,0.00863875,0.00863875,0.00863875
13,1631.44,0.63093,1.75176,0.62934,0.63537,0.56433,0.60289,0.32175,0.66077,1.52681,0.67392,0.008515,0.008515,0.008515
14,1752.67,0.62428,1.69697,0.62696,0.67789,0.5733,0.62543,0.34419,0.67386,1.45799,0.68448,0.00839125,0.00839125,0.00839125
15,1884.65,0.62974,1.66768,0.63266,0.65141,0.58859,0.63535,0.35425,0.66678,1.42827,0.683,0.0082675,0.0082675,0.0082675
