epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.321,0.70756,2.62699,0.63494,0.4669,0.46242,0.43355,0.21748,0.78271,1.93595,0.67072,0.00332056,0.00332056,0.00332056
2,236.623,0.65911,2.04597,0.58599,0.32665,0.31695,0.25039,0.10849,0.8837,2.56064,0.83497,0.00657155,0.00657155,0.00657155
3,352.677,0.72915,2.46789,0.67627,0.10043,0.08691,0.03266,0.01228,1.43078,19.834,1.54502,0.00974004,0.00974004,0.00974004
4,468.285,0.78988,2.68372,0.7377,0.25385,0.16518,0.12774,0.05043,1.10788,4.66037,1.13671,0.00962875,0.00962875,0.00962875
5,581.116,0.72648,2.45238,0.69271,0.37082,0.30198,0.26226,0.11998,0.95849,2.77902,0.95181,0.009505,0.009505,0.009505
6,703.634,0.69383,2.26324,0.66775,0.45592,0.38035,0.37684,0.17472,0.8296,2.21208,0.83026,0.00938125,0.00938125,0.00938125
7,818.748,0.6645,2.15296,0.64672,0.44668,0.37786,0.35861,0.16665,0.84921,2.31537,0.83037,0.0092575,0.0092575,0.0092575
8,940.832,0.6468,2.05185,0.63906,0.50891,0.43523,0.43757,0.21932,0.77297,2.02235,0.77999,0.00913375,0.00913375,0.00913375
9,1061.97,0.64037,1.96615,0.63612,0.56738,0.48674,0.50172,0.25694,0.78899,1.80612,0.79319,0.00901,0.00901,0.00901
10,1183.82,0.63378,1.90515,0.63145,0.59953,0.50308,0.53154,0.27793,0.73643,1.70664,0.73961,0.00888625,0.00888625,0.00888625
11,1305.89,0.62713,1.84518,0.62952,0.60765,0.52298,0.54854,0.28967,0.71804,1.68686,0.72732,0.0087625,0.0087625,0.0087625
12,1421.09,0.6221,1.78438,0.62493,0.61596,0.54455,0.57678,0.31464,0.6992,1.62792,0.70547,0.00863875,0.00863875,0.00863875
13,1543.2,0.62222,1.74309,0.62804,0.65999,0.54114,0.59272,0.31954,0.68166,1.61005,0.70402,0.008515,0.008515,0.008515
14,1665.04,0.62596,1.69243,0.63249,0.65159,0.5989,0.63143,0.34666,0.68884,1.46693,0.69414,0.00839125,0.00839125,0.00839125
15,1786.96,0.62596,1.65149,0.63426,0.66809,0.59717,0.63594,0.34929,0.69919,1.4614,0.69275,0.0082675,0.0082675,0.0082675
16,1909.21,0.62378,1.62808,0.63291,0.67925,0.60342,0.65524,0.36908,0.67797,1.43231,0.68455,0.00814375,0.00814375,0.00814375
17,2029.64,0.62112,1.57246,0.63169,0.70046,0.61703,0.66721,0.37542,0.67548,1.39144,0.68238,0.00802,0.00802,0.00802
18,2141.98,0.62259,1.5489,0.63471,0.69658,0.58853,0.65287,0.37142,0.68246,1.4046,0.69337,0.00789625,0.00789625,0.00789625
19,2263.78,0.61546,1.51675,0.63159,0.70458,0.64541,0.6932,0.3968,0.6533,1.32082,0.66552,0.0077725,0.0077725,0.0077725
20,2383.37,0.61793,1.49813,0.63365,0.70891,0.63856,0.69142,0.40073,0.63432,1.29992,0.6454,0.00764875,0.00764875,0.00764875
