epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.986,0.6274,2.44365,0.61,0.42128,0.4053,0.3704,0.19363,0.70939,2.14547,0.71648,0.00332108,0.00332108,0.00332108
2,253.324,0.62176,2.03585,0.59545,0.22608,0.34746,0.1959,0.08752,0.88697,3.11477,0.89054,0.00657206,0.00657206,0.00657206
3,382.285,0.72347,2.50371,0.68775,0.05704,0.06418,0.01779,0.00583,1.6105,9.78151,1.71798,0.00974055,0.00974055,0.00974055
4,510.265,0.7587,2.72165,0.72991,0.15543,0.24566,0.11823,0.05042,1.00433,4.06941,1.06945,0.00962875,0.00962875,0.00962875
5,639.653,0.72809,2.47947,0.70138,0.37185,0.34819,0.30266,0.13318,0.82868,2.57837,0.84952,0.009505,0.009505,0.009505
6,761.826,0.67696,2.27496,0.66749,0.45933,0.38861,0.37249,0.17794,0.82798,2.12187,0.8466,0.00938125,0.00938125,0.00938125
7,880.949,0.66428,2.16634,0.66007,0.52534,0.39274,0.41754,0.2052,0.79426,2.07116,0.81842,0.0092575,0.0092575,0.0092575
8,1008.5,0.65552,2.06941,0.64831,0.52156,0.44015,0.46454,0.22613,0.79061,1.99492,0.80269,0.00913375,0.00913375,0.00913375
9,1139.74,0.64572,1.98335,0.64299,0.51841,0.5017,0.49063,0.24509,0.7665,1.84205,0.78464,0.00901,0.00901,0.00901
10,1270.33,0.63951,1.89449,0.63933,0.57479,0.50545,0.52832,0.27543,0.69483,1.71095,0.72515,0.00888625,0.00888625,0.00888625
11,1397.43,0.62928,1.87066,0.63186,0.60765,0.5325,0.57068,0.30565,0.68838,1.5942,0.72608,0.0087625,0.0087625,0.0087625
12,1527.89,0.61943,1.79825,0.62628,0.60858,0.53038,0.56206,0.30113,0.69996,1.60451,0.71283,0.00863875,0.00863875,0.00863875
13,1647.49,0.62013,1.75297,0.62887,0.65525,0.56141,0.60703,0.33066,0.66152,1.51806,0.69154,0.008515,0.008515,0.008515
14,1771.83,0.62048,1.70259,0.63166,0.65001,0.5602,0.60696,0.33413,0.67936,1.4958,0.70234,0.00839125,0.00839125,0.00839125
15,1901.83,0.61966,1.66323,0.63254,0.65336,0.59954,0.63657,0.34493,0.6861,1.43952,0.70945,0.0082675,0.0082675,0.0082675
16,2021.2,0.61615,1.62503,0.62995,0.67063,0.58944,0.64146,0.35809,0.65892,1.40901,0.68839,0.00814375,0.00814375,0.00814375
17,2146.09,0.62194,1.57632,0.63135,0.694,0.60249,0.6622,0.37325,0.63849,1.38775,0.66612,0.00802,0.00802,0.00802
18,2276.47,0.61423,1.55836,0.62909,0.69638,0.61368,0.66653,0.37839,0.63242,1.34554,0.65416,0.00789625,0.00789625,0.00789625
19,2397.58,0.61139,1.52446,0.62902,0.69036,0.62873,0.66841,0.38546,0.64159,1.31455,0.66492,0.0077725,0.0077725,0.0077725
20,2519.38,0.61139,1.49553,0.62883,0.73359,0.64499,0.70569,0.4042,0.6389,1.26972,0.66646,0.00764875,0.00764875,0.00764875
21,2637.97,0.61393,1.46662,0.63297,0.72621,0.64148,0.70235,0.40333,0.60857,1.2488,0.64141,0.007525,0.007525,0.007525
22,2762.51,0.6076,1.4573,0.63062,0.73998,0.65529,0.71471,0.41737,0.60875,1.23254,0.63798,0.00740125,0.00740125,0.00740125
23,2892.79,0.61684,1.44747,0.64225,0.75457,0.64391,0.72598,0.42826,0.58861,1.21312,0.62391,0.0072775,0.0072775,0.0072775
24,3021.26,0.61585,1.41285,0.64206,0.7497,0.66464,0.73441,0.43583,0.58211,1.18426,0.62144,0.00715375,0.00715375,0.00715375
25,3151.27,0.61559,1.38513,0.64408,0.76598,0.67218,0.73806,0.43951,0.58501,1.15825,0.62318,0.00703,0.00703,0.00703
26,3282.08,0.61364,1.36243,0.64215,0.7681,0.68595,0.75197,0.44639,0.58418,1.13495,0.61243,0.00690625,0.00690625,0.00690625
27,3412.34,0.62214,1.34186,0.65149,0.78441,0.68243,0.75777,0.45556,0.57453,1.10916,0.61178,0.0067825,0.0067825,0.0067825
28,3536.72,0.62583,1.31295,0.65476,0.78557,0.68612,0.7551,0.45123,0.59175,1.11701,0.62185,0.00665875,0.00665875,0.00665875
29,3661.08,0.61549,1.29373,0.64592,0.765,0.7005,0.76243,0.46271,0.57321,1.07574,0.6071,0.006535,0.006535,0.006535
30,3783.69,0.62358,1.28947,0.65748,0.78542,0.69771,0.76856,0.4683,0.56532,1.07394,0.59999,0.00641125,0.00641125,0.00641125
31,3902.02,0.6179,1.26327,0.65274,0.79851,0.70116,0.77643,0.47163,0.57973,1.05357,0.61331,0.0062875,0.0062875,0.0062875
32,4020.49,0.61573,1.24469,0.65441,0.80308,0.70652,0.78014,0.47655,0.56629,1.04199,0.60253,0.00616375,0.00616375,0.00616375
33,4138.5,0.62063,1.24076,0.65876,0.80501,0.71132,0.7857,0.48247,0.5662,1.01911,0.59899,0.00604,0.00604,0.00604
34,4264.32,0.62669,1.21849,0.66281,0.79327,0.71325,0.78521,0.48207,0.55986,1.01445,0.59342,0.00591625,0.00591625,0.00591625
35,4392.98,0.62341,1.18789,0.66304,0.81061,0.71582,0.78618,0.48462,0.56266,1.00737,0.59845,0.0057925,0.0057925,0.0057925
36,4523.33,0.62726,1.19298,0.66972,0.80065,0.72566,0.78822,0.48907,0.54915,1.00491,0.58632,0.00566875,0.00566875,0.00566875
37,4653.9,0.62647,1.16876,0.66848,0.81007,0.73163,0.79576,0.49456,0.55479,0.98967,0.59142,0.005545,0.005545,0.005545
38,4777.69,0.62362,1.15506,0.67101,0.82057,0.73079,0.79801,0.49495,0.55339,0.98201,0.59239,0.00542125,0.00542125,0.00542125
