epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.229,1.58645,2.83538,1.70411,0.47909,0.41788,0.41193,0.20914,1.65768,1.93181,1.8206,0.0033195,0.0033195,0.0033195
2,234.014,1.57304,2.08357,1.68971,0.32907,0.30863,0.23209,0.09763,2.04137,2.64018,2.20045,0.00657051,0.00657051,0.00657051
3,354.624,1.80515,2.55968,1.91039,0.31539,0.0556,0.00767,0.0028,2.67214,23.5858,3.43473,0.00973901,0.00973901,0.00973901
4,470.499,1.87588,2.81345,2.03569,0.28121,0.21451,0.1515,0.06328,1.98874,5.73241,2.30026,0.00962875,0.00962875,0.00962875
5,583.75,1.76737,2.58573,1.93816,0.38808,0.30314,0.26831,0.1193,1.91032,2.68784,2.16986,0.009505,0.009505,0.009505
6,696.088,1.704,2.39769,1.87316,0.36633,0.34762,0.27986,0.13269,1.77727,2.52731,2.02732,0.00938125,0.00938125,0.00938125
7,812.179,1.64768,2.26836,1.83448,0.46053,0.37607,0.37756,0.18706,1.70416,2.19481,1.94905,0.0092575,0.0092575,0.0092575
8,929.955,1.60723,2.15039,1.79496,0.4867,0.45142,0.43316,0.21207,1.69612,1.9555,1.90302,0.00913375,0.00913375,0.00913375
9,1041.86,1.58248,2.06629,1.76237,0.5128,0.43444,0.44722,0.22859,1.65952,1.95294,1.90621,0.00901,0.00901,0.00901
10,1156.93,1.55909,2.00782,1.74222,0.53754,0.49495,0.49362,0.25919,1.59081,1.82739,1.81802,0.00888625,0.00888625,0.00888625
11,1272.36,1.52654,1.93204,1.71798,0.55529,0.49871,0.51034,0.27312,1.57625,1.7089,1.79009,0.0087625,0.0087625,0.0087625
12,1385.8,1.50692,1.88225,1.68837,0.60861,0.51695,0.55425,0.30063,1.5283,1.62052,1.74754,0.00863875,0.00863875,0.00863875
13,1501.22,1.4933,1.8545,1.68236,0.63337,0.5161,0.57044,0.31051,1.53097,1.59447,1.74757,0.008515,0.008515,0.008515
14,1615.73,1.48027,1.78046,1.65655,0.61789,0.564,0.58608,0.32152,1.5214,1.52695,1.73739,0.00839125,0.00839125,0.00839125
15,1728.4,1.46198,1.74164,1.64347,0.64355,0.54874,0.59696,0.33166,1.49229,1.50568,1.72529,0.0082675,0.0082675,0.0082675
16,1843.01,1.44886,1.71811,1.6355,0.63877,0.57596,0.61415,0.34438,1.47136,1.4741,1.6935,0.00814375,0.00814375,0.00814375
17,1955.09,1.4248,1.66176,1.61735,0.64826,0.5801,0.62768,0.35353,1.48191,1.43575,1.7031,0.00802,0.00802,0.00802
18,2069.55,1.4262,1.63802,1.60893,0.66599,0.60397,0.64801,0.37312,1.45385,1.36978,1.669,0.00789625,0.00789625,0.00789625
19,2183,1.40027,1.59784,1.59287,0.69814,0.61004,0.67098,0.38537,1.44564,1.33251,1.67381,0.0077725,0.0077725,0.0077725
20,2297.26,1.3921,1.56913,1.58423,0.69029,0.62864,0.67541,0.39248,1.42579,1.3081,1.64134,0.00764875,0.00764875,0.00764875
21,2410.74,1.38521,1.53211,1.57003,0.70186,0.61933,0.6783,0.39726,1.42413,1.30491,1.63439,0.007525,0.007525,0.007525
22,2525.84,1.36988,1.51143,1.55885,0.72435,0.64008,0.70246,0.41465,1.3925,1.25325,1.60461,0.00740125,0.00740125,0.00740125
23,2644.01,1.35834,1.47881,1.54493,0.73989,0.62465,0.70206,0.41397,1.38128,1.26049,1.59338,0.0072775,0.0072775,0.0072775
24,2756.8,1.35182,1.46259,1.54347,0.72537,0.65205,0.70368,0.41634,1.38718,1.24395,1.61169,0.00715375,0.00715375,0.00715375
25,2869.33,1.3406,1.44102,1.53218,0.74564,0.64892,0.71727,0.42877,1.3724,1.19234,1.59856,0.00703,0.00703,0.00703
26,2984.49,1.32957,1.40506,1.52477,0.75071,0.66867,0.72851,0.43667,1.36108,1.17773,1.58523,0.00690625,0.00690625,0.00690625
27,3096.99,1.32865,1.40137,1.52161,0.76285,0.67219,0.73735,0.44495,1.35384,1.15957,1.57072,0.0067825,0.0067825,0.0067825
28,3212.49,1.3179,1.3789,1.5049,0.76924,0.66483,0.73913,0.44686,1.34923,1.14369,1.56441,0.00665875,0.00665875,0.00665875
29,3326.52,1.311,1.3632,1.50454,0.76908,0.67424,0.74603,0.4451,1.36547,1.13217,1.57674,0.006535,0.006535,0.006535
30,3441.03,1.30139,1.3363,1.49745,0.77164,0.68474,0.75442,0.45559,1.34634,1.10978,1.55802,0.00641125,0.00641125,0.00641125
31,3551.65,1.29176,1.32132,1.49008,0.77259,0.6754,0.74743,0.45737,1.34406,1.10979,1.55915,0.0062875,0.0062875,0.0062875
32,3663.38,1.27918,1.28945,1.48136,0.78954,0.68713,0.76012,0.46238,1.33284,1.08231,1.55327,0.00616375,0.00616375,0.00616375
33,3773.55,1.2705,1.27251,1.47464,0.76962,0.69427,0.76009,0.46487,1.33266,1.07913,1.55462,0.00604,0.00604,0.00604
34,3884.47,1.26582,1.26662,1.46982,0.8037,0.67258,0.76242,0.46808,1.33544,1.06585,1.55044,0.00591625,0.00591625,0.00591625
