epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.795,0.63276,2.64663,0.61848,0.44543,0.42464,0.38143,0.18902,0.69427,2.01091,0.68068,0.00332005,0.00332005,0.00332005
2,270.497,0.59594,1.99166,0.5746,0.34744,0.32712,0.25976,0.11205,0.78655,2.75933,0.79792,0.00657105,0.00657105,0.00657105
3,411.175,0.69397,2.42683,0.65748,0.04551,0.13098,0.02207,0.00847,1.15138,20.1408,1.22609,0.00973955,0.00973955,0.00973955
4,547.508,0.72913,2.66605,0.69487,0.3711,0.19604,0.14609,0.0601,0.98435,6.63032,1.02947,0.00962875,0.00962875,0.00962875
5,682.204,0.67107,2.41545,0.6517,0.34476,0.33891,0.27081,0.12303,0.8558,2.79393,0.89431,0.009505,0.009505,0.009505
6,818.805,0.63618,2.26301,0.62483,0.45403,0.38113,0.37405,0.17696,0.77679,2.14378,0.80047,0.00938125,0.00938125,0.00938125
7,949.482,0.61871,2.12886,0.60856,0.48512,0.4299,0.42242,0.20794,0.76149,2.03355,0.78637,0.0092575,0.0092575,0.0092575
8,1087.08,0.60059,2.04848,0.59441,0.48575,0.4493,0.45045,0.22965,0.7283,1.98709,0.7681,0.00913375,0.00913375,0.00913375
9,1221.1,0.59969,1.95323,0.59308,0.54954,0.49287,0.50534,0.26637,0.72353,1.75756,0.75754,0.00901,0.00901,0.00901
10,1354.98,0.57888,1.8833,0.57332,0.59852,0.48893,0.52601,0.2757,0.72354,1.7059,0.75098,0.00888625,0.00888625,0.00888625
11,1491.59,0.57327,1.84294,0.57254,0.64369,0.53644,0.57862,0.30478,0.67806,1.57867,0.70768,0.0087625,0.0087625,0.0087625
