epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.153,0.63124,2.59955,0.61163,0.52664,0.44048,0.44663,0.21913,0.7012,2.04724,0.6877,0.00332056,0.00332056,0.00332056
2,267.319,0.59671,2.01988,0.5803,0.34757,0.32254,0.26936,0.11709,0.95509,2.69215,0.90726,0.00657155,0.00657155,0.00657155
3,426.662,0.70966,2.48154,0.67652,0.07798,0.08751,0.03208,0.01199,1.30334,26.5798,1.51524,0.00974004,0.00974004,0.00974004
4,564.917,0.74291,2.7122,0.71676,0.25404,0.22731,0.1568,0.06458,1.1532,6.06851,1.19047,0.00962875,0.00962875,0.00962875
5,696.552,0.70695,2.46933,0.68896,0.34658,0.34351,0.28884,0.12595,0.87401,2.4371,0.89042,0.009505,0.009505,0.009505
6,827.684,0.67567,2.28206,0.66308,0.48945,0.35287,0.36793,0.172,0.82555,2.23293,0.85109,0.00938125,0.00938125,0.00938125
7,963.056,0.65545,2.16201,0.64945,0.4812,0.41758,0.41641,0.20141,0.79333,2.12889,0.79081,0.0092575,0.0092575,0.0092575
8,1103.29,0.64253,2.05762,0.64313,0.51584,0.46731,0.4673,0.23171,0.8554,2.01645,0.8543,0.00913375,0.00913375,0.00913375
9,1234.9,0.63428,1.97484,0.6381,0.55687,0.48378,0.49916,0.25229,0.76098,1.81636,0.76818,0.00901,0.00901,0.00901
10,1368.88,0.63255,1.90963,0.63586,0.56241,0.52172,0.54826,0.28651,0.72955,1.70429,0.74465,0.00888625,0.00888625,0.00888625
11,1509.41,0.62369,1.83875,0.63166,0.63875,0.52118,0.57547,0.30615,0.74211,1.6102,0.75547,0.0087625,0.0087625,0.0087625
12,1650.91,0.61606,1.78654,0.62524,0.59122,0.54068,0.56204,0.3018,0.74307,1.65426,0.75869,0.00863875,0.00863875,0.00863875
13,1788.19,0.61942,1.73862,0.63114,0.64993,0.55234,0.60358,0.32092,0.71368,1.56741,0.72401,0.008515,0.008515,0.008515
14,1920.47,0.62487,1.70104,0.63724,0.66268,0.57511,0.63219,0.3476,0.68683,1.50551,0.6988,0.00839125,0.00839125,0.00839125
15,2056.29,0.61785,1.65475,0.63359,0.64952,0.59438,0.63239,0.34778,0.70312,1.49775,0.71558,0.0082675,0.0082675,0.0082675
16,2191.24,0.61649,1.61736,0.63085,0.69901,0.60406,0.65891,0.3765,0.68809,1.42253,0.69513,0.00814375,0.00814375,0.00814375
17,2323.38,0.61235,1.57333,0.63033,0.69954,0.60801,0.66545,0.37468,0.67359,1.41014,0.68897,0.00802,0.00802,0.00802
18,2462.92,0.61445,1.55601,0.63203,0.7169,0.61678,0.68325,0.38397,0.69073,1.36744,0.70609,0.00789625,0.00789625,0.00789625
19,2600.89,0.60923,1.52323,0.63146,0.72744,0.6401,0.70064,0.40325,0.65836,1.30696,0.66812,0.0077725,0.0077725,0.0077725
20,2741.99,0.61007,1.49686,0.63285,0.72596,0.63721,0.69134,0.394,0.64642,1.30024,0.66044,0.00764875,0.00764875,0.00764875
21,2881.23,0.61398,1.47621,0.63669,0.72295,0.63829,0.7053,0.41486,0.64098,1.30244,0.67109,0.007525,0.007525,0.007525
22,3012.69,0.60797,1.44503,0.6337,0.75105,0.64028,0.71809,0.42273,0.62215,1.26417,0.64395,0.00740125,0.00740125,0.00740125
23,3143.77,0.60351,1.4168,0.63172,0.73764,0.6672,0.72513,0.43141,0.62388,1.24479,0.64865,0.0072775,0.0072775,0.0072775
24,3278.14,0.61694,1.39453,0.64222,0.76327,0.66587,0.73548,0.43434,0.65188,1.20129,0.66665,0.00715375,0.00715375,0.00715375
25,3411.13,0.61104,1.37541,0.6437,0.75422,0.68454,0.73925,0.44261,0.62752,1.21002,0.64944,0.00703,0.00703,0.00703
26,3550.54,0.61374,1.36463,0.64394,0.76993,0.66851,0.73821,0.43848,0.62366,1.21505,0.63818,0.00690625,0.00690625,0.00690625
27,3692.18,0.62138,1.34791,0.65011,0.7784,0.68404,0.75644,0.44845,0.62784,1.16561,0.64097,0.0067825,0.0067825,0.0067825
28,3830.46,0.62347,1.31697,0.65228,0.78834,0.68834,0.75964,0.45058,0.62668,1.14342,0.64263,0.00665875,0.00665875,0.00665875
29,3972.5,0.62125,1.30715,0.65355,0.80381,0.68785,0.75893,0.45562,0.61041,1.1556,0.628,0.006535,0.006535,0.006535
30,4110.71,0.61416,1.29193,0.65103,0.79963,0.69359,0.76786,0.46177,0.59775,1.12789,0.62081,0.00641125,0.00641125,0.00641125
31,4246.76,0.61718,1.26592,0.65481,0.78869,0.7074,0.77103,0.46937,0.60602,1.10805,0.62534,0.0062875,0.0062875,0.0062875
32,4379.86,0.61154,1.24377,0.65148,0.79063,0.70576,0.77419,0.47454,0.60163,1.11739,0.61815,0.00616375,0.00616375,0.00616375
33,4514.97,0.61245,1.2226,0.65266,0.76788,0.718,0.77775,0.47652,0.59422,1.08934,0.62222,0.00604,0.00604,0.00604
34,4651.25,0.61528,1.20267,0.65741,0.79702,0.7142,0.782,0.47768,0.59428,1.07386,0.61168,0.00591625,0.00591625,0.00591625
35,4785.88,0.61091,1.18601,0.65453,0.79573,0.72027,0.78899,0.4871,0.60082,1.0485,0.61299,0.0057925,0.0057925,0.0057925
36,4924.09,0.62152,1.18632,0.66531,0.79994,0.71795,0.78959,0.48671,0.59495,1.05345,0.61097,0.00566875,0.00566875,0.00566875
37,5060.41,0.624,1.16552,0.66823,0.77769,0.73336,0.78829,0.48721,0.59491,1.04883,0.61325,0.005545,0.005545,0.005545
38,5197.85,0.62473,1.15276,0.66814,0.80417,0.71541,0.79062,0.48884,0.59003,1.0382,0.6105,0.00542125,0.00542125,0.00542125
39,5339.02,0.62362,1.1349,0.67056,0.81074,0.72184,0.79317,0.49206,0.58804,1.0286,0.61082,0.0052975,0.0052975,0.0052975
40,5480.63,0.6215,1.10837,0.67137,0.81783,0.72284,0.79691,0.4965,0.58402,1.004,0.60867,0.00517375,0.00517375,0.00517375
41,5618.28,0.62531,1.10329,0.67435,0.82741,0.71775,0.80145,0.49739,0.57323,1.00547,0.59926,0.00505,0.00505,0.00505
42,5749.1,0.6241,1.08989,0.67761,0.8241,0.72703,0.80338,0.50094,0.56058,0.99252,0.59054,0.00492625,0.00492625,0.00492625
43,5881.02,0.62325,1.07293,0.67902,0.81693,0.73589,0.80774,0.5047,0.56367,0.97192,0.59254,0.0048025,0.0048025,0.0048025
44,6013.61,0.62637,1.06707,0.68423,0.81268,0.74835,0.81009,0.50571,0.57562,0.97186,0.60154,0.00467875,0.00467875,0.00467875
45,6146.98,0.62671,1.06179,0.68447,0.82751,0.73636,0.80862,0.50375,0.57406,0.97321,0.59765,0.004555,0.004555,0.004555
46,6283.48,0.62553,1.03526,0.68155,0.81547,0.73843,0.80844,0.50595,0.5803,0.9702,0.59939,0.00443125,0.00443125,0.00443125
47,6414.66,0.62777,1.027,0.68701,0.81823,0.73577,0.80812,0.50752,0.58432,0.96723,0.6023,0.0043075,0.0043075,0.0043075
48,6548.76,0.62672,1.00647,0.68874,0.81678,0.74291,0.80908,0.50952,0.57822,0.9478,0.59801,0.00418375,0.00418375,0.00418375
49,6679.52,0.62949,0.98648,0.69196,0.81936,0.74131,0.80946,0.51157,0.57445,0.9416,0.59725,0.00406,0.00406,0.00406
50,6811.1,0.62743,0.99363,0.69217,0.81772,0.74709,0.81187,0.51186,0.57316,0.93068,0.59699,0.00393625,0.00393625,0.00393625
51,6947.02,0.6251,0.96824,0.69398,0.82391,0.74739,0.81198,0.51168,0.57212,0.93477,0.59803,0.0038125,0.0038125,0.0038125
52,7079.45,0.63227,0.96361,0.69937,0.83288,0.74612,0.81111,0.51229,0.57582,0.93837,0.60079,0.00368875,0.00368875,0.00368875
53,7219.04,0.63023,0.94625,0.69895,0.8257,0.75288,0.81098,0.51298,0.57323,0.93117,0.59873,0.003565,0.003565,0.003565
54,7352.45,0.62544,0.93235,0.69761,0.83298,0.74792,0.81065,0.51336,0.57331,0.93176,0.59955,0.00344125,0.00344125,0.00344125
55,7493.91,0.63207,0.93347,0.70355,0.83034,0.75104,0.81241,0.51365,0.56941,0.93223,0.59733,0.0033175,0.0033175,0.0033175
56,7631.42,0.63277,0.90504,0.70641,0.82716,0.7529,0.81125,0.51393,0.57196,0.93108,0.59916,0.00319375,0.00319375,0.00319375
57,7770.41,0.62897,0.89645,0.70445,0.82966,0.75471,0.81068,0.51444,0.57057,0.9275,0.59821,0.00307,0.00307,0.00307
58,7907.18,0.63088,0.89363,0.70824,0.82866,0.75278,0.81168,0.51562,0.5711,0.92543,0.59819,0.00294625,0.00294625,0.00294625
59,8038.74,0.62696,0.86769,0.70608,0.82855,0.75568,0.81157,0.51654,0.56852,0.92371,0.59641,0.0028225,0.0028225,0.0028225
60,8178.03,0.63299,0.88119,0.71381,0.82515,0.76157,0.81292,0.51708,0.5703,0.92208,0.59783,0.00269875,0.00269875,0.00269875
61,8314.96,0.63101,0.85287,0.71256,0.82515,0.75913,0.81348,0.51832,0.57046,0.92149,0.59801,0.002575,0.002575,0.002575
62,8451.8,0.62635,0.85014,0.71201,0.82696,0.75883,0.81319,0.51825,0.56763,0.92212,0.5953,0.00245125,0.00245125,0.00245125
63,8590.47,0.63047,0.84269,0.72035,0.82313,0.76019,0.814,0.51852,0.5679,0.92194,0.5959,0.0023275,0.0023275,0.0023275
64,8727.52,0.62729,0.82816,0.71843,0.82039,0.75993,0.81372,0.5194,0.56725,0.92004,0.59588,0.00220375,0.00220375,0.00220375
65,8865.92,0.62777,0.82018,0.71976,0.8229,0.75924,0.81324,0.51863,0.56607,0.91726,0.59571,0.00208,0.00208,0.00208
66,9001.86,0.6274,0.80254,0.71846,0.82624,0.75486,0.8133,0.51878,0.56611,0.91715,0.59598,0.00195625,0.00195625,0.00195625
67,9135.66,0.62626,0.80114,0.72238,0.83009,0.74964,0.81214,0.51897,0.56433,0.9167,0.59465,0.0018325,0.0018325,0.0018325
