epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.819,0.63211,2.55443,0.61081,0.46331,0.45917,0.42322,0.21524,0.66633,1.87269,0.66367,0.00332108,0.00332108,0.00332108
2,278.535,0.60677,2.03259,0.58595,0.33167,0.30557,0.21917,0.09638,0.87362,2.8846,0.91151,0.00657206,0.00657206,0.00657206
3,425.862,0.72589,2.50207,0.69281,0.08631,0.09606,0.03646,0.01232,1.22918,9.00149,1.35176,0.00974055,0.00974055,0.00974055
4,562.748,0.75405,2.73453,0.72912,0.27705,0.23585,0.17608,0.07233,1.0016,3.9827,1.03504,0.00962875,0.00962875,0.00962875
5,700.925,0.72874,2.48517,0.70351,0.34514,0.32973,0.28895,0.12766,0.90885,2.71408,0.90142,0.009505,0.009505,0.009505
6,842.389,0.68257,2.28622,0.67098,0.41956,0.36068,0.33419,0.15996,0.87892,2.26346,0.90373,0.00938125,0.00938125,0.00938125
7,979.645,0.66368,2.16698,0.65866,0.49853,0.43743,0.42945,0.20914,0.7652,1.99401,0.7788,0.0092575,0.0092575,0.0092575
8,1113.39,0.66243,2.07128,0.65526,0.56271,0.45883,0.47426,0.23368,0.76241,1.89746,0.77423,0.00913375,0.00913375,0.00913375
9,1252.55,0.65505,1.98901,0.65308,0.55993,0.4866,0.49919,0.25419,0.69993,1.81626,0.72625,0.00901,0.00901,0.00901
10,1392.25,0.63965,1.90576,0.64228,0.54676,0.51042,0.52769,0.27587,0.73285,1.70863,0.76321,0.00888625,0.00888625,0.00888625
11,1531.42,0.63462,1.87349,0.63843,0.6,0.54444,0.57922,0.30458,0.69493,1.59475,0.72162,0.0087625,0.0087625,0.0087625
12,1667.18,0.62479,1.8043,0.63352,0.61727,0.52428,0.56327,0.29758,0.70079,1.62749,0.72168,0.00863875,0.00863875,0.00863875
13,1803.7,0.62316,1.75902,0.63389,0.6691,0.57418,0.61359,0.32966,0.66432,1.4964,0.6841,0.008515,0.008515,0.008515
14,1941.15,0.61659,1.69877,0.62988,0.66859,0.56269,0.6085,0.33311,0.67838,1.50276,0.70141,0.00839125,0.00839125,0.00839125
15,2077.83,0.61612,1.66882,0.63106,0.66015,0.61065,0.64938,0.35391,0.66638,1.41229,0.69865,0.0082675,0.0082675,0.0082675
16,2213.33,0.61468,1.63972,0.63006,0.67928,0.60199,0.65668,0.37258,0.63978,1.3746,0.67658,0.00814375,0.00814375,0.00814375
17,2348.58,0.61714,1.5833,0.62964,0.6932,0.60695,0.66218,0.3696,0.6589,1.36894,0.68302,0.00802,0.00802,0.00802
18,2480.95,0.61748,1.55935,0.63363,0.72281,0.62251,0.68261,0.38337,0.64244,1.32346,0.67119,0.00789625,0.00789625,0.00789625
19,2618.5,0.61015,1.53573,0.63107,0.73148,0.62967,0.69042,0.39978,0.63862,1.29502,0.66751,0.0077725,0.0077725,0.0077725
20,2755.46,0.60219,1.5034,0.6245,0.73812,0.63616,0.70692,0.40805,0.62157,1.25635,0.65002,0.00764875,0.00764875,0.00764875
21,2895.7,0.61574,1.46915,0.63582,0.7414,0.64667,0.70909,0.40947,0.61316,1.2471,0.64228,0.007525,0.007525,0.007525
22,3032.92,0.61238,1.44983,0.63746,0.74251,0.6553,0.71791,0.41385,0.63467,1.22256,0.67018,0.00740125,0.00740125,0.00740125
23,3171,0.61656,1.44662,0.64217,0.75046,0.6618,0.72527,0.425,0.6213,1.20839,0.64958,0.0072775,0.0072775,0.0072775
24,3309.3,0.61602,1.41614,0.64025,0.75466,0.67054,0.73218,0.43628,0.61759,1.18082,0.65327,0.00715375,0.00715375,0.00715375
25,3445.72,0.6212,1.38938,0.64827,0.77165,0.66815,0.74681,0.44609,0.60416,1.14923,0.64031,0.00703,0.00703,0.00703
26,3580.97,0.61492,1.36015,0.64405,0.75553,0.67937,0.74519,0.44821,0.58805,1.13889,0.62249,0.00690625,0.00690625,0.00690625
27,3715.64,0.61848,1.34568,0.65132,0.76571,0.68756,0.7595,0.4555,0.57642,1.11996,0.61551,0.0067825,0.0067825,0.0067825
28,3855.86,0.62223,1.32156,0.652,0.77504,0.69582,0.75922,0.45934,0.58816,1.10388,0.62062,0.00665875,0.00665875,0.00665875
29,3992.88,0.6181,1.30213,0.65098,0.78078,0.69977,0.7665,0.46632,0.56899,1.08445,0.60911,0.006535,0.006535,0.006535
30,4128.37,0.62203,1.29085,0.65769,0.78736,0.70105,0.76975,0.46358,0.57848,1.07321,0.61393,0.00641125,0.00641125,0.00641125
31,4269.47,0.61505,1.27485,0.65122,0.78757,0.69256,0.76831,0.47144,0.57802,1.07362,0.61118,0.0062875,0.0062875,0.0062875
32,4410.74,0.61882,1.24669,0.65534,0.79129,0.70482,0.77755,0.48059,0.56551,1.0536,0.60515,0.00616375,0.00616375,0.00616375
33,4549.83,0.61846,1.24048,0.65608,0.81092,0.71397,0.78535,0.48657,0.56963,1.01637,0.60728,0.00604,0.00604,0.00604
34,4683,0.62251,1.21924,0.66189,0.79716,0.72101,0.78546,0.48498,0.55882,1.02157,0.59596,0.00591625,0.00591625,0.00591625
35,4819.48,0.62147,1.19414,0.66173,0.81503,0.72135,0.79146,0.48586,0.5713,1.00365,0.60535,0.0057925,0.0057925,0.0057925
36,4957.46,0.62605,1.1947,0.66565,0.81429,0.73161,0.79706,0.4929,0.55573,0.99589,0.59052,0.00566875,0.00566875,0.00566875
37,5099.78,0.62133,1.16554,0.66313,0.81685,0.72432,0.79783,0.49684,0.54899,0.98793,0.58619,0.005545,0.005545,0.005545
38,5240.09,0.62511,1.14656,0.66934,0.81551,0.73028,0.79863,0.4991,0.55843,0.97664,0.59833,0.00542125,0.00542125,0.00542125
39,5381.01,0.63329,1.13908,0.67904,0.81236,0.74182,0.79913,0.50309,0.54187,0.97505,0.58318,0.0052975,0.0052975,0.0052975
40,5522.61,0.63003,1.11669,0.67866,0.80864,0.73325,0.7995,0.50419,0.54108,0.95862,0.5813,0.00517375,0.00517375,0.00517375
41,5657.48,0.63172,1.1169,0.67971,0.82882,0.72431,0.80234,0.50524,0.55692,0.95664,0.59613,0.00505,0.00505,0.00505
42,5798.03,0.62637,1.08824,0.67412,0.82287,0.73215,0.80749,0.50666,0.55075,0.95236,0.5898,0.00492625,0.00492625,0.00492625
43,5939.83,0.6342,1.07908,0.68678,0.82162,0.73145,0.80864,0.51032,0.55418,0.94386,0.59413,0.0048025,0.0048025,0.0048025
44,6079.91,0.6281,1.06487,0.6782,0.82027,0.73649,0.80797,0.51249,0.54872,0.93711,0.58777,0.00467875,0.00467875,0.00467875
45,6215.09,0.6342,1.06841,0.68571,0.81474,0.7342,0.80973,0.51275,0.54899,0.92821,0.58771,0.004555,0.004555,0.004555
46,6350.58,0.62874,1.04562,0.68788,0.81544,0.74341,0.80869,0.51295,0.55594,0.92205,0.59666,0.00443125,0.00443125,0.00443125
47,6491.82,0.62862,1.02002,0.68789,0.81588,0.7467,0.80808,0.51327,0.54833,0.92207,0.5893,0.0043075,0.0043075,0.0043075
48,6625.96,0.6319,1.01419,0.69246,0.81946,0.74549,0.8077,0.51361,0.54685,0.92384,0.58817,0.00418375,0.00418375,0.00418375
49,6757.02,0.63288,0.99703,0.69265,0.8195,0.74538,0.80683,0.51375,0.54101,0.92418,0.58096,0.00406,0.00406,0.00406
50,6887.87,0.63306,0.99147,0.69481,0.81116,0.74823,0.80782,0.51411,0.54084,0.91746,0.58087,0.00393625,0.00393625,0.00393625
