epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.422,0.63135,2.44365,0.61101,0.5082,0.44679,0.44659,0.22587,0.76092,1.99105,0.69637,0.00332056,0.00332056,0.00332056
2,245.819,0.60363,2.01764,0.58261,0.18892,0.19198,0.10604,0.04748,1.0006,4.28363,1.00365,0.00657155,0.00657155,0.00657155
3,368.721,0.69584,2.49141,0.66982,0.05237,0.08162,0.01774,0.00661,1.435,10.6243,1.54019,0.00974004,0.00974004,0.00974004
4,497.497,0.74001,2.70834,0.71789,0.27487,0.21849,0.15038,0.06386,1.01689,6.12616,1.0339,0.00962875,0.00962875,0.00962875
5,628.196,0.70365,2.45404,0.68834,0.4149,0.30509,0.28695,0.12537,0.91549,2.58693,0.94562,0.009505,0.009505,0.009505
6,758.041,0.67692,2.26806,0.66312,0.4304,0.40805,0.37235,0.17688,0.86071,2.35644,0.86953,0.00938125,0.00938125,0.00938125
7,888.564,0.65869,2.15555,0.65241,0.42961,0.45835,0.41682,0.19893,0.88196,2.0793,0.86011,0.0092575,0.0092575,0.0092575
8,1017.53,0.63998,2.04658,0.64025,0.54744,0.4512,0.46964,0.23654,0.7991,1.90661,0.81302,0.00913375,0.00913375,0.00913375
9,1147.16,0.63213,1.96402,0.63536,0.56404,0.46579,0.49677,0.25806,0.76426,1.80432,0.7605,0.00901,0.00901,0.00901
10,1271.31,0.62738,1.91034,0.632,0.54627,0.50818,0.52651,0.27584,0.74059,1.75488,0.75733,0.00888625,0.00888625,0.00888625
11,1391.88,0.62941,1.83685,0.63516,0.60341,0.5043,0.54452,0.28773,0.76568,1.69908,0.77859,0.0087625,0.0087625,0.0087625
12,1521.74,0.61667,1.78169,0.62385,0.64873,0.52493,0.57997,0.31185,0.74216,1.62932,0.75336,0.00863875,0.00863875,0.00863875
13,1651.54,0.61808,1.73823,0.63148,0.62627,0.56757,0.60411,0.32337,0.72174,1.55414,0.73467,0.008515,0.008515,0.008515
14,1777.21,0.61481,1.68634,0.63006,0.66772,0.57979,0.63792,0.35034,0.7072,1.47137,0.71515,0.00839125,0.00839125,0.00839125
15,1901.57,0.6159,1.64732,0.63051,0.65638,0.56788,0.6089,0.33249,0.69671,1.51674,0.70557,0.0082675,0.0082675,0.0082675
16,2021.1,0.61279,1.62555,0.62894,0.70301,0.60353,0.6607,0.37507,0.674,1.38416,0.68208,0.00814375,0.00814375,0.00814375
17,2139.8,0.61237,1.5778,0.62894,0.71384,0.59611,0.65956,0.36828,0.67908,1.42128,0.69153,0.00802,0.00802,0.00802
18,2267.44,0.61313,1.54635,0.63164,0.69158,0.61183,0.66825,0.37689,0.6881,1.39183,0.69088,0.00789625,0.00789625,0.00789625
19,2396.91,0.60948,1.51055,0.63239,0.72056,0.6414,0.69835,0.40522,0.64884,1.30724,0.66976,0.0077725,0.0077725,0.0077725
20,2524.9,0.61067,1.48726,0.63427,0.7166,0.6553,0.70363,0.4092,0.65381,1.29165,0.67127,0.00764875,0.00764875,0.00764875
21,2654.3,0.61276,1.47081,0.63496,0.73693,0.63691,0.69685,0.40872,0.65629,1.281,0.67387,0.007525,0.007525,0.007525
22,2781.88,0.60627,1.43896,0.63049,0.75205,0.64489,0.71684,0.41696,0.64175,1.2554,0.64815,0.00740125,0.00740125,0.00740125
23,2911.24,0.60889,1.41436,0.63515,0.75246,0.66659,0.72801,0.43229,0.63298,1.23173,0.65985,0.0072775,0.0072775,0.0072775
24,3040.94,0.61573,1.38499,0.64131,0.73359,0.67084,0.72639,0.42717,0.6617,1.19328,0.67981,0.00715375,0.00715375,0.00715375
25,3171.12,0.6101,1.37497,0.64139,0.76601,0.67107,0.74159,0.44396,0.61181,1.19711,0.63651,0.00703,0.00703,0.00703
26,3301.65,0.61245,1.36216,0.64367,0.75076,0.6941,0.742,0.44701,0.6253,1.17043,0.64639,0.00690625,0.00690625,0.00690625
