epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.255,0.63995,2.45264,0.61495,0.44744,0.45926,0.42159,0.20905,0.79433,1.99718,0.74347,0.00332056,0.00332056,0.00332056
2,254.942,0.60376,2.00129,0.57997,0.23252,0.1912,0.12045,0.05413,1.0743,3.45333,1.07497,0.00657155,0.00657155,0.00657155
3,374.186,0.69747,2.4949,0.66907,0.0461,0.07229,0.01652,0.00607,1.39525,8.94338,1.51293,0.00974004,0.00974004,0.00974004
4,492.904,0.74608,2.69278,0.71926,0.25352,0.24452,0.16827,0.06799,1.03256,3.99169,1.08138,0.00962875,0.00962875,0.00962875
5,618.788,0.69838,2.46011,0.68353,0.41063,0.32233,0.29343,0.12432,0.94122,2.79566,0.93962,0.009505,0.009505,0.009505
6,743.928,0.68675,2.26587,0.66914,0.47955,0.40022,0.38803,0.1815,0.87435,2.25734,0.90307,0.00938125,0.00938125,0.00938125
7,871.509,0.64634,2.1461,0.64194,0.49004,0.4065,0.407,0.19821,0.81836,2.14319,0.81628,0.0092575,0.0092575,0.0092575
8,1000.72,0.63838,2.05592,0.63874,0.53393,0.46757,0.47266,0.23722,0.79406,1.90056,0.808,0.00913375,0.00913375,0.00913375
9,1130.54,0.62537,1.95813,0.62979,0.54912,0.4773,0.4914,0.25355,0.7734,1.81889,0.77093,0.00901,0.00901,0.00901
10,1260.12,0.63297,1.90984,0.63499,0.57341,0.48837,0.5105,0.2648,0.78162,1.76738,0.79447,0.00888625,0.00888625,0.00888625
11,1388.65,0.62658,1.83935,0.63553,0.60547,0.54452,0.569,0.30299,0.71026,1.65077,0.73319,0.0087625,0.0087625,0.0087625
12,1512.04,0.61302,1.78038,0.62362,0.65202,0.53909,0.59425,0.31754,0.69932,1.58405,0.70824,0.00863875,0.00863875,0.00863875
13,1636.33,0.61555,1.73547,0.63115,0.63188,0.5715,0.59904,0.3231,0.73181,1.58549,0.75948,0.008515,0.008515,0.008515
14,1761.88,0.61697,1.69083,0.63171,0.66248,0.57238,0.62647,0.34826,0.69458,1.48106,0.69646,0.00839125,0.00839125,0.00839125
15,1891.25,0.61489,1.65437,0.63273,0.649,0.59215,0.62682,0.34661,0.65694,1.47172,0.67526,0.0082675,0.0082675,0.0082675
16,2015.52,0.61978,1.61222,0.63413,0.67156,0.6071,0.63881,0.3619,0.68917,1.40684,0.69914,0.00814375,0.00814375,0.00814375
17,2144.75,0.61757,1.5683,0.63284,0.70467,0.59699,0.65757,0.3658,0.66849,1.41951,0.68195,0.00802,0.00802,0.00802
18,2273.31,0.61711,1.54233,0.63367,0.69448,0.63938,0.67202,0.37668,0.67586,1.34721,0.68788,0.00789625,0.00789625,0.00789625
19,2402.07,0.61166,1.51247,0.63218,0.704,0.63744,0.68887,0.40072,0.68737,1.30679,0.69223,0.0077725,0.0077725,0.0077725
20,2531.8,0.61247,1.4947,0.63385,0.72583,0.6336,0.68723,0.39424,0.64715,1.28451,0.66592,0.00764875,0.00764875,0.00764875
21,2661.37,0.61287,1.46602,0.63196,0.73443,0.63356,0.70695,0.41376,0.63024,1.25609,0.65257,0.007525,0.007525,0.007525
22,2789.68,0.60648,1.4379,0.63124,0.73127,0.65798,0.72154,0.4225,0.62457,1.22114,0.64432,0.00740125,0.00740125,0.00740125
23,2907.63,0.60617,1.40188,0.63244,0.74229,0.65888,0.7234,0.42498,0.63781,1.21505,0.65229,0.0072775,0.0072775,0.0072775
24,3025.25,0.61519,1.38061,0.63792,0.74557,0.6662,0.72694,0.42805,0.62362,1.18747,0.64247,0.00715375,0.00715375,0.00715375
25,3142.89,0.61274,1.37143,0.6433,0.74458,0.68005,0.73828,0.44242,0.63153,1.19612,0.65553,0.00703,0.00703,0.00703
26,3260.52,0.61258,1.35643,0.64344,0.76734,0.66421,0.73998,0.4475,0.62681,1.1823,0.646,0.00690625,0.00690625,0.00690625
27,3378.1,0.61899,1.33405,0.64946,0.77137,0.68237,0.74947,0.44857,0.63755,1.14633,0.65846,0.0067825,0.0067825,0.0067825
28,3503.35,0.616,1.31144,0.64752,0.77081,0.6981,0.75768,0.45492,0.63482,1.12471,0.64714,0.00665875,0.00665875,0.00665875
29,3621.23,0.61528,1.30095,0.6494,0.77114,0.70517,0.7662,0.45937,0.62497,1.11073,0.64586,0.006535,0.006535,0.006535
30,3739.05,0.61276,1.28333,0.65141,0.7944,0.69801,0.7719,0.4714,0.60045,1.08435,0.62268,0.00641125,0.00641125,0.00641125
31,3856.74,0.61684,1.25201,0.65194,0.80657,0.70034,0.77552,0.47155,0.59788,1.06831,0.61958,0.0062875,0.0062875,0.0062875
32,3974.8,0.61091,1.23227,0.6483,0.7915,0.70511,0.77492,0.47441,0.6119,1.08011,0.62731,0.00616375,0.00616375,0.00616375
33,4103.81,0.60991,1.2189,0.65122,0.78121,0.71737,0.77759,0.47742,0.61655,1.05366,0.63367,0.00604,0.00604,0.00604
34,4232.56,0.6102,1.20192,0.65485,0.79587,0.71509,0.78118,0.47994,0.58415,1.03882,0.60889,0.00591625,0.00591625,0.00591625
35,4360.63,0.6092,1.17457,0.65463,0.7951,0.71177,0.78613,0.48239,0.59483,1.0216,0.61609,0.0057925,0.0057925,0.0057925
36,4478.31,0.61735,1.1831,0.66328,0.8081,0.72003,0.79077,0.48859,0.58689,0.99495,0.61096,0.00566875,0.00566875,0.00566875
37,4597.09,0.62122,1.16137,0.66884,0.80335,0.72449,0.79327,0.49132,0.57062,0.98707,0.60007,0.005545,0.005545,0.005545
38,4718.24,0.61982,1.14067,0.66518,0.81169,0.72658,0.79796,0.49522,0.59173,0.97131,0.61779,0.00542125,0.00542125,0.00542125
39,4841.58,0.62008,1.12575,0.67005,0.8039,0.73777,0.80251,0.49725,0.58418,0.95605,0.61106,0.0052975,0.0052975,0.0052975
40,4959.45,0.6164,1.10067,0.66692,0.78896,0.74492,0.79973,0.49684,0.58823,0.95879,0.60889,0.00517375,0.00517375,0.00517375
41,5079.22,0.62244,1.0895,0.67229,0.81025,0.74108,0.8022,0.49605,0.5999,0.96145,0.61882,0.00505,0.00505,0.00505
42,5208.73,0.62133,1.07474,0.67377,0.82885,0.72407,0.80014,0.5012,0.58808,0.95521,0.61009,0.00492625,0.00492625,0.00492625
43,5338.48,0.6198,1.07361,0.67541,0.81023,0.74312,0.80332,0.50538,0.58476,0.93867,0.60771,0.0048025,0.0048025,0.0048025
44,5468.17,0.62763,1.06601,0.68446,0.81061,0.74739,0.80706,0.5056,0.58373,0.93538,0.60504,0.00467875,0.00467875,0.00467875
45,5597.75,0.62322,1.05058,0.68215,0.81185,0.7482,0.80606,0.50416,0.58577,0.93654,0.60741,0.004555,0.004555,0.004555
