epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.095,0.63025,2.48785,0.60885,0.49063,0.47085,0.4571,0.23205,0.67469,2.0082,0.64983,0.00332056,0.00332056,0.00332056
2,253.49,0.60311,2.0151,0.58111,0.27525,0.29235,0.21369,0.09677,0.95571,3.05995,0.92735,0.00657155,0.00657155,0.00657155
3,381.521,0.70081,2.4958,0.67154,0.05839,0.09775,0.02419,0.00944,1.35416,8.19681,1.49913,0.00974004,0.00974004,0.00974004
4,509.98,0.74688,2.70084,0.72121,0.26954,0.15123,0.10892,0.0447,1.13157,6.88064,1.16829,0.00962875,0.00962875,0.00962875
5,638.754,0.69409,2.46535,0.67883,0.37659,0.31278,0.2697,0.1181,0.88175,2.85228,0.89412,0.009505,0.009505,0.009505
6,760.159,0.6763,2.27003,0.66356,0.44043,0.38061,0.36395,0.17712,0.88816,2.25741,0.90609,0.00938125,0.00938125,0.00938125
7,880.615,0.65582,2.15476,0.64888,0.49566,0.45789,0.44604,0.21676,0.81967,1.94251,0.82189,0.0092575,0.0092575,0.0092575
8,1002.95,0.64392,2.04591,0.64114,0.49107,0.45368,0.45048,0.21911,0.82721,1.90902,0.82265,0.00913375,0.00913375,0.00913375
9,1124.85,0.63251,1.96838,0.63364,0.58862,0.4723,0.50049,0.25425,0.74778,1.82026,0.74793,0.00901,0.00901,0.00901
10,1249.42,0.62748,1.90991,0.62977,0.58281,0.52381,0.54336,0.28152,0.73163,1.68183,0.74005,0.00888625,0.00888625,0.00888625
11,1367.9,0.62304,1.84056,0.63029,0.62547,0.52628,0.56017,0.2949,0.71623,1.66187,0.7351,0.0087625,0.0087625,0.0087625
12,1486.62,0.61874,1.78044,0.62558,0.67812,0.54168,0.60913,0.32965,0.72587,1.53795,0.73233,0.00863875,0.00863875,0.00863875
13,1605.12,0.61829,1.73245,0.62945,0.62937,0.56765,0.59681,0.3197,0.71302,1.55597,0.7226,0.008515,0.008515,0.008515
14,1724.51,0.61701,1.68688,0.6298,0.64411,0.57347,0.61385,0.33689,0.70824,1.5059,0.71462,0.00839125,0.00839125,0.00839125
15,1843.74,0.61336,1.65264,0.62564,0.64982,0.56743,0.61,0.32934,0.71545,1.51191,0.71505,0.0082675,0.0082675,0.0082675
16,1970.01,0.61702,1.62215,0.63098,0.65567,0.59494,0.63445,0.3624,0.69475,1.41082,0.70398,0.00814375,0.00814375,0.00814375
17,2094.07,0.6192,1.57405,0.63264,0.719,0.61633,0.67334,0.37542,0.66382,1.35798,0.68609,0.00802,0.00802,0.00802
18,2221.36,0.61724,1.55065,0.63348,0.69822,0.62319,0.67734,0.3855,0.67142,1.35363,0.68401,0.00789625,0.00789625,0.00789625
