epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.7382,1.57454,2.59828,1.68161,0.46932,0.45425,0.42124,0.22366,1.61948,1.87965,1.76548,0.0033195,0.0033195,0.0033195
2,196.609,1.60161,2.07885,1.66507,0.38594,0.30891,0.25873,0.11143,1.9193,2.83168,2.10452,0.00657051,0.00657051,0.00657051
3,294.514,1.85608,2.61954,1.91564,0.30823,0.07159,0.01314,0.0049,2.82655,30.987,3.8882,0.00973901,0.00973901,0.00973901
4,394.113,1.95782,2.92434,2.04614,0.25643,0.19548,0.13562,0.053,2.09906,6.78245,2.41587,0.00962875,0.00962875,0.00962875
5,492.455,1.82524,2.67126,1.95056,0.27927,0.26696,0.18636,0.08091,1.91048,3.15405,2.12472,0.009505,0.009505,0.009505
6,591.84,1.75391,2.4671,1.8749,0.32618,0.30011,0.25752,0.11533,1.89,2.71652,2.10483,0.00938125,0.00938125,0.00938125
7,691.345,1.68644,2.32119,1.82317,0.41883,0.37281,0.35,0.16981,1.73789,2.34421,1.92988,0.0092575,0.0092575,0.0092575
8,790.468,1.64902,2.21746,1.78348,0.46159,0.41186,0.39034,0.19435,1.70299,2.04841,1.91991,0.00913375,0.00913375,0.00913375
9,888.259,1.62278,2.12379,1.75883,0.52554,0.44027,0.45303,0.22989,1.66062,1.93786,1.84173,0.00901,0.00901,0.00901
10,986.325,1.59467,2.06292,1.73768,0.5301,0.45374,0.44902,0.23323,1.62368,1.86036,1.82561,0.00888625,0.00888625,0.00888625
11,1083.5,1.55999,1.98896,1.70681,0.5385,0.48796,0.49967,0.25988,1.62872,1.74645,1.8061,0.0087625,0.0087625,0.0087625
12,1182.41,1.53881,1.92292,1.68262,0.58133,0.4824,0.52092,0.27795,1.58066,1.70437,1.75048,0.00863875,0.00863875,0.00863875
13,1280.93,1.53094,1.91309,1.67727,0.56861,0.51241,0.53487,0.28701,1.57822,1.67046,1.76136,0.008515,0.008515,0.008515
14,1380.17,1.50939,1.83568,1.65823,0.56537,0.52073,0.53507,0.29156,1.55389,1.65435,1.74613,0.00839125,0.00839125,0.00839125
15,1478.17,1.49128,1.78928,1.6375,0.58457,0.54287,0.56399,0.31659,1.4859,1.5545,1.68282,0.0082675,0.0082675,0.0082675
16,1575.41,1.47977,1.76464,1.63075,0.62926,0.53502,0.57909,0.32061,1.49582,1.56659,1.69799,0.00814375,0.00814375,0.00814375
17,1672.79,1.45285,1.6999,1.61165,0.63699,0.57149,0.61363,0.34131,1.50339,1.46452,1.70268,0.00802,0.00802,0.00802
18,1770.94,1.45703,1.67584,1.60745,0.61398,0.58275,0.6022,0.33913,1.49254,1.48976,1.67846,0.00789625,0.00789625,0.00789625
