epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.0806,1.73211,2.99355,1.83761,0.11368,0.15962,0.05905,0.02334,2.34703,5.26582,2.98573,0.000413647,0.000413647,0.000413647
2,123.727,1.95002,2.93476,2.08505,0.26121,0.0605,0.02136,0.00735,2.62917,11.6236,3.61455,0.000820039,0.000820039,0.000820039
3,187.699,1.99088,3.0732,2.12703,0.30885,0.0938,0.03274,0.01177,2.39798,15.3289,2.84879,0.00121612,0.00121612,0.00121612
4,251.022,1.93907,2.98803,2.0867,0.07381,0.14202,0.05083,0.01884,2.36427,6.06406,2.72585,0.00120359,0.00120359,0.00120359
5,310.966,1.85886,2.80352,2.0143,0.19775,0.16161,0.10647,0.03923,2.17956,4.13154,2.57831,0.00118812,0.00118812,0.00118812
6,371.933,1.80257,2.64923,1.95619,0.23062,0.24986,0.17365,0.07635,1.98343,2.75236,2.17979,0.00117266,0.00117266,0.00117266
7,432.891,1.75793,2.49673,1.91168,0.30521,0.2265,0.17314,0.07594,1.97927,2.84831,2.22811,0.00115719,0.00115719,0.00115719
8,493.217,1.71976,2.44339,1.87836,0.38935,0.31997,0.28851,0.12759,1.82959,2.41574,2.05743,0.00114172,0.00114172,0.00114172
9,553.437,1.69085,2.34186,1.85051,0.337,0.3355,0.28018,0.13131,1.80485,2.30062,2.03721,0.00112625,0.00112625,0.00112625
10,614.173,1.63454,2.2651,1.81201,0.41455,0.33026,0.30415,0.14177,1.81749,2.34844,2.07904,0.00111078,0.00111078,0.00111078
11,674.831,1.62645,2.18444,1.79037,0.35912,0.31614,0.31947,0.15343,1.82647,2.33991,2.06891,0.00109531,0.00109531,0.00109531
12,735.46,1.61332,2.14933,1.77888,0.4567,0.38977,0.36238,0.17804,1.76437,2.11177,1.99825,0.00107984,0.00107984,0.00107984
13,796.238,1.58966,2.12248,1.76612,0.43169,0.42154,0.39223,0.1986,1.6865,2.02258,1.91226,0.00106437,0.00106437,0.00106437
14,856.966,1.55507,2.04988,1.74076,0.46116,0.39899,0.3891,0.19323,1.70267,1.9907,1.94662,0.00104891,0.00104891,0.00104891
15,916.999,1.55388,2.00682,1.72395,0.52088,0.41589,0.40781,0.20533,1.68738,1.94592,1.91724,0.00103344,0.00103344,0.00103344
16,977.418,1.53916,1.97425,1.72024,0.44347,0.45336,0.41947,0.21438,1.68304,1.91137,1.92577,0.00101797,0.00101797,0.00101797
17,1036.68,1.53055,1.94117,1.70851,0.48672,0.43975,0.42984,0.23204,1.63607,1.86593,1.88036,0.0010025,0.0010025,0.0010025
18,1097.03,1.50892,1.89411,1.69067,0.51715,0.45405,0.45784,0.23581,1.65545,1.86911,1.88468,0.000987031,0.000987031,0.000987031
19,1157.02,1.49373,1.86768,1.67791,0.47907,0.49658,0.46646,0.24275,1.64835,1.75504,1.85288,0.000971562,0.000971562,0.000971562
20,1216.28,1.48777,1.84792,1.66735,0.50685,0.46958,0.47949,0.25057,1.64718,1.75704,1.86745,0.000956094,0.000956094,0.000956094
21,1275.52,1.47317,1.80953,1.65114,0.56605,0.47246,0.50079,0.26487,1.61532,1.70705,1.8262,0.000940625,0.000940625,0.000940625
22,1335.18,1.45835,1.76685,1.64135,0.58812,0.4976,0.51956,0.27986,1.56871,1.64978,1.79557,0.000925156,0.000925156,0.000925156
23,1394.39,1.45128,1.74157,1.64623,0.56443,0.53129,0.52555,0.27321,1.63098,1.6285,1.83945,0.000909688,0.000909688,0.000909688
24,1453.93,1.43538,1.71464,1.62315,0.53935,0.52436,0.51203,0.27402,1.59547,1.64437,1.83388,0.000894219,0.000894219,0.000894219
25,1513.42,1.42933,1.70028,1.61821,0.5631,0.53204,0.54035,0.29341,1.57138,1.59543,1.79281,0.00087875,0.00087875,0.00087875
