epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.0895,0.97254,5.23931,0.77351,0.13638,0.20889,0.07038,0.02616,1.4188,12.7629,1.56019,0.000413647,0.000413647,0.000413647
2,122.912,1.16428,4.81952,0.87148,0.04249,0.09542,0.0122,0.00419,2.14412,24.2584,1.71216,0.000820039,0.000820039,0.000820039
3,182.779,1.24903,4.9339,0.90749,0.3159,0.10011,0.06131,0.01945,1.89404,20.1227,1.59877,0.00121612,0.00121612,0.00121612
4,243.217,1.21085,4.61343,0.88133,0.2197,0.21011,0.14849,0.0493,1.80134,7.4298,1.42205,0.00120359,0.00120359,0.00120359
5,302.935,1.18915,4.27059,0.87205,0.26823,0.25521,0.18979,0.07338,1.6324,5.76693,1.27662,0.00118812,0.00118812,0.00118812
6,364.504,1.18685,3.94026,0.87231,0.31756,0.34626,0.26514,0.10361,1.60704,4.14018,1.24668,0.00117266,0.00117266,0.00117266
7,425.225,1.14282,3.67348,0.85582,0.38728,0.32428,0.27283,0.11429,1.35502,4.13303,1.07649,0.00115719,0.00115719,0.00115719
8,485.637,1.13764,3.54525,0.8516,0.37607,0.36113,0.29292,0.11658,1.43986,4.09612,1.13061,0.00114172,0.00114172,0.00114172
9,545.975,1.10925,3.36517,0.83671,0.49563,0.39074,0.38113,0.15493,1.41686,3.30196,1.09081,0.00112625,0.00112625,0.00112625
10,605.336,1.11776,3.25033,0.85087,0.50311,0.44527,0.42232,0.18439,1.26451,3.11397,0.9989,0.00111078,0.00111078,0.00111078
11,664.723,1.11719,3.12316,0.84944,0.54895,0.40036,0.41467,0.18136,1.30033,3.20882,1.0172,0.00109531,0.00109531,0.00109531
12,724.952,1.10981,3.09852,0.84665,0.47551,0.46962,0.44468,0.19622,1.23037,3.03982,0.97785,0.00107984,0.00107984,0.00107984
13,785.259,1.08351,3.01358,0.83557,0.51197,0.34608,0.3559,0.16164,1.39408,3.90183,1.09153,0.00106437,0.00106437,0.00106437
14,844.857,1.06019,2.87775,0.82593,0.55812,0.46115,0.46434,0.20928,1.1725,2.77305,0.94126,0.00104891,0.00104891,0.00104891
15,904.325,1.07724,2.81464,0.83734,0.63453,0.4866,0.51202,0.23667,1.09123,2.66221,0.88623,0.00103344,0.00103344,0.00103344
16,964.422,1.05285,2.74678,0.82635,0.53172,0.44976,0.4581,0.20562,1.21837,3.03273,0.96774,0.00101797,0.00101797,0.00101797
17,1024.89,1.05603,2.70674,0.83247,0.57395,0.51245,0.52995,0.24807,1.09089,2.53269,0.89391,0.0010025,0.0010025,0.0010025
18,1085.33,1.05306,2.65568,0.83345,0.63129,0.52006,0.55181,0.26642,1.06065,2.43512,0.87155,0.000987031,0.000987031,0.000987031
19,1146.08,1.04431,2.56465,0.83173,0.60242,0.53979,0.54539,0.26021,1.07484,2.4412,0.87223,0.000971562,0.000971562,0.000971562
20,1206.54,1.04012,2.57211,0.83249,0.60849,0.53431,0.53951,0.25186,1.04618,2.45426,0.86145,0.000956094,0.000956094,0.000956094
21,1266.65,1.02833,2.49916,0.82598,0.63488,0.54473,0.57802,0.28251,0.94919,2.34941,0.79176,0.000940625,0.000940625,0.000940625
22,1326.66,1.01477,2.43219,0.82012,0.66047,0.55158,0.5969,0.30147,0.93011,2.25525,0.78421,0.000925156,0.000925156,0.000925156
23,1386.99,1.02222,2.387,0.82962,0.61841,0.58346,0.58158,0.28642,1.00223,2.31537,0.82914,0.000909688,0.000909688,0.000909688
24,1450.92,0.99795,2.3445,0.82227,0.64699,0.56905,0.58585,0.28915,0.9316,2.30447,0.79605,0.000894219,0.000894219,0.000894219
25,1511.28,0.99925,2.32616,0.82521,0.68048,0.58906,0.60464,0.30761,0.97234,2.20524,0.81337,0.00087875,0.00087875,0.00087875
26,1571.88,0.99346,2.25318,0.82687,0.68361,0.58165,0.61417,0.30903,0.9844,2.18245,0.82139,0.000863281,0.000863281,0.000863281
27,1632.22,0.98486,2.21246,0.81999,0.6829,0.56437,0.61422,0.31381,0.89846,2.147,0.76904,0.000847813,0.000847813,0.000847813
28,1692.01,0.98795,2.17683,0.82564,0.7099,0.59108,0.63178,0.32528,0.91135,2.07463,0.76913,0.000832344,0.000832344,0.000832344
29,1751.24,0.9793,2.18499,0.82225,0.67335,0.62061,0.6497,0.34306,0.92803,1.98392,0.78187,0.000816875,0.000816875,0.000816875
30,1811.64,0.98782,2.126,0.82988,0.70827,0.57208,0.61708,0.32548,0.98327,2.12227,0.8153,0.000801406,0.000801406,0.000801406
31,1871.66,0.99721,2.10355,0.83721,0.71779,0.59491,0.64517,0.33596,0.91311,1.9845,0.77101,0.000785938,0.000785938,0.000785938
32,1932.37,0.96088,2.05952,0.81829,0.71401,0.59837,0.63576,0.33955,0.87238,2.02259,0.74581,0.000770469,0.000770469,0.000770469
33,1992.47,0.99148,2.04682,0.84567,0.67674,0.60618,0.62944,0.34088,0.90782,2.0182,0.7827,0.000755,0.000755,0.000755
34,2052.63,0.94702,1.96427,0.81512,0.68499,0.64178,0.66214,0.36437,0.86171,1.93157,0.74565,0.000739531,0.000739531,0.000739531
35,2112.38,0.96399,1.96461,0.83375,0.72289,0.61604,0.66243,0.35693,0.88678,1.91408,0.76701,0.000724062,0.000724062,0.000724062
36,2173.11,0.95786,1.93403,0.83105,0.69384,0.64147,0.66698,0.36026,0.85278,1.88701,0.73684,0.000708594,0.000708594,0.000708594
37,2233.14,0.95266,1.91345,0.82754,0.71721,0.64311,0.68098,0.37013,0.84932,1.8584,0.73169,0.000693125,0.000693125,0.000693125
38,2293.19,0.96673,1.88879,0.8437,0.69953,0.64273,0.66302,0.35816,0.85655,1.903,0.74293,0.000677656,0.000677656,0.000677656
39,2353.82,0.95708,1.85927,0.83896,0.73922,0.62964,0.67576,0.36847,0.85427,1.82974,0.7374,0.000662188,0.000662188,0.000662188
40,2413.54,0.94689,1.82564,0.83237,0.71321,0.64222,0.6666,0.36712,0.8358,1.85131,0.73525,0.000646719,0.000646719,0.000646719
41,2473.75,0.9491,1.8051,0.83726,0.74562,0.6476,0.69402,0.38106,0.79838,1.81486,0.69858,0.00063125,0.00063125,0.00063125
42,2533.9,0.95579,1.7928,0.84793,0.70699,0.65356,0.67541,0.37709,0.81052,1.83017,0.71335,0.000615781,0.000615781,0.000615781
43,2594.47,0.94418,1.75879,0.84024,0.75179,0.63565,0.6844,0.37802,0.80392,1.81874,0.70812,0.000600313,0.000600313,0.000600313
44,2655.22,0.9391,1.73419,0.84216,0.73187,0.64533,0.68028,0.38241,0.79733,1.77594,0.7149,0.000584844,0.000584844,0.000584844
45,2715.36,0.94829,1.71191,0.84943,0.73205,0.64609,0.68603,0.38594,0.77803,1.77597,0.69391,0.000569375,0.000569375,0.000569375
46,2775.64,0.92748,1.68567,0.83949,0.73505,0.6541,0.69859,0.39485,0.78323,1.76458,0.69202,0.000553906,0.000553906,0.000553906
47,2835.06,0.93378,1.66661,0.84791,0.73597,0.6506,0.68719,0.39078,0.76974,1.73407,0.68414,0.000538438,0.000538438,0.000538438
48,2895.67,0.94799,1.66914,0.85426,0.7227,0.65844,0.69028,0.39296,0.75747,1.77297,0.67916,0.000522969,0.000522969,0.000522969
49,2956.25,0.92446,1.61972,0.8448,0.74798,0.66797,0.7057,0.40462,0.75721,1.70486,0.67605,0.0005075,0.0005075,0.0005075
50,3017.08,0.93296,1.60955,0.85206,0.74624,0.65493,0.70449,0.40742,0.76546,1.72515,0.67985,0.000492031,0.000492031,0.000492031
51,3076.84,0.92639,1.57688,0.85296,0.76553,0.65518,0.69711,0.4011,0.76112,1.70764,0.68155,0.000476562,0.000476562,0.000476562
