epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.1001,2.02357,3.73042,2.08901,0.34749,0.2929,0.23601,0.11017,1.93564,2.69898,2.06997,0.00331956,0.00331956,0.00331956
2,195.042,1.73979,2.50317,1.79772,0.26758,0.25002,0.17277,0.06827,2.12043,6.10885,2.40257,0.00657056,0.00657056,0.00657056
3,296.164,1.90812,2.79022,1.98663,0.0381,0.0814,0.01388,0.00447,2.71658,41.1409,3.43463,0.00973907,0.00973907,0.00973907
4,392.631,1.97083,2.99473,2.07818,0.15342,0.1617,0.08117,0.0332,2.21466,5.58748,2.43772,0.00962875,0.00962875,0.00962875
5,489.139,1.8446,2.71862,1.98925,0.25075,0.21411,0.1577,0.06588,2.05561,3.23635,2.27795,0.009505,0.009505,0.009505
6,586.724,1.76325,2.53833,1.90873,0.29406,0.26717,0.20845,0.09422,1.9642,2.92003,2.13016,0.00938125,0.00938125,0.00938125
7,684.885,1.71208,2.412,1.86252,0.3872,0.34864,0.31835,0.14855,1.82705,2.36093,2.05905,0.0092575,0.0092575,0.0092575
8,782.204,1.6663,2.29828,1.82788,0.39611,0.39323,0.34811,0.16855,1.77497,2.21855,1.96759,0.00913375,0.00913375,0.00913375
9,879.724,1.62552,2.18102,1.78158,0.4544,0.37437,0.36218,0.18001,1.73518,2.25887,1.92371,0.00901,0.00901,0.00901
10,977.074,1.60698,2.12423,1.76795,0.46034,0.41164,0.39207,0.20111,1.71781,2.12122,1.9127,0.00888625,0.00888625,0.00888625
11,1074.45,1.57273,2.05743,1.73946,0.54599,0.44662,0.46458,0.24519,1.70361,1.88593,1.86617,0.0087625,0.0087625,0.0087625
12,1171.35,1.56171,2.00795,1.71891,0.54156,0.46765,0.47946,0.25889,1.65972,1.78725,1.84075,0.00863875,0.00863875,0.00863875
13,1268.52,1.5324,1.94645,1.697,0.58136,0.46113,0.49633,0.25851,1.62712,1.82557,1.79573,0.008515,0.008515,0.008515
14,1365.31,1.50811,1.89382,1.67776,0.53776,0.49995,0.51159,0.27536,1.60185,1.69838,1.78556,0.00839125,0.00839125,0.00839125
15,1462.41,1.49914,1.85308,1.66289,0.54798,0.50996,0.50718,0.27019,1.63818,1.72354,1.78942,0.0082675,0.0082675,0.0082675
16,1559.43,1.48578,1.80413,1.64886,0.59029,0.55427,0.56202,0.30823,1.58717,1.64657,1.73277,0.00814375,0.00814375,0.00814375
17,1655.45,1.46726,1.7737,1.63748,0.63055,0.54242,0.58145,0.32487,1.5896,1.61722,1.74862,0.00802,0.00802,0.00802
18,1751.99,1.46971,1.75684,1.63291,0.61291,0.56285,0.57699,0.32212,1.56526,1.56309,1.7289,0.00789625,0.00789625,0.00789625
19,1849,1.44773,1.71745,1.6248,0.63672,0.56991,0.59985,0.33902,1.56504,1.53806,1.73196,0.0077725,0.0077725,0.0077725
20,1946.01,1.43461,1.6679,1.60482,0.63837,0.56714,0.60001,0.33743,1.5323,1.51031,1.68984,0.00764875,0.00764875,0.00764875
21,2042.53,1.41273,1.63932,1.5938,0.64302,0.58062,0.61659,0.35552,1.51856,1.518,1.69153,0.007525,0.007525,0.007525
22,2138.7,1.40097,1.61907,1.58289,0.66828,0.59256,0.63222,0.36261,1.49145,1.44575,1.66382,0.00740125,0.00740125,0.00740125
23,2235.29,1.39664,1.5922,1.57129,0.70205,0.59594,0.64835,0.37304,1.49048,1.42958,1.63607,0.0072775,0.0072775,0.0072775
24,2332.26,1.39669,1.56784,1.56262,0.66766,0.61575,0.65283,0.38089,1.48096,1.35535,1.64314,0.00715375,0.00715375,0.00715375
25,2429.37,1.37539,1.54127,1.54936,0.67081,0.61453,0.65985,0.38003,1.45803,1.37897,1.6388,0.00703,0.00703,0.00703
26,2526.35,1.37583,1.53541,1.54782,0.69642,0.59888,0.65853,0.38687,1.45358,1.44346,1.616,0.00690625,0.00690625,0.00690625
27,2622.76,1.35271,1.49815,1.53438,0.69231,0.62117,0.66699,0.39141,1.47682,1.34007,1.63332,0.0067825,0.0067825,0.0067825
28,2719.81,1.34929,1.4779,1.53032,0.70024,0.64448,0.68672,0.40676,1.42539,1.29446,1.60537,0.00665875,0.00665875,0.00665875
29,2815.45,1.34162,1.46796,1.52895,0.70733,0.63535,0.68707,0.40907,1.42673,1.27471,1.60613,0.006535,0.006535,0.006535
30,2911.91,1.3297,1.436,1.5228,0.72074,0.64235,0.69552,0.41442,1.41593,1.33488,1.6011,0.00641125,0.00641125,0.00641125
31,3008.36,1.32713,1.42124,1.5131,0.72608,0.65615,0.70944,0.42526,1.41102,1.28496,1.59005,0.0062875,0.0062875,0.0062875
32,3104.99,1.31769,1.3889,1.49794,0.74022,0.6588,0.70822,0.42316,1.45214,1.23738,1.60013,0.00616375,0.00616375,0.00616375
33,3201.92,1.29806,1.37575,1.48652,0.74297,0.66351,0.71791,0.43311,1.41881,1.23782,1.58149,0.00604,0.00604,0.00604
34,3298.82,1.30013,1.372,1.4903,0.73051,0.66946,0.72197,0.43639,1.41762,1.24567,1.58761,0.00591625,0.00591625,0.00591625
35,3395.6,1.29168,1.35125,1.48402,0.7457,0.67,0.72559,0.43933,1.4073,1.17366,1.57134,0.0057925,0.0057925,0.0057925
36,3492.33,1.29211,1.33024,1.47756,0.75052,0.66655,0.73029,0.44718,1.38787,1.12901,1.56063,0.00566875,0.00566875,0.00566875
37,3589.38,1.28108,1.31687,1.46966,0.72313,0.69432,0.73312,0.44864,1.38604,1.1444,1.5648,0.005545,0.005545,0.005545
38,3685.71,1.26444,1.28819,1.45206,0.73582,0.69156,0.73994,0.45571,1.37499,1.13207,1.55596,0.00542125,0.00542125,0.00542125
39,3782.31,1.25654,1.27541,1.453,0.75042,0.67983,0.74078,0.4584,1.37143,1.13017,1.55196,0.0052975,0.0052975,0.0052975
40,3878.99,1.25438,1.25583,1.44842,0.75179,0.68679,0.74312,0.45842,1.38058,1.13623,1.55847,0.00517375,0.00517375,0.00517375
41,3975.98,1.25541,1.25731,1.44871,0.7492,0.69195,0.74329,0.4616,1.37572,1.13912,1.55529,0.00505,0.00505,0.00505
42,4072.69,1.23763,1.23177,1.43593,0.76657,0.68186,0.74911,0.46257,1.37007,1.09318,1.54597,0.00492625,0.00492625,0.00492625
43,4169.63,1.24296,1.23033,1.4371,0.77141,0.69074,0.75426,0.46573,1.37833,1.06135,1.55055,0.0048025,0.0048025,0.0048025
44,4265.52,1.23009,1.2108,1.42861,0.76062,0.70552,0.75474,0.46924,1.38042,1.07082,1.5479,0.00467875,0.00467875,0.00467875
45,4361.41,1.2195,1.18617,1.41927,0.76914,0.69948,0.75606,0.46959,1.38648,1.04861,1.5505,0.004555,0.004555,0.004555
46,4458.27,1.21604,1.18263,1.41839,0.75756,0.70675,0.75724,0.47187,1.38379,1.05677,1.55187,0.00443125,0.00443125,0.00443125
47,4554.55,1.21387,1.17511,1.41287,0.75369,0.71291,0.75955,0.47447,1.37826,1.06456,1.54817,0.0043075,0.0043075,0.0043075
48,4650.13,1.20468,1.15064,1.40879,0.76817,0.70842,0.76163,0.47589,1.37907,1.04747,1.5485,0.00418375,0.00418375,0.00418375
49,4746.83,1.19285,1.13294,1.39744,0.7655,0.71658,0.76648,0.477,1.38204,1.04307,1.55156,0.00406,0.00406,0.00406
50,4843.62,1.18299,1.12526,1.39353,0.78117,0.71727,0.77119,0.48068,1.37623,1.03547,1.54895,0.00393625,0.00393625,0.00393625
51,4940.48,1.18073,1.0962,1.38265,0.78522,0.71759,0.77311,0.48193,1.37543,1.02852,1.55065,0.0038125,0.0038125,0.0038125
52,5037.1,1.16751,1.09367,1.37515,0.78135,0.71647,0.77186,0.48235,1.3753,1.02299,1.55161,0.00368875,0.00368875,0.00368875
53,5133.8,1.16743,1.08671,1.37666,0.78301,0.71685,0.77309,0.48245,1.38001,1.02987,1.55336,0.003565,0.003565,0.003565
54,5229.83,1.1578,1.06566,1.3708,0.78302,0.7159,0.77298,0.48276,1.38149,1.03405,1.55468,0.00344125,0.00344125,0.00344125
55,5326.02,1.14751,1.05423,1.36255,0.78607,0.72372,0.77563,0.48409,1.38306,1.0476,1.55661,0.0033175,0.0033175,0.0033175
56,5422.47,1.14417,1.04425,1.36507,0.78313,0.72581,0.77499,0.48447,1.38433,1.047,1.55689,0.00319375,0.00319375,0.00319375
57,5519.06,1.13971,1.03954,1.35541,0.78781,0.73015,0.77628,0.48469,1.38694,1.04897,1.55547,0.00307,0.00307,0.00307
58,5615.29,1.11984,1.00977,1.3381,0.78961,0.72892,0.77512,0.48484,1.39013,1.04302,1.55476,0.00294625,0.00294625,0.00294625
59,5712.18,1.11982,1.00752,1.33848,0.77901,0.72992,0.77459,0.48505,1.38956,1.04441,1.5544,0.0028225,0.0028225,0.0028225
