epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.1876,1.561,2.55654,1.7081,0.49495,0.4689,0.44924,0.23813,1.57646,1.77604,1.71865,0.00331903,0.00331903,0.00331903
2,197.149,1.57771,2.02447,1.67116,0.22248,0.26488,0.16606,0.07505,2.00861,3.74955,2.21522,0.00657004,0.00657004,0.00657004
3,300.196,1.83771,2.59296,1.91597,0.0517,0.07546,0.01504,0.00461,2.57426,14.0054,3.05083,0.00973855,0.00973855,0.00973855
4,399.923,1.94895,2.93014,2.05496,0.18768,0.17625,0.11321,0.04579,2.08562,4.75941,2.34671,0.00962875,0.00962875,0.00962875
5,499.414,1.81992,2.63414,1.95103,0.22673,0.17806,0.12485,0.05321,2.06715,3.55834,2.25821,0.009505,0.009505,0.009505
6,598.109,1.75265,2.47547,1.88606,0.29163,0.20892,0.1742,0.08206,1.96007,3.02117,2.13029,0.00938125,0.00938125,0.00938125
7,697,1.68562,2.30258,1.83289,0.39519,0.36151,0.32254,0.15031,1.8254,2.31723,2.06306,0.0092575,0.0092575,0.0092575
8,795.921,1.65195,2.2197,1.79956,0.48535,0.35967,0.35976,0.17269,1.73844,2.13033,1.95148,0.00913375,0.00913375,0.00913375
9,894.894,1.61279,2.12137,1.76034,0.45915,0.4191,0.40947,0.21061,1.67654,1.90135,1.8671,0.00901,0.00901,0.00901
10,994.647,1.58991,2.04717,1.73789,0.51803,0.48146,0.46603,0.24219,1.63635,1.76607,1.81409,0.00888625,0.00888625,0.00888625
11,1094.31,1.55041,1.98401,1.69842,0.56515,0.46644,0.49298,0.25875,1.63756,1.7589,1.82721,0.0087625,0.0087625,0.0087625
12,1194.21,1.54431,1.92858,1.69838,0.55673,0.47742,0.48665,0.25518,1.57831,1.77463,1.7772,0.00863875,0.00863875,0.00863875
13,1294.4,1.5162,1.86335,1.67402,0.59409,0.48407,0.52728,0.28158,1.57688,1.61805,1.77476,0.008515,0.008515,0.008515
14,1394.12,1.49692,1.82349,1.6595,0.61483,0.50717,0.54873,0.2979,1.55467,1.55437,1.72633,0.00839125,0.00839125,0.00839125
15,1493.85,1.48024,1.77723,1.63916,0.60735,0.52591,0.55091,0.30159,1.54784,1.55551,1.74522,0.0082675,0.0082675,0.0082675
16,1594.14,1.47066,1.76481,1.63527,0.62747,0.54139,0.58368,0.32393,1.51656,1.50185,1.69883,0.00814375,0.00814375,0.00814375
17,1693.87,1.45454,1.70384,1.62093,0.6222,0.55318,0.58825,0.32754,1.50247,1.45987,1.6877,0.00802,0.00802,0.00802
18,1793.01,1.43281,1.65864,1.60761,0.65168,0.57138,0.60802,0.3447,1.48156,1.40605,1.66698,0.00789625,0.00789625,0.00789625
19,1893.65,1.43076,1.63772,1.59727,0.6725,0.57782,0.62001,0.35114,1.47978,1.37122,1.66126,0.0077725,0.0077725,0.0077725
20,1994.01,1.41589,1.61502,1.58215,0.67313,0.57529,0.63134,0.36335,1.46806,1.33056,1.65551,0.00764875,0.00764875,0.00764875
21,2092.79,1.39949,1.57324,1.57513,0.69175,0.5931,0.64711,0.37027,1.44073,1.31774,1.62354,0.007525,0.007525,0.007525
22,2192.61,1.37795,1.54154,1.5523,0.68653,0.61325,0.65679,0.37373,1.45419,1.29352,1.62509,0.00740125,0.00740125,0.00740125
23,2293.13,1.38765,1.53162,1.55981,0.67423,0.61831,0.66415,0.38251,1.41354,1.27415,1.6119,0.0072775,0.0072775,0.0072775
24,2393.32,1.3686,1.49857,1.54745,0.70314,0.60813,0.66841,0.38757,1.41476,1.24222,1.61126,0.00715375,0.00715375,0.00715375
25,2493.75,1.35802,1.48365,1.53632,0.72078,0.61271,0.67375,0.39697,1.4071,1.22747,1.59995,0.00703,0.00703,0.00703
26,2593.74,1.35379,1.47806,1.52935,0.71971,0.63757,0.70005,0.41316,1.38323,1.18042,1.5739,0.00690625,0.00690625,0.00690625
27,2692.87,1.33891,1.44086,1.51896,0.72144,0.63679,0.69302,0.40741,1.39488,1.1811,1.59963,0.0067825,0.0067825,0.0067825
28,2792.84,1.3225,1.40685,1.51186,0.72714,0.65525,0.70472,0.41536,1.39687,1.15829,1.59016,0.00665875,0.00665875,0.00665875
