epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.683,1.56727,2.85425,1.70382,0.51756,0.4373,0.44044,0.23057,1.60361,1.82863,1.75055,0.00331797,0.00331797,0.00331797
2,205.938,1.58008,2.02506,1.66834,0.25184,0.28245,0.18425,0.07767,1.92794,3.31216,2.16483,0.006569,0.006569,0.006569
3,310.336,1.83805,2.56454,1.91397,0.03835,0.02623,0.00779,0.00347,2.81629,11.2236,3.39373,0.00973752,0.00973752,0.00973752
4,416.12,1.94029,2.88888,2.05163,0.10403,0.12989,0.0476,0.0162,2.29677,8.38898,2.6442,0.00962875,0.00962875,0.00962875
5,520.662,1.82763,2.63952,1.94791,0.21891,0.24193,0.15883,0.07002,1.98801,3.2378,2.22973,0.009505,0.009505,0.009505
6,623.816,1.75839,2.46596,1.89482,0.43492,0.32179,0.27698,0.12375,1.83735,2.81317,2.0462,0.00938125,0.00938125,0.00938125
7,726.962,1.68174,2.28541,1.82636,0.36077,0.36079,0.29581,0.13968,1.82382,2.35095,2.05758,0.0092575,0.0092575,0.0092575
8,830.641,1.63375,2.19159,1.78735,0.45073,0.40075,0.37976,0.18629,1.6974,2.07993,1.92184,0.00913375,0.00913375,0.00913375
9,932.302,1.60578,2.09106,1.75798,0.44567,0.3894,0.37376,0.19009,1.71494,2.00535,1.94039,0.00901,0.00901,0.00901
10,1035.78,1.5793,2.02951,1.73736,0.5833,0.41901,0.4613,0.23509,1.63015,1.90033,1.84875,0.00888625,0.00888625,0.00888625
11,1139.43,1.54927,1.96153,1.71028,0.50968,0.47389,0.47938,0.24868,1.61489,1.79524,1.83409,0.0087625,0.0087625,0.0087625
12,1239.86,1.53525,1.92166,1.69396,0.56466,0.50635,0.52084,0.27766,1.56359,1.64995,1.7788,0.00863875,0.00863875,0.00863875
13,1343.27,1.51387,1.85435,1.67119,0.58292,0.50448,0.53398,0.28393,1.56408,1.61325,1.76706,0.008515,0.008515,0.008515
14,1446.7,1.5034,1.81216,1.66123,0.57083,0.50299,0.51173,0.278,1.54234,1.63775,1.76855,0.00839125,0.00839125,0.00839125
15,1550.12,1.47179,1.77797,1.64059,0.63388,0.52996,0.56929,0.30832,1.53208,1.53224,1.75605,0.0082675,0.0082675,0.0082675
