epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.188,1.56915,2.58845,1.69496,0.50526,0.42756,0.4265,0.22109,1.63887,2.01079,1.77907,0.00331903,0.00331903,0.00331903
2,226.623,1.58049,2.03753,1.6659,0.28276,0.24701,0.18864,0.0832,1.9834,3.3393,2.1836,0.00657004,0.00657004,0.00657004
3,346.79,1.84363,2.61116,1.92358,0.05895,0.14967,0.02205,0.00703,2.59592,29.5584,3.24724,0.00973855,0.00973855,0.00973855
4,458.485,1.94782,2.92832,2.06489,0.35805,0.1019,0.05061,0.01903,2.37663,6.48645,2.59917,0.00962875,0.00962875,0.00962875
5,573.079,1.82298,2.648,1.9585,0.28696,0.27007,0.22123,0.09408,1.99756,2.71904,2.17201,0.009505,0.009505,0.009505
6,686.759,1.75382,2.48519,1.8921,0.31991,0.30393,0.24104,0.10914,1.89348,2.81327,2.08265,0.00938125,0.00938125,0.00938125
7,801.709,1.69779,2.33154,1.83931,0.40915,0.37959,0.35134,0.16744,1.75509,2.23112,1.9857,0.0092575,0.0092575,0.0092575
8,916.303,1.65236,2.24216,1.80442,0.46084,0.39988,0.3855,0.18887,1.69879,2.09596,1.9047,0.00913375,0.00913375,0.00913375
9,1030.35,1.61075,2.12665,1.76448,0.52265,0.4237,0.43972,0.22428,1.67632,1.87089,1.87339,0.00901,0.00901,0.00901
10,1144.73,1.59132,2.05788,1.74139,0.47497,0.43424,0.42909,0.21686,1.69083,1.83937,1.87226,0.00888625,0.00888625,0.00888625
11,1259.25,1.56106,1.99029,1.70745,0.50304,0.45563,0.44642,0.23215,1.67916,1.84362,1.85259,0.0087625,0.0087625,0.0087625
12,1373.57,1.54527,1.94248,1.70596,0.55557,0.50792,0.5083,0.26639,1.59145,1.69474,1.80224,0.00863875,0.00863875,0.00863875
13,1486.12,1.51824,1.87836,1.68069,0.55035,0.51043,0.51832,0.27344,1.58307,1.61821,1.77311,0.008515,0.008515,0.008515
14,1598.55,1.49855,1.83747,1.65977,0.572,0.50358,0.52305,0.28184,1.57196,1.62624,1.75396,0.00839125,0.00839125,0.00839125
15,1710.98,1.4781,1.78697,1.64257,0.61361,0.51855,0.55137,0.30109,1.57651,1.5625,1.74276,0.0082675,0.0082675,0.0082675
16,1825.04,1.47522,1.772,1.63644,0.6047,0.54098,0.5677,0.31026,1.53325,1.51928,1.69505,0.00814375,0.00814375,0.00814375
17,1937.83,1.45947,1.72371,1.61873,0.63449,0.56715,0.59726,0.33069,1.50949,1.44938,1.70958,0.00802,0.00802,0.00802
18,2051.92,1.4348,1.67831,1.61021,0.65207,0.56733,0.60375,0.33587,1.50295,1.42356,1.68515,0.00789625,0.00789625,0.00789625
19,2166.11,1.43263,1.64929,1.59858,0.62296,0.581,0.61488,0.34725,1.4943,1.39646,1.66655,0.0077725,0.0077725,0.0077725
20,2280.17,1.4171,1.62498,1.58214,0.66747,0.56996,0.63329,0.36475,1.44716,1.34358,1.63585,0.00764875,0.00764875,0.00764875
21,2393.48,1.40596,1.58455,1.57961,0.66429,0.58149,0.62949,0.36182,1.4638,1.34838,1.64664,0.007525,0.007525,0.007525
22,2504.8,1.38378,1.55248,1.56077,0.66173,0.60667,0.6536,0.37636,1.44195,1.31475,1.63087,0.00740125,0.00740125,0.00740125
23,2615.85,1.3917,1.53544,1.55678,0.69319,0.5992,0.65465,0.37791,1.4303,1.28572,1.60173,0.0072775,0.0072775,0.0072775
24,2730.15,1.37329,1.51257,1.54269,0.69871,0.61312,0.66209,0.38014,1.42987,1.27347,1.62334,0.00715375,0.00715375,0.00715375
25,2844.51,1.36274,1.48712,1.54259,0.67856,0.63027,0.66465,0.3892,1.43128,1.25132,1.62069,0.00703,0.00703,0.00703
26,2958.61,1.36019,1.48565,1.53654,0.70567,0.64306,0.68619,0.39905,1.42554,1.21977,1.6111,0.00690625,0.00690625,0.00690625
27,3065.9,1.34248,1.44535,1.52097,0.73638,0.62865,0.69449,0.4085,1.40167,1.17044,1.59018,0.0067825,0.0067825,0.0067825
28,3173.11,1.32861,1.41401,1.51126,0.74406,0.62758,0.69504,0.40945,1.40058,1.17202,1.59198,0.00665875,0.00665875,0.00665875
29,3280.59,1.31885,1.40074,1.50016,0.71427,0.65576,0.70337,0.41807,1.38809,1.13948,1.58451,0.006535,0.006535,0.006535
30,3393.22,1.31543,1.38815,1.499,0.74921,0.64672,0.70985,0.42281,1.37743,1.13828,1.56912,0.00641125,0.00641125,0.00641125
31,3504.46,1.31152,1.36631,1.48693,0.72429,0.66404,0.71458,0.42517,1.37938,1.10772,1.56185,0.0062875,0.0062875,0.0062875
32,3617.27,1.31046,1.35707,1.48427,0.73642,0.66043,0.71329,0.4253,1.37224,1.09964,1.5668,0.00616375,0.00616375,0.00616375
33,3729.3,1.29181,1.32491,1.47444,0.72695,0.67675,0.72267,0.4387,1.37299,1.07767,1.55843,0.00604,0.00604,0.00604
34,3842.43,1.29116,1.31007,1.47156,0.76144,0.66516,0.73254,0.4402,1.37652,1.0615,1.5582,0.00591625,0.00591625,0.00591625
35,3953.52,1.27535,1.29274,1.46416,0.74979,0.68655,0.73499,0.447,1.37333,1.0599,1.55644,0.0057925,0.0057925,0.0057925
36,4065.57,1.27755,1.29308,1.46465,0.74779,0.67701,0.73844,0.44729,1.36705,1.04539,1.55416,0.00566875,0.00566875,0.00566875
37,4178.89,1.25796,1.27029,1.44489,0.75908,0.68687,0.74308,0.45173,1.35614,1.0419,1.54904,0.005545,0.005545,0.005545
38,4292.36,1.25804,1.24806,1.45066,0.74577,0.69875,0.74114,0.4532,1.35989,1.02609,1.54449,0.00542125,0.00542125,0.00542125
39,4405.5,1.25662,1.24216,1.44562,0.74101,0.69151,0.74241,0.45182,1.3517,1.02257,1.53645,0.0052975,0.0052975,0.0052975
40,4519.36,1.24773,1.22466,1.43713,0.75799,0.69588,0.74575,0.45798,1.35566,1.00434,1.54259,0.00517375,0.00517375,0.00517375
41,4631.14,1.22845,1.18829,1.41902,0.77048,0.69356,0.75528,0.45948,1.35199,1.00233,1.53932,0.00505,0.00505,0.00505
42,4745.01,1.22955,1.1958,1.41971,0.76031,0.70767,0.75336,0.46235,1.34928,0.98661,1.53162,0.00492625,0.00492625,0.00492625
43,4859.02,1.22383,1.18068,1.41518,0.77312,0.69569,0.75496,0.46386,1.34981,0.98029,1.53656,0.0048025,0.0048025,0.0048025
44,4972.47,1.21349,1.15934,1.41439,0.77541,0.70723,0.76017,0.47113,1.34134,0.97258,1.53264,0.00467875,0.00467875,0.00467875
45,5086.54,1.20124,1.13678,1.40196,0.77037,0.71495,0.76326,0.4719,1.33477,0.9551,1.53174,0.004555,0.004555,0.004555
46,5200.5,1.19812,1.13595,1.39497,0.77941,0.708,0.7656,0.47286,1.33549,0.95266,1.52518,0.00443125,0.00443125,0.00443125
47,5311.14,1.19086,1.12986,1.3914,0.79145,0.6997,0.76995,0.47409,1.33492,0.94908,1.52509,0.0043075,0.0043075,0.0043075
48,5425.24,1.1856,1.10707,1.38418,0.76187,0.72522,0.77005,0.47478,1.33484,0.94899,1.52228,0.00418375,0.00418375,0.00418375
49,5538.08,1.17341,1.08811,1.37853,0.75372,0.73526,0.76847,0.47383,1.33627,0.94164,1.52889,0.00406,0.00406,0.00406
50,5651.99,1.16093,1.06572,1.37485,0.76779,0.72491,0.7687,0.47606,1.33254,0.9382,1.52476,0.00393625,0.00393625,0.00393625
51,5765.5,1.16496,1.07327,1.37057,0.78753,0.7181,0.76966,0.47773,1.33161,0.93223,1.52506,0.0038125,0.0038125,0.0038125
52,5878.13,1.15592,1.04651,1.36474,0.78546,0.71752,0.76766,0.4792,1.33078,0.92704,1.52675,0.00368875,0.00368875,0.00368875
53,5990.4,1.14975,1.03755,1.36018,0.78862,0.71518,0.76529,0.47974,1.32759,0.92112,1.52248,0.003565,0.003565,0.003565
54,6103.24,1.14183,1.02533,1.34843,0.78726,0.72,0.76862,0.48082,1.32333,0.91633,1.51689,0.00344125,0.00344125,0.00344125
55,6216.49,1.13158,1.0181,1.34569,0.78561,0.72832,0.77234,0.48401,1.32448,0.91383,1.51951,0.0033175,0.0033175,0.0033175
56,6330.05,1.12359,1.00859,1.34228,0.78786,0.73198,0.77607,0.48591,1.32283,0.90609,1.51899,0.00319375,0.00319375,0.00319375
57,6443.2,1.11457,0.98293,1.33413,0.78547,0.73783,0.77635,0.48617,1.32582,0.90494,1.52208,0.00307,0.00307,0.00307
58,6555.67,1.10748,0.97506,1.32784,0.78627,0.73653,0.77588,0.48614,1.32775,0.90315,1.52474,0.00294625,0.00294625,0.00294625
59,6669.69,1.10341,0.96783,1.32557,0.77668,0.7432,0.7749,0.48648,1.32865,0.90303,1.52672,0.0028225,0.0028225,0.0028225
60,6783.79,1.09502,0.94724,1.31352,0.78025,0.74322,0.77381,0.48664,1.33048,0.89773,1.52895,0.00269875,0.00269875,0.00269875
61,6897.87,1.08958,0.94555,1.31218,0.77822,0.73371,0.77368,0.48624,1.3317,0.89852,1.53091,0.002575,0.002575,0.002575
62,7009.33,1.08335,0.92988,1.30587,0.78797,0.73048,0.77484,0.48796,1.33081,0.89674,1.53128,0.00245125,0.00245125,0.00245125
63,7123.12,1.07718,0.92886,1.30123,0.78846,0.7335,0.77582,0.48844,1.33058,0.8947,1.53102,0.0023275,0.0023275,0.0023275
64,7237.29,1.06642,0.89955,1.29497,0.7987,0.7283,0.77579,0.48794,1.33096,0.8935,1.53106,0.00220375,0.00220375,0.00220375
65,7350.98,1.05464,0.89336,1.28736,0.79817,0.72525,0.77641,0.4889,1.33007,0.89168,1.53066,0.00208,0.00208,0.00208
66,7464.98,1.0439,0.88368,1.28039,0.79431,0.72749,0.7765,0.48865,1.33051,0.88894,1.53197,0.00195625,0.00195625,0.00195625
67,7577.77,1.04613,0.87557,1.27907,0.78868,0.72887,0.776,0.49026,1.32986,0.88675,1.5329,0.0018325,0.0018325,0.0018325
68,7691.71,1.03281,0.85908,1.27062,0.79591,0.72616,0.77566,0.49104,1.33069,0.88603,1.53399,0.00170875,0.00170875,0.00170875
69,7801.21,1.03155,0.85659,1.27148,0.79388,0.73145,0.77621,0.49055,1.33062,0.88558,1.53484,0.001585,0.001585,0.001585
70,7909.11,1.02289,0.84449,1.26534,0.79385,0.72891,0.77436,0.49037,1.33103,0.88553,1.5356,0.00146125,0.00146125,0.00146125
71,8022.57,0.93272,0.58115,1.2082,0.80067,0.7255,0.7745,0.49033,1.33072,0.8847,1.53532,0.0013375,0.0013375,0.0013375
72,8135.86,0.90868,0.55219,1.19294,0.79981,0.72575,0.77506,0.49063,1.33002,0.88379,1.53524,0.00121375,0.00121375,0.00121375
73,8250.69,0.89398,0.53956,1.17988,0.78754,0.73327,0.77527,0.49124,1.32986,0.88338,1.53603,0.00109,0.00109,0.00109
74,8365.38,0.87893,0.5203,1.16724,0.78533,0.73334,0.77545,0.49069,1.32981,0.88248,1.53724,0.00096625,0.00096625,0.00096625
75,8479.21,0.87048,0.5137,1.15775,0.78764,0.73231,0.77557,0.49112,1.32903,0.88303,1.53762,0.0008425,0.0008425,0.0008425
76,8587.53,0.8532,0.49939,1.15144,0.787,0.73349,0.77604,0.49102,1.32955,0.88345,1.5396,0.00071875,0.00071875,0.00071875
77,8702.53,0.84425,0.49139,1.14305,0.78173,0.73514,0.775,0.49083,1.32938,0.88337,1.54094,0.000595,0.000595,0.000595
78,8817.25,0.83208,0.47839,1.13186,0.77827,0.73871,0.77545,0.49113,1.33005,0.88409,1.5428,0.00047125,0.00047125,0.00047125
79,8932.13,0.82078,0.47275,1.12721,0.78379,0.73504,0.7743,0.49132,1.33026,0.88398,1.54419,0.0003475,0.0003475,0.0003475
80,9046.97,0.80774,0.46192,1.11883,0.78623,0.73534,0.77449,0.4914,1.33106,0.8842,1.54567,0.00022375,0.00022375,0.00022375
