epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.406,1.56534,2.7038,1.68382,0.46305,0.44166,0.41814,0.20969,1.65318,1.87306,1.75391,0.00331903,0.00331903,0.00331903
2,221.589,1.575,2.02994,1.66716,0.33983,0.28761,0.2397,0.10632,1.95205,3.08741,2.16364,0.00657004,0.00657004,0.00657004
3,341.787,1.8473,2.60413,1.92131,0.00795,0.10751,0.00342,0.00118,3.05774,inf,3.92558,0.00973855,0.00973855,0.00973855
4,457.76,1.95294,2.93655,2.07198,0.14291,0.13342,0.07404,0.02846,2.22477,9.2582,2.5392,0.00962875,0.00962875,0.00962875
5,571.579,1.8251,2.6605,1.95979,0.25516,0.24967,0.16559,0.06893,2.12605,3.45165,2.34152,0.009505,0.009505,0.009505
6,684.335,1.75232,2.47562,1.88752,0.38797,0.30366,0.28572,0.13505,1.83858,2.4824,2.06173,0.00938125,0.00938125,0.00938125
7,797.326,1.69443,2.32599,1.83605,0.36103,0.35839,0.30644,0.14886,1.79426,2.32901,1.99122,0.0092575,0.0092575,0.0092575
8,910.51,1.65375,2.22533,1.79571,0.5119,0.37305,0.37409,0.18257,1.74256,2.10985,1.96628,0.00913375,0.00913375,0.00913375
9,1023.18,1.61426,2.13864,1.76503,0.43894,0.38748,0.35321,0.17894,1.74928,2.11968,1.93185,0.00901,0.00901,0.00901
10,1135.61,1.59206,2.0594,1.7375,0.51855,0.44851,0.45835,0.23453,1.64986,1.78669,1.81495,0.00888625,0.00888625,0.00888625
11,1247.6,1.55652,1.9905,1.7059,0.52797,0.47408,0.47579,0.24994,1.62076,1.78999,1.8305,0.0087625,0.0087625,0.0087625
12,1359.36,1.5459,1.93359,1.7014,0.55224,0.4799,0.49713,0.26253,1.59031,1.70534,1.80211,0.00863875,0.00863875,0.00863875
13,1466.56,1.51471,1.87442,1.6783,0.54054,0.51703,0.51439,0.27155,1.59832,1.63509,1.78946,0.008515,0.008515,0.008515
14,1577.68,1.49377,1.83828,1.65807,0.60716,0.5202,0.54905,0.28917,1.58335,1.57724,1.76894,0.00839125,0.00839125,0.00839125
15,1684.98,1.48659,1.80298,1.64827,0.6045,0.52521,0.55312,0.30379,1.52755,1.54873,1.70755,0.0082675,0.0082675,0.0082675
16,1797.53,1.47393,1.77769,1.63479,0.61439,0.54264,0.56982,0.31409,1.53969,1.51587,1.70163,0.00814375,0.00814375,0.00814375
17,1909.58,1.45738,1.71902,1.61669,0.5995,0.54755,0.56893,0.3121,1.52583,1.494,1.7116,0.00802,0.00802,0.00802
18,2019.1,1.43106,1.66994,1.60071,0.64665,0.56521,0.5972,0.33353,1.50219,1.43818,1.69009,0.00789625,0.00789625,0.00789625
19,2125.18,1.42934,1.65182,1.59509,0.63521,0.58201,0.61317,0.34591,1.47957,1.36642,1.65678,0.0077725,0.0077725,0.0077725
20,2237.95,1.41982,1.63538,1.58138,0.64456,0.59003,0.62312,0.35223,1.46614,1.38145,1.65775,0.00764875,0.00764875,0.00764875
21,2350.1,1.40007,1.58356,1.57181,0.68245,0.58614,0.63671,0.36256,1.45142,1.32261,1.64034,0.007525,0.007525,0.007525
22,2462.54,1.3784,1.5528,1.55399,0.69603,0.59303,0.65783,0.37742,1.44887,1.30472,1.6294,0.00740125,0.00740125,0.00740125
23,2574.92,1.3912,1.54098,1.55995,0.6766,0.60015,0.65294,0.37722,1.44321,1.27803,1.6327,0.0072775,0.0072775,0.0072775
24,2686.98,1.37,1.50184,1.53957,0.71984,0.61736,0.66639,0.38304,1.4304,1.25955,1.61726,0.00715375,0.00715375,0.00715375
25,2799.38,1.35845,1.48491,1.53306,0.68547,0.62352,0.66506,0.38941,1.41215,1.24327,1.59762,0.00703,0.00703,0.00703
26,2911.89,1.35845,1.4842,1.53307,0.70461,0.63072,0.68508,0.40132,1.41141,1.19912,1.59638,0.00690625,0.00690625,0.00690625
27,3024.27,1.34437,1.4457,1.52179,0.73114,0.62891,0.68905,0.40787,1.39527,1.17296,1.57961,0.0067825,0.0067825,0.0067825
28,3134.84,1.32778,1.41056,1.50873,0.73813,0.64294,0.7036,0.41323,1.40793,1.15506,1.59491,0.00665875,0.00665875,0.00665875
29,3246.92,1.31855,1.40806,1.49971,0.72294,0.64297,0.70442,0.41971,1.39302,1.15422,1.5839,0.006535,0.006535,0.006535
