epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.239,1.5588,2.62008,1.69512,0.48072,0.41693,0.40835,0.21394,1.59268,1.91744,1.71971,0.00331797,0.00331797,0.00331797
2,206.75,1.57579,2.01727,1.66081,0.2711,0.28039,0.19688,0.0883,1.96687,3.14913,2.15286,0.006569,0.006569,0.006569
3,311.672,1.83319,2.56213,1.90627,0.09185,0.10393,0.03409,0.01156,2.5343,9.92124,3.3214,0.00973752,0.00973752,0.00973752
4,417.277,1.93764,2.89274,2.06031,0.1754,0.15421,0.10538,0.04228,2.08104,5.66557,2.3637,0.00962875,0.00962875,0.00962875
5,519.161,1.82094,2.6311,1.9536,0.27631,0.24447,0.17374,0.07578,1.92827,3.12986,2.18679,0.009505,0.009505,0.009505
6,620.473,1.74795,2.47342,1.89187,0.36176,0.32418,0.27841,0.12436,1.78761,2.76576,2.03527,0.00938125,0.00938125,0.00938125
7,724.788,1.67651,2.29099,1.83253,0.50005,0.34876,0.35125,0.16867,1.74973,2.29733,2.00315,0.0092575,0.0092575,0.0092575
8,828.828,1.63392,2.20179,1.78619,0.45521,0.40363,0.38964,0.19257,1.7223,2.06754,1.91577,0.00913375,0.00913375,0.00913375
9,933.293,1.60173,2.10071,1.75485,0.46001,0.42846,0.4216,0.21101,1.70606,1.96517,1.93871,0.00901,0.00901,0.00901
10,1037.35,1.58393,2.03319,1.73831,0.54381,0.46256,0.46353,0.23717,1.65976,1.78296,1.85545,0.00888625,0.00888625,0.00888625
11,1141.33,1.54982,1.95648,1.71189,0.56793,0.4716,0.48452,0.25596,1.58576,1.73598,1.80744,0.0087625,0.0087625,0.0087625
12,1245.32,1.53254,1.91011,1.69202,0.53868,0.50126,0.5046,0.26703,1.57003,1.68787,1.79075,0.00863875,0.00863875,0.00863875
13,1349.19,1.51374,1.85155,1.67767,0.55176,0.50385,0.51476,0.26785,1.60137,1.65618,1.80865,0.008515,0.008515,0.008515
14,1453.21,1.49458,1.81008,1.66124,0.56829,0.51152,0.53933,0.29121,1.55394,1.57818,1.77457,0.00839125,0.00839125,0.00839125
15,1557.58,1.47561,1.77499,1.64242,0.6129,0.5418,0.56244,0.30889,1.51866,1.51984,1.73225,0.0082675,0.0082675,0.0082675
16,1661.97,1.46004,1.72889,1.63788,0.6287,0.55611,0.58825,0.32977,1.50149,1.47728,1.71976,0.00814375,0.00814375,0.00814375
17,1766.06,1.43813,1.69319,1.60952,0.66589,0.54274,0.58805,0.32619,1.49889,1.46234,1.7039,0.00802,0.00802,0.00802
18,1868.29,1.42693,1.6647,1.60101,0.63206,0.58292,0.6123,0.34338,1.46481,1.39877,1.66471,0.00789625,0.00789625,0.00789625
19,1972.53,1.41455,1.63726,1.58927,0.64038,0.56496,0.60024,0.34208,1.47311,1.40772,1.67098,0.0077725,0.0077725,0.0077725
