epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.629,1.56542,2.74407,1.6835,0.47949,0.44147,0.41794,0.21619,1.60861,1.89914,1.7723,0.00331903,0.00331903,0.00331903
2,218.687,1.57925,2.02892,1.67147,0.24289,0.28519,0.17545,0.07566,2.02547,3.60364,2.2171,0.00657004,0.00657004,0.00657004
3,349.063,1.84174,2.58289,1.91006,0.0495,0.05503,0.00964,0.00323,2.75353,inf,3.2939,0.00973855,0.00973855,0.00973855
4,459.598,1.96313,2.9336,2.07495,0.16582,0.1341,0.06691,0.02653,2.23302,6.19376,2.4551,0.00962875,0.00962875,0.00962875
5,569.901,1.8263,2.65794,1.96743,0.28731,0.26218,0.1971,0.0817,2.04885,2.8721,2.27072,0.009505,0.009505,0.009505
6,680.528,1.75127,2.4774,1.88872,0.32646,0.31819,0.25267,0.11552,1.89324,2.5868,2.06405,0.00938125,0.00938125,0.00938125
7,790.81,1.69806,2.32412,1.83638,0.3861,0.35131,0.32149,0.15093,1.80673,2.31681,2.01496,0.0092575,0.0092575,0.0092575
8,896.529,1.65175,2.22409,1.79711,0.50698,0.36114,0.38109,0.18343,1.73312,2.08187,1.91099,0.00913375,0.00913375,0.00913375
9,1001.53,1.61004,2.13602,1.75803,0.52816,0.42986,0.44063,0.22159,1.70571,1.87152,1.90304,0.00901,0.00901,0.00901
10,1108.95,1.59233,2.06317,1.744,0.50395,0.46293,0.46019,0.23579,1.63172,1.79923,1.80769,0.00888625,0.00888625,0.00888625
11,1218.82,1.55958,1.98029,1.71244,0.51856,0.48241,0.47099,0.24443,1.6553,1.77399,1.8486,0.0087625,0.0087625,0.0087625
12,1328.49,1.54028,1.92444,1.69105,0.59377,0.49404,0.51003,0.27009,1.59013,1.69568,1.81242,0.00863875,0.00863875,0.00863875
