epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.021,1.54434,3.29243,1.64305,0.42508,0.41838,0.3851,0.19153,1.58126,2.48931,1.74431,0.00331903,0.00331903,0.00331903
2,200.735,1.58249,2.56354,1.66899,0.2127,0.20047,0.13224,0.05736,1.96498,4.1729,2.24996,0.00657004,0.00657004,0.00657004
3,307.19,1.84469,2.80672,1.93318,0.00629,0.08686,0.00339,0.00113,2.74145,inf,3.35678,0.00973855,0.00973855,0.00973855
4,407.254,1.95808,2.9873,2.06943,0.17813,0.17501,0.10105,0.04121,2.10398,3.80029,2.34364,0.00962875,0.00962875,0.00962875
5,507.286,1.82928,2.70045,1.96578,0.28294,0.24293,0.19808,0.08082,2.00226,2.98138,2.24248,0.009505,0.009505,0.009505
6,606.709,1.7523,2.51353,1.89771,0.37233,0.29249,0.26221,0.12014,1.84548,2.49358,2.08125,0.00938125,0.00938125,0.00938125
7,706.565,1.68993,2.35252,1.84886,0.38228,0.35562,0.32433,0.15146,1.77699,2.26205,2.00784,0.0092575,0.0092575,0.0092575
8,805.39,1.65215,2.2538,1.81102,0.40175,0.38169,0.3509,0.16925,1.72733,2.26183,1.9507,0.00913375,0.00913375,0.00913375
9,903.858,1.60976,2.15661,1.77465,0.44002,0.40541,0.38079,0.19142,1.72564,2.00877,1.90724,0.00901,0.00901,0.00901
10,1003.43,1.59266,2.07483,1.746,0.51905,0.44122,0.44696,0.22718,1.64766,1.82115,1.83979,0.00888625,0.00888625,0.00888625
11,1102.52,1.55756,2.00889,1.71938,0.51004,0.471,0.45894,0.23578,1.66201,1.82572,1.85904,0.0087625,0.0087625,0.0087625
12,1201.81,1.54221,1.9516,1.70888,0.51185,0.50992,0.49867,0.26598,1.57621,1.71574,1.80554,0.00863875,0.00863875,0.00863875
13,1301.16,1.51884,1.89771,1.69223,0.55418,0.49811,0.5173,0.27767,1.55878,1.64305,1.77666,0.008515,0.008515,0.008515
14,1400.97,1.49761,1.86439,1.66975,0.55298,0.52575,0.52601,0.28336,1.55802,1.6114,1.74119,0.00839125,0.00839125,0.00839125
15,1499.95,1.48563,1.81785,1.65382,0.59313,0.53474,0.55162,0.29581,1.55395,1.56677,1.74151,0.0082675,0.0082675,0.0082675
16,1597.1,1.47608,1.79536,1.64423,0.62453,0.53281,0.57126,0.31292,1.53849,1.50878,1.72448,0.00814375,0.00814375,0.00814375
17,1695.86,1.46251,1.73639,1.62817,0.64599,0.56896,0.6011,0.33102,1.52126,1.4433,1.71274,0.00802,0.00802,0.00802
18,1795.15,1.43083,1.68822,1.61363,0.66603,0.55033,0.6092,0.34271,1.48737,1.4311,1.68199,0.00789625,0.00789625,0.00789625
19,1893.47,1.43372,1.67374,1.60681,0.6233,0.563,0.59793,0.33739,1.47137,1.39776,1.67148,0.0077725,0.0077725,0.0077725
20,1992.7,1.42026,1.64389,1.59592,0.66726,0.59466,0.63871,0.36197,1.46757,1.33154,1.65496,0.00764875,0.00764875,0.00764875
21,2092.01,1.3992,1.59607,1.5777,0.65497,0.59721,0.63313,0.36141,1.45906,1.3326,1.65067,0.007525,0.007525,0.007525
22,2191.08,1.37757,1.5668,1.56288,0.64974,0.59655,0.63983,0.36662,1.4538,1.33805,1.64465,0.00740125,0.00740125,0.00740125
23,2290.95,1.39376,1.55042,1.56688,0.67473,0.62127,0.6489,0.37676,1.42438,1.28641,1.60992,0.0072775,0.0072775,0.0072775
24,2390.5,1.37526,1.5205,1.55354,0.69713,0.6134,0.6564,0.37667,1.4254,1.27546,1.62341,0.00715375,0.00715375,0.00715375
25,2489.93,1.35916,1.50012,1.54285,0.68529,0.62789,0.6744,0.39839,1.40802,1.23424,1.59858,0.00703,0.00703,0.00703
26,2589.01,1.35663,1.4978,1.53768,0.69944,0.63803,0.69031,0.40612,1.39872,1.21349,1.5993,0.00690625,0.00690625,0.00690625
27,2688.29,1.34551,1.46684,1.5303,0.70675,0.64272,0.69409,0.40723,1.40891,1.19655,1.59749,0.0067825,0.0067825,0.0067825
28,2787.49,1.32816,1.42739,1.51695,0.70092,0.64673,0.69414,0.40552,1.39553,1.17883,1.59008,0.00665875,0.00665875,0.00665875
29,2886.76,1.32234,1.41901,1.51288,0.71225,0.65142,0.7014,0.41995,1.38427,1.17382,1.59038,0.006535,0.006535,0.006535
30,2985.71,1.3156,1.40649,1.50571,0.71717,0.65902,0.71079,0.42247,1.38198,1.13856,1.58753,0.00641125,0.00641125,0.00641125
31,3085.36,1.30773,1.36944,1.49038,0.74772,0.66593,0.71646,0.42753,1.37592,1.1095,1.56199,0.0062875,0.0062875,0.0062875
32,3184.73,1.31308,1.37097,1.49776,0.71963,0.6701,0.71922,0.43028,1.36652,1.09661,1.56418,0.00616375,0.00616375,0.00616375
33,3283.4,1.289,1.33869,1.48152,0.7568,0.66186,0.724,0.43506,1.36872,1.09396,1.56451,0.00604,0.00604,0.00604
34,3382.32,1.28868,1.32877,1.48562,0.73905,0.67474,0.72893,0.43976,1.35424,1.0844,1.55999,0.00591625,0.00591625,0.00591625
35,3481.51,1.27176,1.31073,1.47258,0.75159,0.66629,0.73421,0.44713,1.3485,1.06804,1.55204,0.0057925,0.0057925,0.0057925
36,3579.28,1.27448,1.30035,1.46657,0.75575,0.68069,0.73848,0.44881,1.34846,1.04576,1.54374,0.00566875,0.00566875,0.00566875
37,3678.31,1.26094,1.2853,1.45331,0.74513,0.68868,0.74232,0.45213,1.35034,1.03835,1.54354,0.005545,0.005545,0.005545
38,3777.51,1.25544,1.26079,1.45357,0.76075,0.68632,0.74226,0.45321,1.35003,1.03346,1.5476,0.00542125,0.00542125,0.00542125
39,3874.72,1.25339,1.25373,1.44884,0.75939,0.6835,0.74365,0.45695,1.33436,1.02388,1.53548,0.0052975,0.0052975,0.0052975
40,3973.8,1.24449,1.23343,1.43752,0.75401,0.69718,0.75225,0.46208,1.33129,1.00788,1.53129,0.00517375,0.00517375,0.00517375
41,4072.73,1.22893,1.2065,1.42604,0.76448,0.69,0.75243,0.46189,1.33676,1.0123,1.53586,0.00505,0.00505,0.00505
42,4171.64,1.22792,1.20565,1.4269,0.77785,0.68594,0.7549,0.4665,1.3258,0.99809,1.5308,0.00492625,0.00492625,0.00492625
43,4270.28,1.22279,1.19147,1.4197,0.77225,0.69209,0.75209,0.4642,1.32666,0.99705,1.53296,0.0048025,0.0048025,0.0048025
44,4368.72,1.2075,1.16702,1.41368,0.77179,0.70145,0.75807,0.46815,1.32791,0.98709,1.52818,0.00467875,0.00467875,0.00467875
45,4467.76,1.20494,1.15479,1.40879,0.78463,0.6992,0.75712,0.47088,1.32595,0.97442,1.52682,0.004555,0.004555,0.004555
46,4566.95,1.19692,1.14643,1.40149,0.79531,0.69977,0.76284,0.47462,1.3268,0.9664,1.5276,0.00443125,0.00443125,0.00443125
47,4664.88,1.19265,1.13727,1.39712,0.7836,0.70882,0.76701,0.47512,1.32361,0.95393,1.52648,0.0043075,0.0043075,0.0043075
48,4763.49,1.18349,1.11505,1.3871,0.79815,0.70379,0.76687,0.47463,1.32574,0.94752,1.52397,0.00418375,0.00418375,0.00418375
49,4862.46,1.1747,1.09997,1.38479,0.79625,0.70247,0.76662,0.47555,1.33106,0.94384,1.53088,0.00406,0.00406,0.00406
50,4961.62,1.16172,1.08265,1.38332,0.78739,0.70993,0.76548,0.4764,1.32974,0.94146,1.53016,0.00393625,0.00393625,0.00393625
51,5059.44,1.16406,1.08337,1.37699,0.78994,0.71298,0.7703,0.47904,1.32389,0.93152,1.52717,0.0038125,0.0038125,0.0038125
52,5158.33,1.15581,1.06208,1.37136,0.78829,0.71827,0.77271,0.48068,1.32332,0.93218,1.52446,0.00368875,0.00368875,0.00368875
