epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.748,1.54468,2.93576,1.66075,0.48997,0.42154,0.42878,0.22326,1.61792,1.87782,1.73375,0.00331797,0.00331797,0.00331797
2,204.156,1.57601,2.09283,1.65508,0.3977,0.34662,0.30964,0.13083,1.90549,2.65171,2.20796,0.00657814,0.00657814,0.00657814
3,304.807,1.84063,2.57482,1.90513,0.058,0.05356,0.01692,0.00601,2.65401,8.28599,3.28174,0.00976498,0.00976498,0.00976498
4,405.171,1.93468,2.8672,2.03171,0.25697,0.22208,0.15368,0.06164,2.05423,3.94657,2.3449,0.00967,0.00967,0.00967
5,505.466,1.82298,2.62427,1.95079,0.29465,0.27195,0.21559,0.0962,1.9272,2.97789,2.18971,0.00956,0.00956,0.00956
6,606.808,1.75504,2.46327,1.8945,0.36233,0.29574,0.26408,0.11992,1.85199,2.6548,2.07884,0.00945,0.00945,0.00945
7,707.71,1.682,2.29757,1.83391,0.47545,0.38014,0.35881,0.17081,1.76658,2.15076,1.98766,0.00934,0.00934,0.00934
8,810.858,1.6432,2.19323,1.79002,0.4653,0.4126,0.38904,0.18887,1.72574,2.07513,1.93876,0.00923,0.00923,0.00923
9,911.995,1.60567,2.09334,1.75475,0.49304,0.41468,0.41505,0.20981,1.6909,1.93587,1.91036,0.00912,0.00912,0.00912
10,1016.65,1.58283,2.04143,1.74115,0.53996,0.41264,0.42597,0.21429,1.68402,1.90588,1.8903,0.00901,0.00901,0.00901
11,1119.47,1.5537,1.95699,1.7095,0.52097,0.45555,0.45654,0.23447,1.64987,1.82421,1.86074,0.0089,0.0089,0.0089
12,1222.16,1.53692,1.91238,1.69365,0.53626,0.45781,0.46093,0.24645,1.59967,1.80493,1.80044,0.00879,0.00879,0.00879
13,1324.37,1.51109,1.85112,1.66969,0.57395,0.50624,0.52874,0.28386,1.55368,1.61664,1.75827,0.00868,0.00868,0.00868
14,1427.29,1.50123,1.81011,1.65922,0.58804,0.51662,0.53689,0.29279,1.52989,1.5663,1.73229,0.00857,0.00857,0.00857
15,1530.18,1.47952,1.77281,1.64458,0.62332,0.54237,0.57538,0.31228,1.52119,1.5081,1.73531,0.00846,0.00846,0.00846
16,1632.21,1.45794,1.72695,1.62433,0.60601,0.49474,0.52677,0.28205,1.57686,1.63831,1.75559,0.00835,0.00835,0.00835
17,1735,1.44559,1.69118,1.60394,0.61743,0.56573,0.59254,0.32882,1.50041,1.44784,1.71133,0.00824,0.00824,0.00824
18,1837.76,1.43611,1.6665,1.60821,0.63423,0.57162,0.59943,0.33378,1.47528,1.43474,1.69195,0.00813,0.00813,0.00813
19,1940.78,1.42346,1.63385,1.59662,0.65725,0.56961,0.61177,0.34816,1.47808,1.38799,1.67438,0.00802,0.00802,0.00802
20,2043.56,1.41995,1.61092,1.58407,0.63855,0.60633,0.62869,0.35115,1.47768,1.36367,1.67677,0.00791,0.00791,0.00791
21,2146.32,1.40002,1.57291,1.57538,0.6625,0.60968,0.64257,0.36625,1.45821,1.302,1.65511,0.0078,0.0078,0.0078
22,2246.62,1.38928,1.56024,1.56455,0.69631,0.60142,0.65952,0.37911,1.42631,1.29287,1.63543,0.00769,0.00769,0.00769
23,2348.72,1.38465,1.54086,1.5545,0.72751,0.59936,0.66618,0.38604,1.43717,1.27028,1.63847,0.00758,0.00758,0.00758
24,2449.14,1.37866,1.50813,1.54746,0.72272,0.62292,0.67384,0.39137,1.43157,1.23652,1.62933,0.00747,0.00747,0.00747
25,2550.34,1.34654,1.47375,1.52189,0.7169,0.62295,0.66975,0.38918,1.42588,1.24415,1.6177,0.00736,0.00736,0.00736
26,2652.67,1.35841,1.45833,1.52595,0.71849,0.62398,0.67827,0.39748,1.41811,1.21162,1.62639,0.00725,0.00725,0.00725
27,2753.96,1.34678,1.43379,1.51902,0.71354,0.63518,0.68796,0.40238,1.39668,1.18695,1.59196,0.00714,0.00714,0.00714
28,2856.98,1.33069,1.41504,1.509,0.71959,0.63411,0.69455,0.40946,1.38634,1.17781,1.59347,0.00703,0.00703,0.00703
29,2959.74,1.3341,1.4116,1.5116,0.71614,0.64982,0.70112,0.4113,1.39064,1.15554,1.5961,0.00692,0.00692,0.00692
30,3062,1.31544,1.38267,1.49914,0.70667,0.65067,0.69309,0.40917,1.39131,1.16545,1.60061,0.00681,0.00681,0.00681
31,3164.77,1.31811,1.37005,1.494,0.73758,0.67275,0.72003,0.43226,1.36716,1.09877,1.5731,0.0067,0.0067,0.0067
32,3267.83,1.31136,1.35142,1.48988,0.72108,0.6645,0.71313,0.4312,1.35591,1.10582,1.56454,0.00659,0.00659,0.00659
33,3371.56,1.29122,1.3203,1.47395,0.73196,0.67696,0.71906,0.43282,1.36455,1.09054,1.568,0.00648,0.00648,0.00648
34,3475.08,1.28667,1.30911,1.46694,0.74519,0.66732,0.7218,0.43023,1.36528,1.09293,1.57162,0.00637,0.00637,0.00637
35,3576.88,1.27387,1.28957,1.46195,0.74476,0.68377,0.734,0.44254,1.36151,1.05539,1.56132,0.00626,0.00626,0.00626
36,3678.12,1.27911,1.28653,1.46449,0.72598,0.69422,0.73857,0.44526,1.3519,1.04488,1.56186,0.00615,0.00615,0.00615
37,3781.75,1.26968,1.26056,1.45104,0.75613,0.68731,0.74039,0.44465,1.35623,1.04442,1.56002,0.00604,0.00604,0.00604
38,3885.34,1.26146,1.24917,1.44719,0.75039,0.69092,0.73888,0.45113,1.35293,1.03299,1.55889,0.00593,0.00593,0.00593
39,3989.21,1.25321,1.23759,1.44293,0.75242,0.68384,0.74119,0.45179,1.34097,1.01751,1.54922,0.00582,0.00582,0.00582
40,4091.55,1.24261,1.21897,1.44084,0.77234,0.69004,0.74791,0.45778,1.35186,1.00356,1.55501,0.00571,0.00571,0.00571
41,4193.8,1.23404,1.19622,1.42583,0.76115,0.70008,0.74725,0.46113,1.33364,0.99961,1.54009,0.0056,0.0056,0.0056
42,4297.21,1.22539,1.19357,1.42512,0.7511,0.71632,0.76168,0.46752,1.32728,0.97548,1.53362,0.00549,0.00549,0.00549
43,4400.24,1.22966,1.18818,1.42255,0.77053,0.70577,0.75947,0.46488,1.33605,0.9734,1.5409,0.00538,0.00538,0.00538
44,4503.84,1.2139,1.16418,1.41591,0.77853,0.70705,0.76165,0.46651,1.34238,0.96808,1.54973,0.00527,0.00527,0.00527
45,4607.36,1.20914,1.15497,1.40995,0.75426,0.71785,0.75798,0.46632,1.33398,0.9675,1.54693,0.00516,0.00516,0.00516
46,4708.29,1.19752,1.13088,1.39999,0.77454,0.70493,0.75987,0.47071,1.32612,0.9549,1.53946,0.00505,0.00505,0.00505
47,4809.67,1.2017,1.12982,1.39897,0.78538,0.70474,0.76718,0.4754,1.32976,0.94417,1.53707,0.00494,0.00494,0.00494
48,4910.74,1.19507,1.11626,1.39785,0.78646,0.70951,0.76655,0.47398,1.33399,0.94499,1.54106,0.00483,0.00483,0.00483
49,5012.14,1.18768,1.09878,1.39139,0.77252,0.71528,0.76671,0.47656,1.32982,0.93891,1.53931,0.00472,0.00472,0.00472
50,5114.58,1.18332,1.08866,1.38655,0.76832,0.71403,0.7656,0.47785,1.32215,0.93928,1.53258,0.00461,0.00461,0.00461
51,5216.07,1.17366,1.07512,1.37723,0.77171,0.72303,0.76852,0.47574,1.3255,0.93482,1.53445,0.0045,0.0045,0.0045
52,5319.79,1.16685,1.07064,1.37283,0.78766,0.71611,0.77135,0.47903,1.32186,0.92452,1.53103,0.00439,0.00439,0.00439
53,5423.4,1.1624,1.06759,1.36305,0.7648,0.72963,0.76973,0.47962,1.31987,0.92961,1.52549,0.00428,0.00428,0.00428
54,5526.82,1.15026,1.0468,1.35412,0.77444,0.71943,0.77215,0.48298,1.31888,0.92204,1.52551,0.00417,0.00417,0.00417
55,5630.27,1.14968,1.03847,1.36124,0.76771,0.72702,0.77149,0.48311,1.3206,0.91959,1.529,0.00406,0.00406,0.00406
56,5735.65,1.14417,1.03118,1.35177,0.77414,0.72333,0.77005,0.48349,1.31848,0.91135,1.52788,0.00395,0.00395,0.00395
57,5838.97,1.13861,1.01344,1.34349,0.77707,0.71913,0.77072,0.48218,1.32081,0.91009,1.5306,0.00384,0.00384,0.00384
