epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.386,1.56268,2.51903,1.69258,0.48603,0.44018,0.43439,0.2255,1.66598,2.10735,1.78021,0.00332005,0.00332005,0.00332005
2,233.73,1.56826,2.04998,1.68446,0.36483,0.31735,0.24948,0.10729,1.99114,2.70798,2.21044,0.00657105,0.00657105,0.00657105
3,357.225,1.79778,2.57755,1.93207,0.05469,0.07232,0.01777,0.00603,2.65255,6.07665,3.15438,0.00973955,0.00973955,0.00973955
4,475.48,1.90199,2.86405,2.07782,0.1591,0.27613,0.14256,0.05738,2.061,7.05671,2.34814,0.00962875,0.00962875,0.00962875
5,597.19,1.77735,2.60076,1.96596,0.30764,0.23651,0.18675,0.08427,2.06768,3.08592,2.28538,0.009505,0.009505,0.009505
6,720.22,1.7151,2.41996,1.90545,0.416,0.31757,0.28636,0.13584,1.81508,2.58448,2.06259,0.00938125,0.00938125,0.00938125
7,842.766,1.66142,2.28662,1.85048,0.43163,0.3864,0.37465,0.18477,1.7906,2.37122,1.97818,0.0092575,0.0092575,0.0092575
8,960.582,1.61374,2.16536,1.8071,0.51436,0.40607,0.41334,0.2066,1.73262,2.34176,1.96645,0.00913375,0.00913375,0.00913375
9,1075.02,1.58955,2.08849,1.77956,0.46034,0.40637,0.39458,0.2007,1.71165,2.00821,1.94286,0.00901,0.00901,0.00901
10,1192.55,1.55491,2.00893,1.74651,0.54542,0.46022,0.47642,0.24298,1.67359,1.84323,1.85214,0.00888625,0.00888625,0.00888625
11,1315.02,1.53122,1.94543,1.7267,0.51171,0.48824,0.48524,0.25337,1.70668,1.89192,1.87075,0.0087625,0.0087625,0.0087625
12,1435.33,1.51444,1.90323,1.71416,0.56759,0.4937,0.52408,0.27919,1.65382,1.75061,1.83268,0.00863875,0.00863875,0.00863875
13,1549.94,1.49522,1.84718,1.68731,0.59916,0.52375,0.55294,0.30112,1.56314,1.65048,1.78442,0.008515,0.008515,0.008515
14,1672.71,1.47238,1.78404,1.67779,0.60545,0.53086,0.55885,0.30437,1.57859,1.59132,1.77715,0.00839125,0.00839125,0.00839125
15,1795.64,1.45663,1.75328,1.65906,0.61557,0.52078,0.55263,0.30907,1.54214,1.56792,1.73692,0.0082675,0.0082675,0.0082675
16,1918.94,1.43957,1.69376,1.63963,0.65469,0.55606,0.59834,0.33739,1.54238,1.45052,1.73528,0.00814375,0.00814375,0.00814375
17,2039.08,1.43479,1.68218,1.63287,0.63493,0.57913,0.611,0.35101,1.50515,1.49556,1.69609,0.00802,0.00802,0.00802
18,2161.47,1.41204,1.63145,1.61471,0.64921,0.57831,0.61512,0.35207,1.53575,1.42354,1.7159,0.00789625,0.00789625,0.00789625
19,2285.32,1.40388,1.60066,1.59976,0.66777,0.56532,0.62117,0.35246,1.52597,1.4976,1.69222,0.0077725,0.0077725,0.0077725
20,2409.17,1.39511,1.58645,1.59527,0.67429,0.60242,0.64377,0.36725,1.50332,1.38469,1.67711,0.00764875,0.00764875,0.00764875
