epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.1452,1.55461,2.78082,1.6775,0.49225,0.41364,0.42785,0.21656,1.64411,1.97616,1.75329,0.00331852,0.00331852,0.00331852
2,193.983,1.57776,2.02888,1.67017,0.31481,0.28982,0.21989,0.09676,1.94315,2.80347,2.14096,0.00656954,0.00656954,0.00656954
3,292.915,1.8437,2.57499,1.90939,0.3487,0.08656,0.04339,0.01641,2.50159,20.5876,3.07292,0.00973805,0.00973805,0.00973805
4,390.377,1.95461,2.88917,2.03916,0.19002,0.1574,0.11618,0.0487,2.09172,5.77549,2.34989,0.00962875,0.00962875,0.00962875
5,487.274,1.82742,2.61776,1.93572,0.21002,0.19407,0.14328,0.06294,2.04971,3.40014,2.2924,0.009505,0.009505,0.009505
6,584.477,1.73872,2.43068,1.86045,0.41565,0.32935,0.32316,0.14942,1.81985,2.35863,2.00847,0.00938125,0.00938125,0.00938125
7,681.135,1.68995,2.28876,1.81372,0.44077,0.37195,0.35657,0.16683,1.79498,2.20836,1.97853,0.0092575,0.0092575,0.0092575
8,778.706,1.64694,2.22264,1.78524,0.4288,0.36696,0.36094,0.17754,1.71319,2.13809,1.91991,0.00913375,0.00913375,0.00913375
9,876.269,1.61077,2.09575,1.74837,0.50062,0.46342,0.44677,0.22397,1.65623,1.89497,1.85966,0.00901,0.00901,0.00901
10,972.416,1.57647,2.02194,1.72446,0.49188,0.45263,0.44297,0.22472,1.64184,1.81927,1.83346,0.00888625,0.00888625,0.00888625
11,1068.28,1.56118,1.96814,1.70341,0.54199,0.50111,0.4995,0.2651,1.57581,1.68506,1.79638,0.0087625,0.0087625,0.0087625
12,1164.22,1.53314,1.91558,1.69005,0.56661,0.48734,0.49918,0.26322,1.58011,1.73062,1.77847,0.00863875,0.00863875,0.00863875
13,1260.88,1.50939,1.85644,1.66044,0.55673,0.51017,0.51709,0.27936,1.57205,1.65477,1.78139,0.008515,0.008515,0.008515
14,1356.87,1.503,1.84158,1.64817,0.58593,0.53646,0.55568,0.30265,1.55612,1.5475,1.75047,0.00839125,0.00839125,0.00839125
15,1452.44,1.47659,1.76656,1.62261,0.61376,0.53896,0.55834,0.30788,1.50711,1.49489,1.69211,0.0082675,0.0082675,0.0082675
16,1548.39,1.46821,1.7377,1.62485,0.66515,0.5629,0.59745,0.32715,1.50423,1.43552,1.69195,0.00814375,0.00814375,0.00814375
17,1645.36,1.44987,1.70285,1.60492,0.63569,0.56721,0.59776,0.3318,1.50025,1.43038,1.69686,0.00802,0.00802,0.00802
18,1742.1,1.43268,1.66699,1.59037,0.63469,0.5846,0.61604,0.34598,1.48453,1.39472,1.6614,0.00789625,0.00789625,0.00789625
19,1838.78,1.4279,1.64655,1.59053,0.65607,0.5835,0.61774,0.34175,1.49616,1.38939,1.69156,0.0077725,0.0077725,0.0077725
20,1935.69,1.41373,1.61588,1.58027,0.68515,0.59727,0.64106,0.36614,1.4415,1.33466,1.63906,0.00764875,0.00764875,0.00764875
21,2031.29,1.40705,1.58359,1.57027,0.67635,0.599,0.64786,0.36556,1.4562,1.31611,1.64595,0.007525,0.007525,0.007525
22,2127.63,1.39574,1.54998,1.55464,0.66622,0.61058,0.6564,0.38052,1.43473,1.27127,1.62702,0.00740125,0.00740125,0.00740125
23,2224.4,1.38652,1.52548,1.54973,0.70029,0.60317,0.66063,0.38243,1.42103,1.26074,1.62056,0.0072775,0.0072775,0.0072775
24,2320.61,1.37494,1.51002,1.5381,0.73372,0.60613,0.67054,0.38819,1.42524,1.23728,1.61408,0.00715375,0.00715375,0.00715375
25,2416.88,1.35424,1.47044,1.52212,0.68129,0.62988,0.66715,0.39328,1.39474,1.2275,1.59167,0.00703,0.00703,0.00703
26,2513.61,1.35685,1.46592,1.53049,0.69013,0.64273,0.68184,0.40005,1.40755,1.195,1.60243,0.00690625,0.00690625,0.00690625
27,2609.19,1.33507,1.42636,1.51178,0.72354,0.62798,0.69131,0.41391,1.37346,1.17404,1.58324,0.0067825,0.0067825,0.0067825
28,2706.5,1.32816,1.4027,1.50379,0.74227,0.64145,0.69938,0.41211,1.38471,1.14721,1.58072,0.00665875,0.00665875,0.00665875
29,2802.86,1.32642,1.39742,1.50142,0.71098,0.65078,0.69178,0.4062,1.39209,1.16691,1.58457,0.006535,0.006535,0.006535
30,2899.33,1.31737,1.37681,1.49409,0.72065,0.67065,0.71079,0.42511,1.36986,1.1253,1.56229,0.00641125,0.00641125,0.00641125
31,2994.95,1.31618,1.34056,1.48744,0.74042,0.66292,0.71502,0.4258,1.37006,1.10529,1.56418,0.0062875,0.0062875,0.0062875
32,3090.52,1.31325,1.34481,1.48107,0.75502,0.65559,0.72137,0.43076,1.36513,1.1041,1.56154,0.00616375,0.00616375,0.00616375
33,3186.12,1.29088,1.31979,1.46519,0.7493,0.65454,0.71989,0.43333,1.3544,1.08283,1.55023,0.00604,0.00604,0.00604
34,3283.12,1.2891,1.30886,1.47025,0.73996,0.67775,0.72844,0.43782,1.35105,1.06101,1.54371,0.00591625,0.00591625,0.00591625
35,3380.05,1.27701,1.28444,1.45604,0.74734,0.66716,0.72572,0.44045,1.35666,1.06114,1.55226,0.0057925,0.0057925,0.0057925
36,3475.73,1.2724,1.27285,1.45411,0.75519,0.67626,0.74035,0.44848,1.34156,1.04866,1.53402,0.00566875,0.00566875,0.00566875
37,3571.14,1.25963,1.24738,1.43794,0.75164,0.68209,0.73472,0.44786,1.34016,1.03736,1.53689,0.005545,0.005545,0.005545
38,3666.78,1.25333,1.23318,1.43015,0.75075,0.68666,0.73712,0.44864,1.34553,1.02325,1.53522,0.00542125,0.00542125,0.00542125
39,3762.25,1.24482,1.22004,1.43108,0.76271,0.68342,0.74124,0.45586,1.33447,1.01649,1.53249,0.0052975,0.0052975,0.0052975
40,3857.74,1.23716,1.21143,1.42778,0.77335,0.6842,0.74834,0.45929,1.32735,1.00131,1.52762,0.00517375,0.00517375,0.00517375
41,3953.14,1.23356,1.20058,1.42097,0.76249,0.69731,0.7454,0.459,1.33207,0.9995,1.52778,0.00505,0.00505,0.00505
42,4048.63,1.22483,1.18422,1.4135,0.75815,0.70299,0.75089,0.46404,1.33166,0.98311,1.52752,0.00492625,0.00492625,0.00492625
43,4143.95,1.22433,1.17564,1.41472,0.76852,0.69943,0.7508,0.46527,1.3257,0.98338,1.52477,0.0048025,0.0048025,0.0048025
44,4239.56,1.20188,1.14742,1.39889,0.77655,0.70141,0.75633,0.47019,1.3259,0.96428,1.52251,0.00467875,0.00467875,0.00467875
45,4335.57,1.19539,1.13554,1.39139,0.78345,0.69087,0.75432,0.47057,1.32522,0.96289,1.52161,0.004555,0.004555,0.004555
46,4431.26,1.20381,1.13147,1.4001,0.76827,0.71286,0.76103,0.47325,1.32037,0.95909,1.52032,0.00443125,0.00443125,0.00443125
47,4528.39,1.18797,1.11332,1.39144,0.77167,0.7073,0.76197,0.47311,1.3273,0.94879,1.52384,0.0043075,0.0043075,0.0043075
48,4625.13,1.18326,1.098,1.38163,0.75577,0.71987,0.76173,0.47212,1.32979,0.93763,1.52606,0.00418375,0.00418375,0.00418375
49,4720.71,1.16823,1.08094,1.36927,0.76692,0.71477,0.76443,0.47505,1.32434,0.92718,1.52303,0.00406,0.00406,0.00406
50,4816.46,1.17003,1.07564,1.37092,0.75692,0.72148,0.76218,0.47529,1.32211,0.92702,1.52103,0.00393625,0.00393625,0.00393625
51,4912.34,1.15124,1.04848,1.35947,0.77442,0.71935,0.76442,0.47669,1.32768,0.92102,1.52548,0.0038125,0.0038125,0.0038125
52,5008.71,1.15161,1.05335,1.36018,0.76494,0.72959,0.76765,0.47909,1.32387,0.92193,1.5243,0.00368875,0.00368875,0.00368875
53,5105.31,1.1421,1.02713,1.35092,0.76961,0.72724,0.7692,0.48087,1.3248,0.91957,1.52319,0.003565,0.003565,0.003565
54,5201.79,1.14054,1.02335,1.34488,0.7852,0.71529,0.77158,0.48143,1.32166,0.91528,1.52084,0.00344125,0.00344125,0.00344125
55,5297.95,1.13235,1.00096,1.3434,0.786,0.7145,0.773,0.48283,1.31886,0.90781,1.5209,0.0033175,0.0033175,0.0033175
56,5394.22,1.12119,0.98777,1.33177,0.79386,0.70818,0.77173,0.48327,1.31711,0.90597,1.51846,0.00319375,0.00319375,0.00319375
57,5490.79,1.11279,0.97808,1.32685,0.78443,0.71518,0.7706,0.48197,1.31867,0.90474,1.52399,0.00307,0.00307,0.00307
58,5586.53,1.10828,0.97234,1.32083,0.78746,0.71135,0.77,0.48109,1.32243,0.90718,1.52645,0.00294625,0.00294625,0.00294625
59,5683.07,1.10168,0.95524,1.31177,0.79135,0.71122,0.76889,0.48233,1.32315,0.90638,1.52331,0.0028225,0.0028225,0.0028225
60,5778.67,1.0894,0.94323,1.30411,0.78407,0.71763,0.76983,0.48326,1.32111,0.89883,1.52016,0.00269875,0.00269875,0.00269875
61,5875.35,1.08077,0.92985,1.30357,0.79527,0.70843,0.7697,0.48421,1.3226,0.89621,1.52303,0.002575,0.002575,0.002575
62,5972.59,1.07054,0.9189,1.2995,0.79127,0.72042,0.77206,0.48581,1.32291,0.89334,1.52547,0.00245125,0.00245125,0.00245125
63,6071.01,1.07359,0.91379,1.29155,0.79142,0.72071,0.77307,0.48648,1.32265,0.89079,1.52535,0.0023275,0.0023275,0.0023275
64,6168.28,1.07118,0.89801,1.28647,0.78418,0.7298,0.77462,0.48717,1.32344,0.8875,1.52652,0.00220375,0.00220375,0.00220375
65,6265.24,1.05577,0.89057,1.28051,0.77957,0.73017,0.77417,0.48846,1.32597,0.88652,1.52952,0.00208,0.00208,0.00208
66,6361.04,1.04884,0.8725,1.27617,0.7862,0.72663,0.77386,0.48918,1.32513,0.88737,1.5283,0.00195625,0.00195625,0.00195625
67,6456.7,1.03748,0.87328,1.27515,0.78677,0.72599,0.77427,0.48839,1.32453,0.88634,1.52896,0.0018325,0.0018325,0.0018325
68,6553.41,1.03002,0.84984,1.26641,0.78804,0.72993,0.77479,0.48853,1.32512,0.88353,1.53088,0.00170875,0.00170875,0.00170875
69,6650.75,1.02169,0.84661,1.26155,0.77526,0.74199,0.77389,0.48907,1.32588,0.88131,1.5327,0.001585,0.001585,0.001585
70,6748.19,1.02554,0.84735,1.26348,0.78191,0.73781,0.77453,0.48931,1.32681,0.88005,1.53513,0.00146125,0.00146125,0.00146125
71,6846.73,0.92848,0.57603,1.20325,0.77976,0.73728,0.7736,0.48949,1.32685,0.87677,1.53609,0.0013375,0.0013375,0.0013375
72,6945.5,0.90704,0.55349,1.18631,0.77595,0.74183,0.77315,0.48953,1.32704,0.87384,1.53793,0.00121375,0.00121375,0.00121375
73,7043.98,0.89281,0.53428,1.17859,0.77729,0.73871,0.77267,0.48999,1.32739,0.87179,1.53933,0.00109,0.00109,0.00109
74,7141.55,0.87535,0.52559,1.16545,0.78093,0.73878,0.77295,0.4902,1.32822,0.87125,1.54134,0.00096625,0.00096625,0.00096625
75,7240.41,0.857,0.50445,1.15277,0.79091,0.72896,0.77335,0.49051,1.32898,0.87196,1.54318,0.0008425,0.0008425,0.0008425
76,7337.87,0.8476,0.49439,1.14784,0.79834,0.72551,0.77346,0.49062,1.32906,0.87237,1.54457,0.00071875,0.00071875,0.00071875
77,7436.9,0.83604,0.48718,1.14121,0.8021,0.72328,0.77333,0.49074,1.33074,0.87289,1.54747,0.000595,0.000595,0.000595
78,7536.19,0.82116,0.47352,1.12651,0.80529,0.72322,0.7733,0.49021,1.33244,0.87377,1.55018,0.00047125,0.00047125,0.00047125
79,7633.8,0.81254,0.47146,1.11967,0.80855,0.7242,0.77328,0.48967,1.33349,0.87367,1.55223,0.0003475,0.0003475,0.0003475
80,7730.91,0.80442,0.45999,1.11728,0.80549,0.72654,0.77261,0.48935,1.33447,0.87419,1.55383,0.00022375,0.00022375,0.00022375
