epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.181,2.19489,3.89364,2.19296,0.2276,0.22791,0.16278,0.07323,1.92034,2.7988,2.06558,0.00331852,0.00331852,0.00331852
2,207.209,1.79775,2.66294,1.8572,0.17777,0.17832,0.0999,0.03826,2.17505,4.5105,2.42033,0.00656954,0.00656954,0.00656954
3,314.6,1.92827,2.86625,1.99368,0.06948,0.12601,0.03163,0.01178,2.59433,12.3771,3.1303,0.00973805,0.00973805,0.00973805
4,420.564,1.9814,2.98663,2.08034,0.10947,0.14598,0.05508,0.02039,2.25835,7.03921,2.51872,0.00962875,0.00962875,0.00962875
5,524.724,1.84089,2.72379,1.97177,0.28999,0.22998,0.18958,0.07773,1.97237,2.92597,2.19791,0.009505,0.009505,0.009505
6,628.584,1.7612,2.52977,1.89933,0.34485,0.30474,0.27633,0.13131,1.79859,2.45529,2.00271,0.00938125,0.00938125,0.00938125
7,732.725,1.70584,2.39869,1.84772,0.40915,0.35122,0.32197,0.15048,1.80003,2.23651,2.01138,0.0092575,0.0092575,0.0092575
8,836.866,1.66387,2.32722,1.82116,0.41205,0.32271,0.27763,0.13501,1.76357,2.39411,1.98919,0.00913375,0.00913375,0.00913375
9,940.668,1.62179,2.21282,1.77826,0.4308,0.3996,0.37576,0.18349,1.70093,2.09882,1.93065,0.00901,0.00901,0.00901
10,1044.31,1.60165,2.1405,1.75986,0.47552,0.42246,0.41588,0.21135,1.656,1.92852,1.88109,0.00888625,0.00888625,0.00888625
11,1147.78,1.58067,2.09151,1.73968,0.4938,0.4223,0.42568,0.22059,1.63836,1.87423,1.87335,0.0087625,0.0087625,0.0087625
12,1251.45,1.55315,2.02112,1.72125,0.52795,0.45526,0.46162,0.2429,1.62641,1.84172,1.84204,0.00863875,0.00863875,0.00863875
13,1354.36,1.53142,1.96389,1.69969,0.52889,0.48187,0.4822,0.2558,1.58094,1.74868,1.79312,0.008515,0.008515,0.008515
14,1457.78,1.51831,1.93348,1.68244,0.54601,0.4852,0.49828,0.2639,1.60296,1.70996,1.814,0.00839125,0.00839125,0.00839125
15,1560.86,1.49418,1.88067,1.66959,0.55116,0.48927,0.50123,0.27571,1.524,1.70173,1.74847,0.0082675,0.0082675,0.0082675
16,1663.82,1.48939,1.84237,1.66498,0.60898,0.51055,0.54271,0.29424,1.53923,1.58955,1.74549,0.00814375,0.00814375,0.00814375
17,1766.69,1.46777,1.80839,1.63878,0.57337,0.51514,0.53557,0.28923,1.55504,1.59302,1.78231,0.00802,0.00802,0.00802
18,1869.37,1.44897,1.77486,1.63064,0.63705,0.53775,0.57843,0.32376,1.48375,1.51546,1.71544,0.00789625,0.00789625,0.00789625
19,1972.79,1.45097,1.75413,1.63021,0.60936,0.5542,0.56971,0.31794,1.50573,1.47309,1.71748,0.0077725,0.0077725,0.0077725
20,2075.85,1.43729,1.70688,1.61211,0.64883,0.56886,0.60266,0.34396,1.46179,1.41829,1.67162,0.00764875,0.00764875,0.00764875
21,2178.94,1.42956,1.68277,1.6016,0.62514,0.5702,0.59964,0.34324,1.44721,1.42195,1.66497,0.007525,0.007525,0.007525
22,2282.43,1.41781,1.65467,1.58956,0.64086,0.5976,0.62357,0.35583,1.45282,1.38366,1.65547,0.00740125,0.00740125,0.00740125
23,2385.38,1.40218,1.61372,1.58074,0.68347,0.56697,0.61616,0.3574,1.43651,1.36209,1.65048,0.0072775,0.0072775,0.0072775
24,2489.01,1.3966,1.61258,1.57624,0.67367,0.6002,0.63542,0.36141,1.44486,1.32801,1.65933,0.00715375,0.00715375,0.00715375
