epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.48,1.5523,2.57045,1.68056,0.42127,0.42089,0.38598,0.18963,1.66186,2.10132,1.76814,0.00331852,0.00331852,0.00331852
2,207.359,1.58218,2.03263,1.66589,0.30808,0.32231,0.24892,0.10611,1.95714,2.78643,2.17392,0.00656954,0.00656954,0.00656954
3,323.891,1.84509,2.59302,1.91179,0.01595,0.03648,0.00927,0.00333,2.80719,inf,3.61312,0.00973805,0.00973805,0.00973805
4,426.99,1.94461,2.87283,2.03923,0.14713,0.14793,0.08565,0.03646,2.2689,5.87375,2.55359,0.00962875,0.00962875,0.00962875
5,531.396,1.81543,2.60379,1.94723,0.3196,0.21723,0.17335,0.07456,2.00357,3.58279,2.20268,0.009505,0.009505,0.009505
6,635.577,1.73859,2.44233,1.87346,0.33098,0.32853,0.2873,0.13308,1.83873,2.46539,2.04471,0.00938125,0.00938125,0.00938125
7,740.953,1.69228,2.28961,1.82053,0.42482,0.38318,0.35014,0.16063,1.80253,2.18908,1.99065,0.0092575,0.0092575,0.0092575
8,846.019,1.645,2.20664,1.78357,0.45355,0.37821,0.36682,0.17558,1.75685,2.06501,1.92067,0.00913375,0.00913375,0.00913375
9,950.428,1.60361,2.08881,1.74928,0.46659,0.44801,0.43069,0.21572,1.65827,1.9591,1.85985,0.00901,0.00901,0.00901
10,1056.28,1.57007,2.02383,1.71863,0.50709,0.46592,0.44704,0.2284,1.67842,1.78706,1.89355,0.00888625,0.00888625,0.00888625
11,1161.8,1.55969,1.97328,1.71055,0.51936,0.43947,0.45538,0.24201,1.63684,1.80634,1.85895,0.0087625,0.0087625,0.0087625
12,1267.4,1.52961,1.91914,1.68886,0.54107,0.48328,0.50027,0.27114,1.5633,1.66675,1.77112,0.00863875,0.00863875,0.00863875
13,1373.03,1.50864,1.85486,1.67332,0.52099,0.5174,0.50468,0.26377,1.62544,1.72144,1.81985,0.008515,0.008515,0.008515
14,1478.45,1.50175,1.82396,1.66098,0.58936,0.51122,0.54096,0.29141,1.54273,1.56638,1.7412,0.00839125,0.00839125,0.00839125
15,1584.05,1.47407,1.76698,1.64187,0.58777,0.5165,0.5536,0.30694,1.4972,1.52139,1.7097,0.0082675,0.0082675,0.0082675
16,1687.65,1.46345,1.74256,1.63313,0.61554,0.53463,0.55901,0.30894,1.51357,1.50584,1.70607,0.00814375,0.00814375,0.00814375
17,1791.59,1.4479,1.68637,1.60517,0.63195,0.54981,0.59086,0.32896,1.48789,1.43978,1.68696,0.00802,0.00802,0.00802
18,1897.23,1.43229,1.65869,1.58905,0.63582,0.57457,0.60974,0.34404,1.4753,1.41617,1.67218,0.00789625,0.00789625,0.00789625
19,2001.53,1.43247,1.64456,1.59304,0.65204,0.56243,0.60886,0.3455,1.45859,1.40424,1.67349,0.0077725,0.0077725,0.0077725
20,2106.75,1.41273,1.60879,1.57159,0.65914,0.60507,0.63639,0.365,1.43046,1.30791,1.62111,0.00764875,0.00764875,0.00764875
21,2212.01,1.40678,1.57942,1.56829,0.68845,0.61061,0.65945,0.37295,1.44168,1.29368,1.63188,0.007525,0.007525,0.007525
22,2317.36,1.39158,1.55353,1.55182,0.69266,0.59714,0.6565,0.37802,1.43993,1.31613,1.63982,0.00740125,0.00740125,0.00740125
23,2422.98,1.37784,1.51669,1.54536,0.6841,0.61509,0.65416,0.37491,1.4449,1.27349,1.62293,0.0072775,0.0072775,0.0072775
24,2528.29,1.37527,1.50187,1.53862,0.71122,0.62145,0.66755,0.39024,1.4226,1.24685,1.61915,0.00715375,0.00715375,0.00715375
25,2632.54,1.35656,1.4614,1.52699,0.70342,0.62689,0.66854,0.39298,1.40243,1.23222,1.58868,0.00703,0.00703,0.00703
26,2735.86,1.35292,1.46379,1.51948,0.70576,0.63902,0.68965,0.40292,1.41446,1.18979,1.59204,0.00690625,0.00690625,0.00690625
27,2841.39,1.3345,1.4291,1.50725,0.68662,0.64534,0.68815,0.40561,1.38805,1.1894,1.57934,0.0067825,0.0067825,0.0067825
28,2947.04,1.32893,1.39887,1.50168,0.72664,0.63968,0.70568,0.41772,1.39794,1.15169,1.58878,0.00665875,0.00665875,0.00665875
29,3051.6,1.32141,1.39668,1.50014,0.71818,0.65398,0.7147,0.42752,1.36063,1.13577,1.55471,0.006535,0.006535,0.006535
30,3156.89,1.31823,1.37583,1.48845,0.74645,0.65037,0.71528,0.42939,1.36695,1.11669,1.55302,0.00641125,0.00641125,0.00641125
31,3263.67,1.31609,1.35235,1.49172,0.76224,0.67166,0.72898,0.43337,1.37873,1.09874,1.57044,0.0062875,0.0062875,0.0062875
32,3369.36,1.31082,1.34162,1.48378,0.73022,0.67669,0.73133,0.43986,1.35052,1.08294,1.55283,0.00616375,0.00616375,0.00616375
33,3474.91,1.29248,1.31748,1.46743,0.72996,0.67986,0.72803,0.43911,1.35017,1.08346,1.54594,0.00604,0.00604,0.00604
34,3580.26,1.28618,1.31294,1.46855,0.75414,0.67132,0.73389,0.44434,1.34779,1.06019,1.54179,0.00591625,0.00591625,0.00591625
35,3685.57,1.27116,1.28572,1.45515,0.7341,0.69358,0.73769,0.45012,1.34261,1.05911,1.53656,0.0057925,0.0057925,0.0057925
36,3791.14,1.26619,1.26832,1.45069,0.74633,0.68013,0.73736,0.44972,1.33855,1.04515,1.53566,0.00566875,0.00566875,0.00566875
37,3896.59,1.25438,1.24481,1.43686,0.76075,0.68105,0.74064,0.45323,1.33703,1.03525,1.53638,0.005545,0.005545,0.005545
38,4002.01,1.2532,1.22835,1.42982,0.75758,0.69174,0.74411,0.45361,1.33539,1.0275,1.52906,0.00542125,0.00542125,0.00542125
39,4107.35,1.24693,1.21335,1.43071,0.75476,0.68977,0.74246,0.46133,1.33214,1.01181,1.52803,0.0052975,0.0052975,0.0052975
40,4212.88,1.23137,1.20608,1.42246,0.74777,0.69489,0.74623,0.46463,1.31912,0.99617,1.52284,0.00517375,0.00517375,0.00517375
41,4318.29,1.22809,1.1952,1.42135,0.75722,0.6921,0.74371,0.45918,1.32488,1.01318,1.52719,0.00505,0.00505,0.00505
42,4423.75,1.22149,1.18779,1.41571,0.77403,0.69415,0.75353,0.46277,1.32868,0.98845,1.52886,0.00492625,0.00492625,0.00492625
43,4525.33,1.2213,1.17441,1.41409,0.74067,0.70984,0.74588,0.46101,1.32311,0.9868,1.52898,0.0048025,0.0048025,0.0048025
