epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.7,1.55897,2.53108,1.68146,0.48317,0.47577,0.46426,0.24688,1.58016,1.74249,1.71372,0.00331797,0.00331797,0.00331797
2,204.813,1.57972,2.03322,1.66117,0.29398,0.28165,0.20672,0.08545,2.01514,3.42196,2.2256,0.006569,0.006569,0.006569
3,309.796,1.83202,2.56545,1.90029,0.14785,0.03856,0.01176,0.00333,2.85412,8.3299,3.76223,0.00973752,0.00973752,0.00973752
4,416.549,1.93812,2.86539,2.03696,0.20221,0.18357,0.10447,0.03852,2.11793,6.1743,2.3781,0.00962875,0.00962875,0.00962875
5,521.727,1.82265,2.62635,1.95232,0.31275,0.26414,0.22365,0.09972,1.9132,2.83052,2.15003,0.009505,0.009505,0.009505
6,624.65,1.75124,2.45213,1.89101,0.37488,0.3327,0.29374,0.13807,1.79909,2.41297,2.04373,0.00938125,0.00938125,0.00938125
7,729.44,1.6812,2.28563,1.82883,0.43137,0.38972,0.35961,0.17755,1.7429,2.09485,1.97734,0.0092575,0.0092575,0.0092575
8,834.802,1.64094,2.18932,1.79741,0.46192,0.42508,0.41226,0.20191,1.72245,2.01997,1.92688,0.00913375,0.00913375,0.00913375
9,939.807,1.60919,2.09672,1.75803,0.45136,0.39602,0.37408,0.19039,1.70916,2.06127,1.93023,0.00901,0.00901,0.00901
10,1044.33,1.58045,2.03479,1.73121,0.55433,0.42378,0.44353,0.22327,1.6638,1.88931,1.85274,0.00888625,0.00888625,0.00888625
11,1146.06,1.55357,1.96333,1.70969,0.49871,0.46186,0.44778,0.23193,1.61363,1.84708,1.81343,0.0087625,0.0087625,0.0087625
12,1249.3,1.53451,1.90562,1.68799,0.56857,0.4863,0.5093,0.26706,1.60229,1.7067,1.8081,0.00863875,0.00863875,0.00863875
13,1354.01,1.51371,1.85261,1.67105,0.58747,0.50176,0.52722,0.28699,1.55661,1.6115,1.76863,0.008515,0.008515,0.008515
14,1458.6,1.49806,1.80523,1.65684,0.56945,0.53761,0.54708,0.29084,1.541,1.55604,1.74386,0.00839125,0.00839125,0.00839125
15,1562.56,1.47226,1.77737,1.64035,0.60351,0.53515,0.56221,0.308,1.52788,1.54746,1.73798,0.0082675,0.0082675,0.0082675
16,1666.88,1.45893,1.71876,1.62923,0.64293,0.51579,0.56949,0.3149,1.52137,1.52614,1.71801,0.00814375,0.00814375,0.00814375
17,1773.53,1.44065,1.68696,1.60972,0.62145,0.55787,0.58894,0.32244,1.51112,1.45101,1.71171,0.00802,0.00802,0.00802
18,1878.44,1.42689,1.66253,1.59667,0.64695,0.56232,0.60545,0.33696,1.47458,1.4234,1.68488,0.00789625,0.00789625,0.00789625
19,1982.8,1.42039,1.62878,1.58911,0.62509,0.55327,0.58856,0.3345,1.48878,1.43002,1.68734,0.0077725,0.0077725,0.0077725
20,2087.21,1.41363,1.6052,1.58045,0.66666,0.58804,0.63133,0.35961,1.44845,1.35623,1.64822,0.00764875,0.00764875,0.00764875
21,2191.23,1.3954,1.57803,1.5746,0.69605,0.58757,0.64538,0.37136,1.42997,1.31509,1.63733,0.007525,0.007525,0.007525
22,2295.73,1.38949,1.55113,1.56252,0.67159,0.60205,0.65645,0.37744,1.42407,1.29643,1.62732,0.00740125,0.00740125,0.00740125
23,2400.37,1.38116,1.533,1.55386,0.68665,0.61082,0.66037,0.37789,1.43508,1.28786,1.63673,0.0072775,0.0072775,0.0072775
24,2502.53,1.37381,1.49913,1.55187,0.70503,0.61611,0.67789,0.39278,1.41588,1.24474,1.62359,0.00715375,0.00715375,0.00715375
25,2605.77,1.34499,1.46143,1.52673,0.70366,0.60988,0.67634,0.39768,1.40354,1.22941,1.61715,0.00703,0.00703,0.00703
26,2710.22,1.35211,1.4483,1.52697,0.7072,0.64415,0.69234,0.40621,1.40957,1.20242,1.61895,0.00690625,0.00690625,0.00690625
27,2814.64,1.34137,1.42558,1.5229,0.70791,0.63938,0.69458,0.4088,1.38892,1.19134,1.59942,0.0067825,0.0067825,0.0067825
28,2917.71,1.32393,1.39946,1.51164,0.70409,0.639,0.68948,0.40437,1.39117,1.18553,1.60256,0.00665875,0.00665875,0.00665875
29,3022.13,1.32451,1.40624,1.50732,0.74178,0.62686,0.6996,0.41102,1.37908,1.14941,1.58824,0.006535,0.006535,0.006535
30,3126.4,1.30901,1.37942,1.49526,0.72055,0.65092,0.70176,0.42209,1.35869,1.14483,1.57205,0.00641125,0.00641125,0.00641125
31,3230.73,1.30991,1.35751,1.48828,0.73251,0.67116,0.71884,0.42638,1.38093,1.12159,1.58544,0.0062875,0.0062875,0.0062875
32,3334.74,1.30138,1.33619,1.48169,0.7206,0.66405,0.71669,0.4326,1.35848,1.10339,1.56299,0.00616375,0.00616375,0.00616375
33,3438.82,1.28843,1.30415,1.46662,0.7232,0.67783,0.72197,0.43455,1.36379,1.09672,1.56162,0.00604,0.00604,0.00604
34,3542,1.27519,1.29867,1.46061,0.74141,0.67032,0.72652,0.44004,1.3464,1.08176,1.55339,0.00591625,0.00591625,0.00591625
35,3646.03,1.26548,1.27677,1.45341,0.76266,0.67293,0.7307,0.44405,1.35627,1.06151,1.55632,0.0057925,0.0057925,0.0057925
36,3750.3,1.26958,1.27431,1.45311,0.77115,0.66345,0.73981,0.44835,1.35379,1.04125,1.55475,0.00566875,0.00566875,0.00566875
37,3854.73,1.25695,1.24815,1.44359,0.75223,0.68507,0.74558,0.45364,1.33582,1.02666,1.54348,0.005545,0.005545,0.005545
38,3959.22,1.25362,1.2395,1.44353,0.74093,0.69672,0.74655,0.45778,1.32812,1.02168,1.53676,0.00542125,0.00542125,0.00542125
39,4063.6,1.24278,1.22475,1.43633,0.74772,0.69754,0.7471,0.45844,1.33332,1.01625,1.54652,0.0052975,0.0052975,0.0052975
40,4166.1,1.23149,1.20574,1.42916,0.76135,0.69417,0.74551,0.46054,1.32995,1.01452,1.53404,0.00517375,0.00517375,0.00517375
41,4270.14,1.22326,1.1845,1.42078,0.77983,0.69688,0.75338,0.464,1.32529,0.99602,1.54036,0.00505,0.00505,0.00505
42,4374.51,1.21423,1.17627,1.41405,0.79043,0.69783,0.75902,0.46733,1.32743,0.98637,1.52907,0.00492625,0.00492625,0.00492625
43,4477.78,1.21194,1.16734,1.41103,0.76895,0.70494,0.75827,0.46874,1.32288,0.98321,1.53286,0.0048025,0.0048025,0.0048025
44,4582.41,1.1999,1.14427,1.40449,0.78403,0.69701,0.75852,0.46931,1.32511,0.97264,1.53692,0.00467875,0.00467875,0.00467875
45,4686.12,1.2005,1.13894,1.40208,0.76774,0.7099,0.76013,0.4682,1.32781,0.96623,1.54294,0.004555,0.004555,0.004555
46,4790.76,1.18088,1.11487,1.3891,0.77876,0.71004,0.76093,0.47304,1.31658,0.95774,1.53625,0.00443125,0.00443125,0.00443125
47,4894.96,1.17759,1.10465,1.38579,0.78394,0.71406,0.76845,0.47625,1.32118,0.94141,1.53856,0.0043075,0.0043075,0.0043075
48,4998.24,1.17848,1.08865,1.38498,0.77812,0.71893,0.76581,0.47429,1.32331,0.9397,1.54006,0.00418375,0.00418375,0.00418375
49,5102.3,1.17148,1.06941,1.37833,0.7844,0.71192,0.76648,0.47738,1.32792,0.93873,1.54565,0.00406,0.00406,0.00406
50,5205.47,1.16117,1.06334,1.36994,0.79035,0.71061,0.76946,0.47998,1.32059,0.93256,1.53858,0.00393625,0.00393625,0.00393625
51,5306.44,1.15463,1.04361,1.3613,0.78758,0.71507,0.77326,0.48083,1.31818,0.92373,1.53413,0.0038125,0.0038125,0.0038125
52,5410.25,1.14654,1.03466,1.35718,0.79305,0.71758,0.77381,0.48322,1.31732,0.91881,1.53238,0.00368875,0.00368875,0.00368875
53,5511.6,1.14659,1.03147,1.35573,0.79271,0.71809,0.77319,0.48443,1.31463,0.91657,1.52716,0.003565,0.003565,0.003565
54,5612.28,1.12808,1.01561,1.33959,0.78429,0.71902,0.76976,0.48668,1.30788,0.91126,1.52068,0.00344125,0.00344125,0.00344125
55,5717.13,1.12827,1.00335,1.34511,0.78044,0.72764,0.77195,0.48788,1.30643,0.90962,1.52131,0.0033175,0.0033175,0.0033175
56,5822.12,1.12219,0.99675,1.33918,0.79119,0.72344,0.77349,0.48821,1.31125,0.90974,1.52745,0.00319375,0.00319375,0.00319375
57,5926.01,1.11321,0.9792,1.33218,0.78643,0.72882,0.77308,0.48666,1.31701,0.90611,1.536,0.00307,0.00307,0.00307
58,6030.75,1.10356,0.95849,1.32527,0.78219,0.72735,0.77484,0.48623,1.32486,0.90603,1.54142,0.00294625,0.00294625,0.00294625
59,6134.72,1.10653,0.96219,1.32511,0.78082,0.73049,0.77493,0.48698,1.32074,0.90576,1.53922,0.0028225,0.0028225,0.0028225
60,6239.66,1.09381,0.9431,1.32081,0.76916,0.73528,0.77576,0.48774,1.32009,0.90472,1.53877,0.00269875,0.00269875,0.00269875
61,6343.99,1.07451,0.92853,1.30928,0.78145,0.72447,0.77773,0.48935,1.32058,0.90376,1.53985,0.002575,0.002575,0.002575
62,6446.95,1.07473,0.92089,1.3071,0.80577,0.7165,0.77992,0.48919,1.32255,0.90044,1.54277,0.00245125,0.00245125,0.00245125
63,6550.12,1.07238,0.90449,1.29983,0.78539,0.73128,0.77942,0.48999,1.32372,0.89852,1.54384,0.0023275,0.0023275,0.0023275
64,6652.81,1.06184,0.89457,1.29153,0.79181,0.72914,0.77902,0.49042,1.32377,0.89602,1.54349,0.00220375,0.00220375,0.00220375
65,6758.02,1.04359,0.88642,1.28365,0.79045,0.72708,0.77718,0.48929,1.32426,0.89654,1.54487,0.00208,0.00208,0.00208
66,6862.29,1.04338,0.87675,1.27835,0.80486,0.72505,0.77771,0.48974,1.32826,0.89046,1.54789,0.00195625,0.00195625,0.00195625
67,6966.5,1.03894,0.86549,1.27456,0.80437,0.72561,0.77827,0.48926,1.32987,0.8885,1.5498,0.0018325,0.0018325,0.0018325
68,7070.57,1.01692,0.84604,1.26087,0.80056,0.72645,0.77747,0.48896,1.33165,0.8874,1.55206,0.00170875,0.00170875,0.00170875
69,7175.02,1.02422,0.84887,1.26756,0.80242,0.72758,0.77821,0.48921,1.33327,0.88635,1.55445,0.001585,0.001585,0.001585
70,7279.97,1.00613,0.83182,1.25701,0.80785,0.72559,0.77837,0.48985,1.33416,0.88443,1.55588,0.00146125,0.00146125,0.00146125
71,7386.24,0.92332,0.57453,1.20126,0.80739,0.72274,0.77859,0.4902,1.33571,0.88424,1.55743,0.0013375,0.0013375,0.0013375
72,7492.72,0.90041,0.54735,1.18376,0.80689,0.72514,0.78057,0.49072,1.33528,0.88315,1.55778,0.00121375,0.00121375,0.00121375
73,7599.16,0.8812,0.53026,1.16843,0.8039,0.73057,0.78144,0.49157,1.33644,0.88352,1.55976,0.00109,0.00109,0.00109
74,7705.72,0.86697,0.51258,1.16206,0.80002,0.73097,0.7816,0.4918,1.33667,0.88456,1.56118,0.00096625,0.00096625,0.00096625
75,7811.97,0.85532,0.50698,1.1546,0.80215,0.72881,0.78078,0.49222,1.33888,0.88426,1.56471,0.0008425,0.0008425,0.0008425
76,7917.95,0.84314,0.49423,1.1429,0.79944,0.73076,0.78029,0.49217,1.34051,0.88484,1.56747,0.00071875,0.00071875,0.00071875
77,8024.49,0.8338,0.48262,1.13581,0.7973,0.72879,0.77985,0.49258,1.34019,0.8863,1.56866,0.000595,0.000595,0.000595
78,8130.77,0.81537,0.47238,1.12306,0.79749,0.73189,0.77986,0.49243,1.34109,0.88629,1.57103,0.00047125,0.00047125,0.00047125
79,8237.73,0.80777,0.46476,1.12068,0.79767,0.73071,0.77946,0.49297,1.34145,0.88696,1.57256,0.0003475,0.0003475,0.0003475
80,8345.28,0.80126,0.46166,1.11572,0.79478,0.73119,0.77887,0.4923,1.34175,0.88847,1.57402,0.00022375,0.00022375,0.00022375
