epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.138,1.56012,2.82192,1.69095,0.44697,0.45784,0.4144,0.21374,1.62061,1.88306,1.76103,0.00331903,0.00331903,0.00331903
2,229.545,1.57395,2.02857,1.66512,0.27476,0.23907,0.17482,0.07647,1.97477,4.12298,2.18948,0.00657004,0.00657004,0.00657004
3,347.321,1.84227,2.61975,1.92945,0.05654,0.08988,0.0196,0.00652,2.69723,24.3851,3.36136,0.00973855,0.00973855,0.00973855
4,464.539,1.95286,2.93347,2.06941,0.11386,0.14815,0.06435,0.02453,2.13137,11.7906,2.44004,0.00962875,0.00962875,0.00962875
5,577.326,1.82596,2.65112,1.96845,0.27389,0.22746,0.16174,0.06417,2.03716,3.70038,2.26684,0.009505,0.009505,0.009505
6,686.126,1.75914,2.47386,1.89369,0.36578,0.34336,0.29514,0.13595,1.83541,2.44651,2.04513,0.00938125,0.00938125,0.00938125
7,799.108,1.6876,2.31958,1.83463,0.3915,0.35362,0.31291,0.14975,1.77772,2.31242,2.01043,0.0092575,0.0092575,0.0092575
8,912.697,1.65101,2.23158,1.80998,0.46198,0.38129,0.3822,0.18793,1.73184,2.0515,1.9231,0.00913375,0.00913375,0.00913375
9,1027.21,1.60642,2.12938,1.76564,0.49171,0.42366,0.42499,0.21655,1.66997,1.8899,1.86412,0.00901,0.00901,0.00901
10,1135.69,1.58137,2.04645,1.74052,0.51066,0.46922,0.4637,0.23934,1.6312,1.78412,1.82536,0.00888625,0.00888625,0.00888625
11,1245.68,1.55367,1.97719,1.71505,0.53303,0.47816,0.47696,0.25026,1.6427,1.71158,1.85451,0.0087625,0.0087625,0.0087625
12,1356.76,1.54251,1.92026,1.69806,0.55689,0.49185,0.50433,0.26953,1.58332,1.68345,1.79506,0.00863875,0.00863875,0.00863875
13,1472.29,1.51536,1.86784,1.68616,0.51234,0.5138,0.49814,0.26196,1.58634,1.6808,1.78859,0.008515,0.008515,0.008515
14,1586.36,1.49333,1.83021,1.66545,0.60608,0.50965,0.5394,0.28789,1.58666,1.57895,1.75363,0.00839125,0.00839125,0.00839125
15,1701.9,1.48083,1.78053,1.64985,0.60646,0.5262,0.54829,0.29539,1.54624,1.57748,1.73835,0.0082675,0.0082675,0.0082675
16,1817.41,1.47535,1.76599,1.64321,0.61865,0.5485,0.58117,0.32272,1.52013,1.47896,1.70451,0.00814375,0.00814375,0.00814375
17,1932.95,1.45586,1.70635,1.62295,0.63343,0.54981,0.58228,0.31868,1.53058,1.44724,1.71505,0.00802,0.00802,0.00802
18,2045.16,1.4292,1.66601,1.60603,0.63814,0.571,0.6006,0.33568,1.50872,1.41895,1.6951,0.00789625,0.00789625,0.00789625
19,2160.57,1.43006,1.63462,1.59796,0.64578,0.59227,0.61662,0.34835,1.48877,1.3723,1.66535,0.0077725,0.0077725,0.0077725
20,2270.7,1.41868,1.61787,1.58391,0.66053,0.60012,0.64345,0.37052,1.45705,1.31885,1.64129,0.00764875,0.00764875,0.00764875
21,2379.06,1.40635,1.57681,1.57771,0.69421,0.58,0.64011,0.36436,1.47119,1.32897,1.64765,0.007525,0.007525,0.007525
22,2487.14,1.38171,1.55114,1.55488,0.66524,0.61489,0.65226,0.37131,1.46063,1.2862,1.64294,0.00740125,0.00740125,0.00740125
23,2595.97,1.38785,1.53561,1.56045,0.68294,0.60549,0.65423,0.37746,1.43385,1.27548,1.61452,0.0072775,0.0072775,0.0072775
24,2709.31,1.3666,1.49935,1.54484,0.67045,0.60678,0.65468,0.37944,1.43359,1.26986,1.62696,0.00715375,0.00715375,0.00715375
25,2825.07,1.35941,1.48056,1.54029,0.7163,0.60937,0.67099,0.39453,1.41473,1.21985,1.60655,0.00703,0.00703,0.00703
26,2940.52,1.35219,1.47891,1.53401,0.71251,0.62938,0.6839,0.4046,1.40779,1.19926,1.60657,0.00690625,0.00690625,0.00690625
27,3056.02,1.34095,1.44738,1.52043,0.72586,0.64291,0.69789,0.41092,1.38962,1.17943,1.59035,0.0067825,0.0067825,0.0067825
28,3171.08,1.32837,1.41919,1.5119,0.70873,0.6554,0.70481,0.41378,1.39918,1.14502,1.57965,0.00665875,0.00665875,0.00665875
29,3286.42,1.31813,1.40157,1.50264,0.72622,0.65515,0.7115,0.42334,1.38756,1.12456,1.58456,0.006535,0.006535,0.006535
30,3400.78,1.31565,1.39006,1.50182,0.7161,0.66583,0.71018,0.42601,1.35963,1.12738,1.56021,0.00641125,0.00641125,0.00641125
31,3516.29,1.30627,1.36243,1.4818,0.72852,0.66578,0.7172,0.43046,1.36814,1.10747,1.55335,0.0062875,0.0062875,0.0062875
32,3631.57,1.30816,1.34968,1.48477,0.7279,0.67991,0.72403,0.43759,1.35772,1.08953,1.54824,0.00616375,0.00616375,0.00616375
33,3746.69,1.29262,1.31855,1.47573,0.74322,0.67727,0.72982,0.43729,1.36963,1.07279,1.56336,0.00604,0.00604,0.00604
34,3861.46,1.2901,1.30961,1.47301,0.76059,0.67378,0.7349,0.44834,1.35092,1.06094,1.54428,0.00591625,0.00591625,0.00591625
35,3976.73,1.26878,1.28526,1.45527,0.74612,0.67699,0.73314,0.44687,1.35446,1.04869,1.54267,0.0057925,0.0057925,0.0057925
36,4091.75,1.27451,1.2853,1.46189,0.7528,0.6857,0.74264,0.44957,1.34613,1.03935,1.54117,0.00566875,0.00566875,0.00566875
37,4207.56,1.25587,1.26314,1.44567,0.74612,0.70246,0.74604,0.45539,1.35134,1.02816,1.53913,0.005545,0.005545,0.005545
38,4322.29,1.25597,1.23807,1.44722,0.74719,0.6878,0.73912,0.45255,1.34316,1.01325,1.53462,0.00542125,0.00542125,0.00542125
39,4437.03,1.25138,1.24024,1.44334,0.7577,0.69076,0.74407,0.45637,1.34302,1.00742,1.53657,0.0052975,0.0052975,0.0052975
40,4551.55,1.24963,1.2184,1.4397,0.75135,0.69907,0.74856,0.46014,1.34052,0.99172,1.53342,0.00517375,0.00517375,0.00517375
41,4666.88,1.22721,1.18767,1.42117,0.76682,0.68907,0.74562,0.46219,1.33267,0.99609,1.53013,0.00505,0.00505,0.00505
42,4782.36,1.2291,1.19223,1.42356,0.75667,0.6975,0.74633,0.46024,1.34168,0.98774,1.52945,0.00492625,0.00492625,0.00492625
43,4897.78,1.22637,1.18137,1.41737,0.77307,0.69453,0.7492,0.46177,1.34125,0.98544,1.53305,0.0048025,0.0048025,0.0048025
44,5013.25,1.21022,1.15423,1.40851,0.76218,0.70271,0.75126,0.46437,1.34032,0.97831,1.53002,0.00467875,0.00467875,0.00467875
45,5128.03,1.20792,1.14099,1.40277,0.77731,0.69899,0.7551,0.469,1.33365,0.96996,1.52233,0.004555,0.004555,0.004555
46,5243.61,1.19381,1.12972,1.39076,0.78393,0.69824,0.75907,0.47097,1.33753,0.96115,1.52886,0.00443125,0.00443125,0.00443125
47,5358.83,1.19201,1.13581,1.39262,0.80158,0.69536,0.76471,0.47638,1.33283,0.95281,1.52989,0.0043075,0.0043075,0.0043075
48,5473.6,1.18363,1.10649,1.38811,0.78418,0.70855,0.76663,0.4766,1.3289,0.94703,1.52944,0.00418375,0.00418375,0.00418375
49,5588.82,1.17444,1.08956,1.37949,0.76995,0.71929,0.76803,0.47905,1.3305,0.93454,1.52983,0.00406,0.00406,0.00406
50,5704.53,1.1594,1.07413,1.37669,0.78527,0.70556,0.76509,0.47598,1.33261,0.93921,1.52971,0.00393625,0.00393625,0.00393625
51,5819.85,1.16099,1.06952,1.37025,0.80436,0.70435,0.76611,0.47782,1.33004,0.93191,1.5265,0.0038125,0.0038125,0.0038125
52,5927.96,1.15079,1.04523,1.35974,0.78493,0.71553,0.76743,0.48058,1.32323,0.92499,1.51994,0.00368875,0.00368875,0.00368875
53,6036.03,1.14395,1.03267,1.35751,0.78484,0.71633,0.76522,0.47932,1.32676,0.92118,1.52129,0.003565,0.003565,0.003565
54,6144.11,1.14114,1.01999,1.35111,0.77464,0.72156,0.76491,0.47969,1.3323,0.92422,1.5249,0.00344125,0.00344125,0.00344125
55,6252.13,1.1278,1.01596,1.34579,0.78772,0.70869,0.76484,0.48058,1.33204,0.91815,1.52792,0.0033175,0.0033175,0.0033175
56,6360.39,1.12294,1.0059,1.3393,0.76872,0.7254,0.76679,0.48188,1.32882,0.9117,1.52689,0.00319375,0.00319375,0.00319375
57,6473.68,1.11391,0.98771,1.33365,0.76783,0.72496,0.76784,0.48544,1.32087,0.91166,1.52252,0.00307,0.00307,0.00307
58,6588.54,1.10705,0.97649,1.32454,0.7661,0.72699,0.76867,0.48542,1.31936,0.90811,1.52026,0.00294625,0.00294625,0.00294625
59,6704.04,1.10233,0.96483,1.32491,0.77605,0.71882,0.76985,0.48593,1.31897,0.90266,1.52151,0.0028225,0.0028225,0.0028225
60,6818.52,1.08564,0.94567,1.31228,0.77947,0.71688,0.77049,0.48707,1.31901,0.89889,1.52513,0.00269875,0.00269875,0.00269875
61,6933.88,1.08897,0.94805,1.31339,0.77321,0.71921,0.77132,0.4871,1.32337,0.89739,1.52967,0.002575,0.002575,0.002575
62,7049.32,1.08032,0.92726,1.30213,0.77577,0.72184,0.77283,0.48792,1.32204,0.89277,1.52856,0.00245125,0.00245125,0.00245125
63,7157.46,1.0731,0.92928,1.30246,0.77448,0.72516,0.77459,0.48976,1.31863,0.89029,1.52573,0.0023275,0.0023275,0.0023275
64,7265.5,1.07223,0.90413,1.30054,0.78234,0.72528,0.77498,0.49072,1.3176,0.88747,1.5253,0.00220375,0.00220375,0.00220375
65,7373.58,1.05061,0.88946,1.29051,0.78643,0.72614,0.77457,0.49084,1.31711,0.88837,1.5261,0.00208,0.00208,0.00208
66,7488.68,1.04239,0.88376,1.28109,0.78329,0.72856,0.77518,0.49104,1.31707,0.88486,1.52756,0.00195625,0.00195625,0.00195625
67,7602.19,1.04162,0.877,1.27842,0.78311,0.73197,0.77542,0.49039,1.31595,0.88445,1.52795,0.0018325,0.0018325,0.0018325
68,7717.49,1.02983,0.86018,1.27258,0.78349,0.73003,0.77578,0.49044,1.31536,0.88398,1.52862,0.00170875,0.00170875,0.00170875
