epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.486,1.56485,2.57036,1.70822,0.44855,0.42139,0.39618,0.20531,1.62034,2.02446,1.76377,0.00331903,0.00331903,0.00331903
2,201.538,1.58056,2.02183,1.66506,0.27016,0.30111,0.22366,0.09455,1.99362,3.43211,2.14554,0.00657004,0.00657004,0.00657004
3,308.986,1.841,2.6189,1.92251,0.03255,0.03671,0.01154,0.00414,2.86551,29.9947,3.42441,0.00973855,0.00973855,0.00973855
4,412.162,1.95762,2.92557,2.07431,0.37822,0.15956,0.08375,0.03318,2.13422,5.63923,2.44752,0.00962875,0.00962875,0.00962875
5,515.85,1.82392,2.64919,1.96659,0.30837,0.27612,0.22623,0.09819,1.98113,2.70887,2.22727,0.009505,0.009505,0.009505
6,619.448,1.75377,2.47839,1.89041,0.36296,0.32942,0.29156,0.13889,1.78678,2.72061,2.01069,0.00938125,0.00938125,0.00938125
7,721.56,1.68966,2.31576,1.84024,0.40667,0.35768,0.34084,0.16551,1.74714,2.2102,1.97937,0.0092575,0.0092575,0.0092575
8,824.837,1.65326,2.22306,1.80285,0.44016,0.36583,0.36501,0.17989,1.73143,2.04399,1.9247,0.00913375,0.00913375,0.00913375
9,927.254,1.61311,2.1188,1.7655,0.49861,0.41756,0.4263,0.21654,1.68133,1.91205,1.88622,0.00901,0.00901,0.00901
10,1029.96,1.58714,2.04661,1.74504,0.52456,0.46407,0.46594,0.23462,1.63313,1.77678,1.81848,0.00888625,0.00888625,0.00888625
11,1131.54,1.55178,1.98223,1.71917,0.53079,0.46136,0.47039,0.24377,1.63931,1.78054,1.83117,0.0087625,0.0087625,0.0087625
12,1231.12,1.54008,1.92973,1.70002,0.55899,0.48621,0.48982,0.25942,1.5986,1.74234,1.8148,0.00863875,0.00863875,0.00863875
13,1333.55,1.51576,1.86574,1.68128,0.58819,0.50633,0.52448,0.28275,1.59286,1.61894,1.78315,0.008515,0.008515,0.008515
14,1436.15,1.4932,1.82075,1.66091,0.59574,0.5204,0.54637,0.29287,1.57076,1.57859,1.75526,0.00839125,0.00839125,0.00839125
15,1538.91,1.48267,1.78494,1.64991,0.57353,0.53203,0.52762,0.28086,1.5988,1.60663,1.77086,0.0082675,0.0082675,0.0082675
16,1641.61,1.47624,1.76931,1.64158,0.62653,0.54993,0.58297,0.31939,1.51971,1.4774,1.71206,0.00814375,0.00814375,0.00814375
17,1744.29,1.45729,1.69896,1.61729,0.61586,0.56522,0.58269,0.32068,1.51935,1.44984,1.70083,0.00802,0.00802,0.00802
18,1846.08,1.43182,1.6601,1.60679,0.62612,0.57432,0.60371,0.33672,1.51738,1.40419,1.70874,0.00789625,0.00789625,0.00789625
19,1947.67,1.42834,1.63472,1.59977,0.64614,0.57979,0.6064,0.3449,1.4911,1.38427,1.66941,0.0077725,0.0077725,0.0077725
20,2050.52,1.41897,1.61806,1.58607,0.65009,0.59798,0.63311,0.36302,1.45255,1.33556,1.64737,0.00764875,0.00764875,0.00764875
21,2153.38,1.40406,1.58005,1.58129,0.65907,0.60518,0.64345,0.3692,1.45601,1.30684,1.64482,0.007525,0.007525,0.007525
22,2255.1,1.37644,1.54675,1.55734,0.67855,0.61277,0.66271,0.37921,1.45687,1.28428,1.64125,0.00740125,0.00740125,0.00740125
23,2354.58,1.38868,1.53152,1.56326,0.6593,0.61358,0.64588,0.36963,1.43805,1.29534,1.62832,0.0072775,0.0072775,0.0072775
24,2456.01,1.37171,1.49938,1.5513,0.69043,0.61331,0.66176,0.38332,1.42087,1.25828,1.61705,0.00715375,0.00715375,0.00715375
25,2558.83,1.35883,1.48304,1.53959,0.68014,0.64324,0.66989,0.39016,1.40676,1.23837,1.60003,0.00703,0.00703,0.00703
26,2661.29,1.35718,1.47639,1.53538,0.72206,0.63146,0.68853,0.40365,1.40559,1.19771,1.59201,0.00690625,0.00690625,0.00690625
27,2764.29,1.34019,1.43788,1.52246,0.71548,0.6454,0.69389,0.41083,1.40599,1.16022,1.59915,0.0067825,0.0067825,0.0067825
28,2865.91,1.32617,1.41051,1.51466,0.71488,0.64004,0.69176,0.40951,1.39616,1.1702,1.58576,0.00665875,0.00665875,0.00665875
29,2968.49,1.31694,1.39938,1.50633,0.70858,0.65421,0.70629,0.42042,1.3846,1.14404,1.58352,0.006535,0.006535,0.006535
30,3070.89,1.31812,1.38245,1.50534,0.71771,0.66282,0.71141,0.42309,1.37174,1.13051,1.56513,0.00641125,0.00641125,0.00641125
31,3173.76,1.30685,1.35639,1.48809,0.73284,0.65922,0.716,0.43207,1.37645,1.09204,1.56137,0.0062875,0.0062875,0.0062875
32,3276.37,1.30864,1.34925,1.49071,0.73366,0.66286,0.71379,0.42674,1.36584,1.10293,1.56245,0.00616375,0.00616375,0.00616375
