epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.832,1.56808,2.74342,1.70052,0.51378,0.42959,0.44188,0.23269,1.58144,1.93414,1.71761,0.00331903,0.00331903,0.00331903
2,214.983,1.57993,2.03291,1.66431,0.29782,0.2884,0.21275,0.09122,1.97311,3.48215,2.14141,0.00657004,0.00657004,0.00657004
3,332.582,1.8484,2.59492,1.91536,0.01275,0.07741,0.00691,0.00315,2.74508,inf,3.21761,0.00973855,0.00973855,0.00973855
4,440.736,1.9485,2.91369,2.05806,0.14978,0.13324,0.06639,0.02598,2.20302,7.45831,2.50508,0.00962875,0.00962875,0.00962875
5,548.9,1.82543,2.64251,1.95523,0.30252,0.2308,0.18537,0.08074,1.98323,3.23892,2.22314,0.009505,0.009505,0.009505
6,656.465,1.75074,2.47173,1.88302,0.3593,0.30102,0.25771,0.11784,1.88726,2.75881,2.08004,0.00938125,0.00938125,0.00938125
7,764.696,1.69425,2.31787,1.83631,0.36791,0.37295,0.30708,0.14416,1.7956,2.32611,1.98842,0.0092575,0.0092575,0.0092575
8,871.78,1.64604,2.22714,1.79728,0.45162,0.37065,0.37595,0.18545,1.73092,2.13823,1.94051,0.00913375,0.00913375,0.00913375
9,980.859,1.60908,2.13494,1.76639,0.43963,0.41923,0.38872,0.19897,1.68678,1.99201,1.90165,0.00901,0.00901,0.00901
10,1089.49,1.58573,2.05576,1.74675,0.48835,0.43149,0.43052,0.22397,1.65648,1.85811,1.84937,0.00888625,0.00888625,0.00888625
11,1197.37,1.55195,1.97256,1.71251,0.53943,0.46057,0.46976,0.23958,1.65339,1.78478,1.85389,0.0087625,0.0087625,0.0087625
12,1305.51,1.54367,1.93076,1.70645,0.53808,0.45069,0.46768,0.24674,1.61701,1.78719,1.8469,0.00863875,0.00863875,0.00863875
13,1412.49,1.51304,1.86493,1.67914,0.52114,0.53164,0.50928,0.2726,1.56579,1.65545,1.75739,0.008515,0.008515,0.008515
14,1520.21,1.49104,1.83275,1.65608,0.58925,0.51524,0.53663,0.28643,1.5817,1.57725,1.76428,0.00839125,0.00839125,0.00839125
15,1627.07,1.48178,1.79563,1.65067,0.60419,0.53378,0.56237,0.31012,1.53116,1.54986,1.72457,0.0082675,0.0082675,0.0082675
16,1732.51,1.47387,1.7669,1.63865,0.63128,0.52641,0.5679,0.31095,1.52384,1.52488,1.71086,0.00814375,0.00814375,0.00814375
17,1839.94,1.45398,1.71037,1.61799,0.62646,0.54265,0.58518,0.32218,1.52398,1.4607,1.71457,0.00802,0.00802,0.00802
18,1946.77,1.42703,1.66752,1.60305,0.6404,0.55525,0.59609,0.33646,1.4864,1.42198,1.68733,0.00789625,0.00789625,0.00789625
19,2053.56,1.42302,1.64034,1.59868,0.66146,0.56561,0.61156,0.34467,1.4748,1.40131,1.68012,0.0077725,0.0077725,0.0077725
20,2158.9,1.41413,1.61933,1.58317,0.66959,0.5997,0.64307,0.36655,1.46351,1.3316,1.65035,0.00764875,0.00764875,0.00764875
21,2262.61,1.39847,1.57164,1.57315,0.68548,0.60075,0.64715,0.36856,1.45783,1.31211,1.6417,0.007525,0.007525,0.007525
22,2369.79,1.3773,1.54288,1.55697,0.69306,0.61035,0.65958,0.37806,1.44252,1.29557,1.61963,0.00740125,0.00740125,0.00740125
23,2473.39,1.39101,1.53726,1.56317,0.66072,0.60803,0.64005,0.37467,1.42502,1.29746,1.6083,0.0072775,0.0072775,0.0072775
24,2578.26,1.36757,1.50889,1.54838,0.67524,0.61232,0.65753,0.38513,1.4154,1.26667,1.60219,0.00715375,0.00715375,0.00715375
25,2687.39,1.35801,1.47918,1.54252,0.69302,0.62394,0.66942,0.39296,1.41959,1.23013,1.60418,0.00703,0.00703,0.00703
26,2794.9,1.35666,1.47308,1.53589,0.73331,0.61993,0.6882,0.40118,1.40932,1.19425,1.60572,0.00690625,0.00690625,0.00690625
27,2903.27,1.34083,1.43631,1.52333,0.73131,0.6308,0.69259,0.4093,1.39135,1.18204,1.57829,0.0067825,0.0067825,0.0067825
28,3009.74,1.32489,1.41359,1.51241,0.74035,0.63468,0.69864,0.41559,1.3884,1.14907,1.58239,0.00665875,0.00665875,0.00665875
29,3118.72,1.31082,1.3988,1.49998,0.73438,0.65036,0.70754,0.42087,1.38399,1.14391,1.58609,0.006535,0.006535,0.006535
30,3227.31,1.31576,1.37993,1.5041,0.74563,0.64797,0.70693,0.42373,1.37624,1.13622,1.57158,0.00641125,0.00641125,0.00641125
31,3335.76,1.30711,1.35285,1.48591,0.7238,0.65973,0.70877,0.43027,1.36953,1.12288,1.55343,0.0062875,0.0062875,0.0062875
32,3444.13,1.30671,1.35191,1.48761,0.74898,0.66853,0.72034,0.43675,1.35919,1.09398,1.55641,0.00616375,0.00616375,0.00616375
33,3552.91,1.28923,1.3181,1.47507,0.75793,0.66889,0.72844,0.43792,1.36555,1.07882,1.5557,0.00604,0.00604,0.00604
34,3661.48,1.28705,1.30072,1.47891,0.75541,0.66506,0.72183,0.43808,1.36824,1.07339,1.55525,0.00591625,0.00591625,0.00591625
35,3770.06,1.27149,1.28873,1.46471,0.75309,0.68238,0.7355,0.44935,1.34846,1.04901,1.54824,0.0057925,0.0057925,0.0057925
36,3875.81,1.27163,1.28172,1.46621,0.76541,0.67194,0.74065,0.44784,1.35852,1.03699,1.54611,0.00566875,0.00566875,0.00566875
37,3979.61,1.25526,1.25866,1.44478,0.76216,0.68617,0.74136,0.45313,1.33403,1.02959,1.52628,0.005545,0.005545,0.005545
38,4087.29,1.24732,1.23291,1.4467,0.7709,0.68578,0.73951,0.45249,1.33944,1.02755,1.53727,0.00542125,0.00542125,0.00542125
39,4195.92,1.25106,1.23743,1.44359,0.77599,0.68104,0.74029,0.45622,1.33996,1.00558,1.53282,0.0052975,0.0052975,0.0052975
40,4304.36,1.24529,1.21182,1.43478,0.76284,0.69217,0.74237,0.4555,1.3366,1.00519,1.53258,0.00517375,0.00517375,0.00517375
41,4412.75,1.22724,1.188,1.42459,0.77251,0.68993,0.74716,0.46278,1.3306,0.99054,1.52872,0.00505,0.00505,0.00505
42,4520.11,1.22701,1.18232,1.42392,0.7762,0.69007,0.75048,0.4651,1.32163,0.97611,1.51983,0.00492625,0.00492625,0.00492625
43,4628.39,1.22095,1.17056,1.42025,0.77117,0.69646,0.75064,0.46654,1.31312,0.97553,1.5186,0.0048025,0.0048025,0.0048025
44,4736.21,1.209,1.14613,1.41382,0.78006,0.70337,0.75734,0.47101,1.31735,0.96124,1.52316,0.00467875,0.00467875,0.00467875
45,4843.5,1.20174,1.14198,1.40273,0.77648,0.71263,0.76143,0.47304,1.31455,0.95852,1.51718,0.004555,0.004555,0.004555
46,4950.38,1.1954,1.12978,1.3968,0.76934,0.71455,0.76122,0.47431,1.31307,0.95072,1.51435,0.00443125,0.00443125,0.00443125
47,5057.64,1.19095,1.12009,1.39467,0.79142,0.70674,0.76491,0.47684,1.31281,0.94607,1.51417,0.0043075,0.0043075,0.0043075
48,5165.62,1.18157,1.10467,1.38921,0.77108,0.72143,0.76418,0.4769,1.31226,0.94145,1.51631,0.00418375,0.00418375,0.00418375
49,5273.03,1.17339,1.07881,1.38137,0.76497,0.72586,0.76498,0.47891,1.31449,0.93139,1.51288,0.00406,0.00406,0.00406
50,5381.18,1.16398,1.06211,1.37694,0.77737,0.71797,0.76786,0.47994,1.31454,0.91718,1.51373,0.00393625,0.00393625,0.00393625
51,5487.61,1.15977,1.06615,1.36796,0.79111,0.7151,0.76823,0.48147,1.31262,0.91413,1.5115,0.0038125,0.0038125,0.0038125
52,5595.72,1.15366,1.04068,1.36321,0.78655,0.71501,0.77043,0.48265,1.31425,0.9049,1.5107,0.00368875,0.00368875,0.00368875
53,5704.66,1.14154,1.03089,1.3593,0.7624,0.73873,0.77119,0.48336,1.3144,0.90564,1.51374,0.003565,0.003565,0.003565
54,5813.07,1.14015,1.02131,1.34997,0.78065,0.72896,0.77362,0.48334,1.31594,0.90525,1.51723,0.00344125,0.00344125,0.00344125
55,5920.07,1.12914,1.00657,1.34707,0.7788,0.72783,0.77379,0.48361,1.31851,0.90599,1.52053,0.0033175,0.0033175,0.0033175
56,6028.45,1.12412,0.99881,1.34159,0.79245,0.7202,0.77446,0.48395,1.31884,0.90195,1.52029,0.00319375,0.00319375,0.00319375
57,6136.79,1.10902,0.97618,1.32915,0.78768,0.71941,0.77388,0.48394,1.31594,0.90136,1.51991,0.00307,0.00307,0.00307
58,6244.83,1.10756,0.96903,1.32855,0.78495,0.72525,0.77374,0.48627,1.31389,0.89463,1.51915,0.00294625,0.00294625,0.00294625
59,6351.32,1.10199,0.95721,1.32424,0.79022,0.72152,0.77406,0.48625,1.3147,0.89302,1.52109,0.0028225,0.0028225,0.0028225
60,6459.73,1.08971,0.9356,1.31099,0.78967,0.72598,0.77389,0.48713,1.31628,0.8895,1.52474,0.00269875,0.00269875,0.00269875
61,6567.38,1.08353,0.94384,1.3108,0.78155,0.72784,0.77458,0.48853,1.31759,0.88861,1.52602,0.002575,0.002575,0.002575
62,6676.01,1.08431,0.92442,1.30857,0.79146,0.71972,0.77497,0.4885,1.3195,0.88634,1.52906,0.00245125,0.00245125,0.00245125
63,6784.7,1.0729,0.92499,1.30239,0.78642,0.725,0.77532,0.4878,1.32078,0.88673,1.53036,0.0023275,0.0023275,0.0023275
64,6893.36,1.06552,0.89447,1.29889,0.78382,0.73076,0.77579,0.48879,1.3213,0.88518,1.53044,0.00220375,0.00220375,0.00220375
65,7002.07,1.05484,0.8887,1.2902,0.78903,0.73105,0.77583,0.4889,1.32092,0.88286,1.53049,0.00208,0.00208,0.00208
66,7110.49,1.04321,0.87836,1.27999,0.79394,0.72579,0.7751,0.48944,1.32135,0.8806,1.53067,0.00195625,0.00195625,0.00195625
67,7219.99,1.04238,0.86647,1.28233,0.79356,0.72475,0.77515,0.48948,1.32336,0.87861,1.53291,0.0018325,0.0018325,0.0018325
68,7328.7,1.03038,0.85646,1.27315,0.7961,0.72375,0.77477,0.48969,1.32258,0.87745,1.5327,0.00170875,0.00170875,0.00170875
69,7437.46,1.02727,0.84634,1.27007,0.79693,0.72321,0.77579,0.49058,1.32277,0.87654,1.53304,0.001585,0.001585,0.001585
70,7546.02,1.02036,0.83914,1.2646,0.79626,0.72191,0.7753,0.49101,1.32379,0.87583,1.53372,0.00146125,0.00146125,0.00146125
71,7655.67,0.92763,0.57682,1.2075,0.79674,0.72359,0.77587,0.49153,1.32434,0.87361,1.53361,0.0013375,0.0013375,0.0013375
72,7766.3,0.90469,0.54961,1.19288,0.78804,0.73009,0.77593,0.4915,1.32491,0.87348,1.53452,0.00121375,0.00121375,0.00121375
73,7876.34,0.89022,0.53815,1.18206,0.7946,0.72577,0.77585,0.49236,1.32613,0.873,1.53703,0.00109,0.00109,0.00109
74,7986.83,0.87829,0.51862,1.17557,0.79288,0.72625,0.77599,0.49254,1.32627,0.87298,1.53888,0.00096625,0.00096625,0.00096625
75,8097.35,0.86553,0.50886,1.16417,0.79542,0.72514,0.77439,0.49171,1.32771,0.87269,1.54109,0.0008425,0.0008425,0.0008425
76,8207.64,0.85232,0.49623,1.15432,0.79529,0.72553,0.77458,0.4914,1.32874,0.87309,1.54319,0.00071875,0.00071875,0.00071875
77,8317.48,0.841,0.48615,1.14305,0.7957,0.72399,0.7745,0.49158,1.32924,0.87354,1.54429,0.000595,0.000595,0.000595
78,8427.81,0.82869,0.47639,1.13173,0.79363,0.72513,0.77407,0.49144,1.33062,0.87418,1.54641,0.00047125,0.00047125,0.00047125
79,8537.65,0.82192,0.47092,1.12872,0.79668,0.72407,0.77339,0.49096,1.33148,0.87448,1.54839,0.0003475,0.0003475,0.0003475
80,8648.03,0.80749,0.46147,1.12231,0.79721,0.72365,0.77365,0.4915,1.33248,0.87548,1.54988,0.00022375,0.00022375,0.00022375
