epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.911,1.55669,2.52,1.68806,0.47718,0.40359,0.41388,0.21513,1.62882,2.05073,1.79757,0.00331797,0.00331797,0.00331797
2,210.837,1.56976,2.0262,1.6587,0.35037,0.30578,0.24327,0.10718,1.90929,3.39067,2.11325,0.006569,0.006569,0.006569
3,317.572,1.83237,2.56253,1.90679,0.03818,0.15388,0.01983,0.00676,2.73651,13.6727,3.83523,0.00973752,0.00973752,0.00973752
4,424.582,1.94603,2.90025,2.06184,0.14375,0.13903,0.06655,0.02557,2.38591,5.12362,2.74084,0.00962875,0.00962875,0.00962875
5,530.314,1.82556,2.63792,1.95823,0.2651,0.25667,0.18737,0.08085,1.97502,2.97632,2.24744,0.009505,0.009505,0.009505
6,636.145,1.75415,2.46763,1.89622,0.35395,0.24521,0.19265,0.08224,1.97176,2.82743,2.26363,0.00938125,0.00938125,0.00938125
7,741.871,1.6805,2.29494,1.82588,0.52375,0.39203,0.38456,0.18723,1.71673,2.1396,1.96578,0.0092575,0.0092575,0.0092575
8,847.334,1.63816,2.19341,1.79696,0.44325,0.4226,0.39831,0.19926,1.71969,1.99105,1.95055,0.00913375,0.00913375,0.00913375
9,952.536,1.60904,2.08744,1.75191,0.53577,0.42292,0.4341,0.22118,1.66048,1.84613,1.873,0.00901,0.00901,0.00901
10,1058.14,1.58186,2.03836,1.73573,0.51869,0.44247,0.43868,0.22194,1.63771,1.85406,1.85228,0.00888625,0.00888625,0.00888625
11,1159.51,1.55228,1.9545,1.71162,0.53616,0.472,0.47871,0.25345,1.59559,1.73289,1.81122,0.0087625,0.0087625,0.0087625
12,1261.15,1.53552,1.90932,1.69721,0.57546,0.50331,0.51162,0.26869,1.57641,1.68616,1.79141,0.00863875,0.00863875,0.00863875
13,1366.72,1.51954,1.86058,1.67858,0.54364,0.52044,0.51921,0.27262,1.57278,1.63308,1.7938,0.008515,0.008515,0.008515
14,1472.38,1.50011,1.81153,1.66599,0.52949,0.49441,0.4911,0.26712,1.55154,1.6618,1.76932,0.00839125,0.00839125,0.00839125
15,1577.97,1.48032,1.77637,1.64613,0.57365,0.54483,0.55023,0.29954,1.53015,1.54516,1.74609,0.0082675,0.0082675,0.0082675
16,1683.32,1.4478,1.72224,1.62649,0.61098,0.5534,0.57896,0.31804,1.51474,1.51155,1.72565,0.00814375,0.00814375,0.00814375
17,1788.52,1.44389,1.69144,1.61349,0.63823,0.53153,0.57938,0.32739,1.49598,1.45542,1.69083,0.00802,0.00802,0.00802
18,1894.09,1.43081,1.66108,1.60351,0.6557,0.55197,0.59478,0.33179,1.49452,1.42334,1.71014,0.00789625,0.00789625,0.00789625
19,1999.2,1.42082,1.63747,1.59663,0.63267,0.58799,0.60735,0.34396,1.47817,1.38289,1.67674,0.0077725,0.0077725,0.0077725
20,2104.46,1.41442,1.60591,1.58387,0.67333,0.58919,0.63788,0.36339,1.44306,1.33711,1.65203,0.00764875,0.00764875,0.00764875
21,2209.94,1.39632,1.57228,1.57399,0.69423,0.58465,0.64518,0.36548,1.46078,1.3229,1.6631,0.007525,0.007525,0.007525
22,2313.08,1.38993,1.54672,1.56432,0.69677,0.59375,0.64674,0.3755,1.42037,1.31477,1.62373,0.00740125,0.00740125,0.00740125
23,2417.82,1.38347,1.5345,1.55799,0.71638,0.59876,0.66406,0.38528,1.42323,1.26422,1.62779,0.0072775,0.0072775,0.0072775
24,2522.97,1.37637,1.49929,1.55084,0.7205,0.61192,0.67217,0.38576,1.44213,1.26213,1.64016,0.00715375,0.00715375,0.00715375
25,2628.16,1.34374,1.46203,1.52804,0.69969,0.61676,0.66525,0.38378,1.41999,1.23948,1.62911,0.00703,0.00703,0.00703
26,2733.55,1.35392,1.45378,1.52794,0.70842,0.63141,0.68221,0.40452,1.40067,1.20679,1.60126,0.00690625,0.00690625,0.00690625
27,2839,1.34363,1.4234,1.51845,0.71959,0.64342,0.6946,0.40883,1.39614,1.18533,1.59249,0.0067825,0.0067825,0.0067825
28,2944.46,1.32622,1.40117,1.50767,0.71369,0.6345,0.68326,0.40285,1.40172,1.19945,1.60354,0.00665875,0.00665875,0.00665875
29,3048.19,1.32611,1.39849,1.50822,0.72096,0.64998,0.69293,0.40983,1.39181,1.15171,1.59376,0.006535,0.006535,0.006535
30,3153.65,1.30919,1.36919,1.49535,0.72512,0.65321,0.70523,0.42169,1.38229,1.12686,1.57605,0.00641125,0.00641125,0.00641125
31,3258.99,1.30742,1.35109,1.48724,0.74079,0.66128,0.72097,0.43242,1.37766,1.10117,1.57917,0.0062875,0.0062875,0.0062875
32,3364.34,1.29801,1.3397,1.47921,0.73246,0.66633,0.71741,0.4326,1.35528,1.10097,1.56111,0.00616375,0.00616375,0.00616375
33,3469.61,1.2858,1.30731,1.4677,0.72247,0.68143,0.71852,0.43258,1.35946,1.08591,1.56259,0.00604,0.00604,0.00604
34,3574.38,1.27434,1.29696,1.45928,0.7513,0.6636,0.72715,0.43911,1.34838,1.0743,1.55461,0.00591625,0.00591625,0.00591625
35,3679.8,1.26751,1.27835,1.45682,0.73441,0.69151,0.73099,0.44292,1.35697,1.04637,1.55873,0.0057925,0.0057925,0.0057925
36,3785.06,1.27027,1.27478,1.45675,0.74258,0.6768,0.72644,0.43911,1.35121,1.05528,1.56131,0.00566875,0.00566875,0.00566875
37,3890.78,1.26108,1.25176,1.44774,0.7498,0.68784,0.73984,0.45057,1.34308,1.03521,1.55446,0.005545,0.005545,0.005545
38,3996.25,1.2483,1.23855,1.44127,0.75676,0.69598,0.75017,0.45941,1.33284,1.01778,1.54623,0.00542125,0.00542125,0.00542125
39,4101.69,1.24121,1.23051,1.43534,0.76205,0.69821,0.74534,0.45504,1.33703,1.02046,1.55075,0.0052975,0.0052975,0.0052975
40,4203.52,1.23472,1.2059,1.43055,0.76481,0.69654,0.74814,0.45849,1.32545,1.01097,1.53033,0.00517375,0.00517375,0.00517375
41,4308.67,1.2233,1.17911,1.41615,0.76652,0.70769,0.75553,0.46731,1.32695,1.00021,1.53429,0.00505,0.00505,0.00505
42,4412.84,1.21652,1.18104,1.41546,0.74266,0.71719,0.75023,0.46402,1.3215,0.98444,1.52761,0.00492625,0.00492625,0.00492625
43,4518,1.21861,1.17481,1.41347,0.76658,0.68716,0.74561,0.46332,1.31806,0.99126,1.52439,0.0048025,0.0048025,0.0048025
44,4622.9,1.20195,1.14664,1.40328,0.7592,0.70105,0.75308,0.46698,1.32445,0.97656,1.53379,0.00467875,0.00467875,0.00467875
45,4727.92,1.19891,1.13627,1.39592,0.76491,0.70577,0.75568,0.46872,1.32238,0.96144,1.53172,0.004555,0.004555,0.004555
46,4833.28,1.18939,1.11943,1.38595,0.77914,0.69907,0.75631,0.47026,1.31477,0.95278,1.521,0.00443125,0.00443125,0.00443125
47,4938.53,1.18375,1.10051,1.38512,0.76498,0.7094,0.76125,0.47419,1.31511,0.94344,1.52664,0.0043075,0.0043075,0.0043075
48,5043.77,1.17954,1.09269,1.3853,0.76382,0.71049,0.75873,0.47062,1.32618,0.94528,1.53595,0.00418375,0.00418375,0.00418375
49,5148.97,1.17184,1.07371,1.37798,0.77514,0.71466,0.76566,0.47615,1.32151,0.94236,1.53663,0.00406,0.00406,0.00406
50,5254.05,1.1632,1.0654,1.37219,0.76793,0.72093,0.76688,0.47795,1.31951,0.93707,1.53651,0.00393625,0.00393625,0.00393625
51,5359.09,1.15843,1.04874,1.36522,0.78382,0.72045,0.77139,0.47917,1.32074,0.92733,1.53543,0.0038125,0.0038125,0.0038125
52,5460.9,1.15307,1.03792,1.36297,0.77562,0.71529,0.76808,0.47734,1.31882,0.92311,1.5322,0.00368875,0.00368875,0.00368875
53,5565.98,1.15082,1.03825,1.35847,0.76772,0.72779,0.76853,0.48017,1.31736,0.91815,1.5279,0.003565,0.003565,0.003565
54,5671.13,1.13279,1.01806,1.34131,0.77997,0.71694,0.7684,0.48227,1.31365,0.91496,1.52327,0.00344125,0.00344125,0.00344125
55,5776.39,1.13317,1.00026,1.34699,0.77173,0.72903,0.76935,0.48302,1.31579,0.91172,1.52556,0.0033175,0.0033175,0.0033175
56,5881.46,1.12692,1.00089,1.33842,0.78641,0.71728,0.76823,0.48482,1.3153,0.90767,1.52708,0.00319375,0.00319375,0.00319375
57,5986.51,1.11393,0.98065,1.33295,0.79008,0.71857,0.76942,0.48559,1.31226,0.90439,1.52616,0.00307,0.00307,0.00307
58,6091.19,1.10777,0.96421,1.32554,0.80298,0.71381,0.76959,0.48455,1.31397,0.90111,1.52765,0.00294625,0.00294625,0.00294625
59,6196.49,1.11013,0.96243,1.32435,0.79446,0.71653,0.77011,0.48568,1.31459,0.90043,1.52958,0.0028225,0.0028225,0.0028225
60,6299.96,1.09748,0.94899,1.31714,0.78786,0.72194,0.77239,0.48549,1.3178,0.89762,1.53282,0.00269875,0.00269875,0.00269875
61,6405.2,1.07761,0.92811,1.30479,0.78576,0.72562,0.77248,0.48559,1.31725,0.89881,1.53395,0.002575,0.002575,0.002575
62,6510.42,1.0784,0.92287,1.30349,0.77959,0.72798,0.77281,0.48698,1.31806,0.89316,1.5351,0.00245125,0.00245125,0.00245125
63,6615.27,1.07449,0.9075,1.30061,0.77424,0.73416,0.77192,0.48815,1.31695,0.89053,1.53487,0.0023275,0.0023275,0.0023275
64,6720.15,1.06631,0.89656,1.29522,0.77366,0.73655,0.7716,0.48822,1.31759,0.88969,1.53644,0.00220375,0.00220375,0.00220375
65,6824.91,1.0483,0.89195,1.28265,0.7831,0.7377,0.77241,0.48812,1.31659,0.8914,1.5361,0.00208,0.00208,0.00208
66,6929.74,1.04754,0.87892,1.28014,0.78183,0.74004,0.77234,0.48796,1.31857,0.88925,1.53781,0.00195625,0.00195625,0.00195625
67,7034.93,1.04038,0.87002,1.27569,0.78148,0.73526,0.77176,0.48817,1.32031,0.88863,1.5392,0.0018325,0.0018325,0.0018325
68,7139.19,1.02006,0.84838,1.26284,0.78187,0.73417,0.77286,0.48855,1.32203,0.89003,1.54156,0.00170875,0.00170875,0.00170875
69,7243.47,1.02861,0.85023,1.26561,0.77583,0.73777,0.77263,0.48885,1.32232,0.8889,1.54214,0.001585,0.001585,0.001585
70,7348.48,1.01141,0.83545,1.25859,0.783,0.73284,0.77245,0.48949,1.32399,0.88772,1.5449,0.00146125,0.00146125,0.00146125
71,7456.17,0.92271,0.57021,1.19997,0.78379,0.73342,0.77266,0.48977,1.32631,0.88613,1.54757,0.0013375,0.0013375,0.0013375
