epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.748,1.55752,2.52961,1.68862,0.47685,0.45439,0.42938,0.22474,1.63174,1.86726,1.75009,0.00331903,0.00331903,0.00331903
2,211.206,1.58019,2.02875,1.66345,0.22562,0.25386,0.16111,0.06817,2.03293,4.85796,2.28946,0.00657004,0.00657004,0.00657004
3,322.762,1.84444,2.60698,1.91994,0.0239,0.20324,0.02043,0.00762,2.58055,44.8334,3.35469,0.00973855,0.00973855,0.00973855
4,428.868,1.9535,2.93475,2.07929,0.40886,0.16426,0.09744,0.04148,2.08983,7.22793,2.38613,0.00962875,0.00962875,0.00962875
5,530.507,1.82928,2.65217,1.9597,0.31481,0.27583,0.20625,0.08685,1.97147,2.87812,2.21576,0.009505,0.009505,0.009505
6,636.667,1.75487,2.47504,1.88774,0.33083,0.27881,0.23592,0.10917,1.87552,2.6593,2.08779,0.00938125,0.00938125,0.00938125
7,742.079,1.68642,2.32063,1.83752,0.34904,0.35864,0.3066,0.14389,1.82026,2.29734,2.01764,0.0092575,0.0092575,0.0092575
8,847.045,1.65103,2.22852,1.80145,0.4677,0.40202,0.38475,0.19131,1.70395,2.02959,1.92055,0.00913375,0.00913375,0.00913375
9,952.31,1.60763,2.12623,1.76242,0.54818,0.41548,0.4264,0.21284,1.69168,1.89247,1.8836,0.00901,0.00901,0.00901
10,1057.69,1.58186,2.04918,1.74116,0.47507,0.43536,0.41276,0.20229,1.72525,1.9262,1.89327,0.00888625,0.00888625,0.00888625
11,1163.04,1.55519,1.97245,1.70968,0.54493,0.48179,0.49083,0.25399,1.64388,1.71728,1.83048,0.0087625,0.0087625,0.0087625
12,1268.44,1.5439,1.92631,1.70343,0.59149,0.4736,0.49639,0.26733,1.59452,1.71796,1.80711,0.00863875,0.00863875,0.00863875
13,1373.97,1.51418,1.86826,1.67837,0.50709,0.51176,0.49446,0.26633,1.59343,1.68706,1.81085,0.008515,0.008515,0.008515
14,1479.35,1.49311,1.82703,1.6636,0.61235,0.52804,0.55714,0.29804,1.56166,1.5556,1.75719,0.00839125,0.00839125,0.00839125
15,1584.42,1.48075,1.79202,1.6523,0.55426,0.54173,0.54691,0.29928,1.52994,1.54125,1.72745,0.0082675,0.0082675,0.0082675
16,1689.58,1.4754,1.76366,1.63924,0.6117,0.53155,0.55886,0.30471,1.55551,1.53049,1.73176,0.00814375,0.00814375,0.00814375
17,1794.66,1.45799,1.70379,1.61714,0.63121,0.54907,0.58426,0.32682,1.51517,1.47394,1.70497,0.00802,0.00802,0.00802
18,1900,1.43044,1.65726,1.60611,0.66199,0.55529,0.60281,0.33329,1.51799,1.40855,1.70918,0.00789625,0.00789625,0.00789625
19,2005.3,1.42952,1.64635,1.60183,0.63284,0.56809,0.60548,0.34585,1.48091,1.40001,1.6752,0.0077725,0.0077725,0.0077725
20,2110.41,1.41398,1.6143,1.58789,0.66843,0.58991,0.63196,0.35818,1.45849,1.34345,1.64846,0.00764875,0.00764875,0.00764875
21,2215.78,1.40522,1.57601,1.58371,0.6527,0.60462,0.64233,0.36972,1.44518,1.3047,1.6361,0.007525,0.007525,0.007525
22,2321.09,1.38129,1.54027,1.55306,0.69878,0.6225,0.66517,0.38481,1.43182,1.26583,1.61641,0.00740125,0.00740125,0.00740125
23,2425.42,1.39331,1.53372,1.56332,0.66709,0.60945,0.65024,0.3797,1.43592,1.28571,1.62052,0.0072775,0.0072775,0.0072775
24,2529.29,1.37132,1.50464,1.54945,0.69401,0.62504,0.6688,0.38754,1.42509,1.23421,1.6221,0.00715375,0.00715375,0.00715375
25,2634.06,1.35803,1.47604,1.54205,0.72679,0.63228,0.68648,0.40039,1.4056,1.21085,1.59483,0.00703,0.00703,0.00703
26,2739.53,1.35577,1.47684,1.53571,0.71744,0.63418,0.68931,0.40574,1.40728,1.18648,1.60157,0.00690625,0.00690625,0.00690625
27,2844.81,1.34377,1.43658,1.52209,0.76263,0.63118,0.70676,0.42077,1.38081,1.1569,1.56714,0.0067825,0.0067825,0.0067825
28,2949.82,1.33091,1.4152,1.51372,0.73212,0.65235,0.70713,0.4191,1.38733,1.14426,1.57242,0.00665875,0.00665875,0.00665875
29,3054.99,1.31837,1.39925,1.5018,0.72529,0.66487,0.70901,0.42223,1.3897,1.12858,1.58087,0.006535,0.006535,0.006535
30,3160.12,1.3169,1.38451,1.49732,0.72637,0.66769,0.72113,0.42857,1.37486,1.11563,1.55792,0.00641125,0.00641125,0.00641125
31,3265.2,1.31053,1.35322,1.48416,0.76277,0.63585,0.71613,0.43029,1.37933,1.09718,1.55681,0.0062875,0.0062875,0.0062875
32,3370.62,1.31026,1.35684,1.48944,0.75488,0.6625,0.72482,0.43529,1.36046,1.09328,1.55448,0.00616375,0.00616375,0.00616375
33,3475.28,1.28801,1.31916,1.47444,0.73677,0.68039,0.73181,0.43861,1.3617,1.07627,1.55259,0.00604,0.00604,0.00604
34,3580.83,1.28941,1.31137,1.47034,0.75499,0.68403,0.73915,0.44628,1.36309,1.04674,1.54436,0.00591625,0.00591625,0.00591625
35,3687.68,1.27597,1.29056,1.46414,0.74212,0.68412,0.73328,0.44389,1.35744,1.04788,1.54477,0.0057925,0.0057925,0.0057925
36,3793.01,1.2765,1.28613,1.46373,0.75471,0.68373,0.74145,0.45054,1.34865,1.03468,1.52878,0.00566875,0.00566875,0.00566875
37,3897.58,1.25911,1.26411,1.45278,0.75548,0.69588,0.74881,0.45578,1.34333,1.00818,1.53985,0.005545,0.005545,0.005545
38,4002.12,1.25224,1.23458,1.44505,0.77739,0.68976,0.74483,0.45457,1.33718,1.00215,1.53122,0.00542125,0.00542125,0.00542125
39,4107.35,1.25474,1.23984,1.44838,0.77182,0.69942,0.75103,0.4574,1.33992,0.99825,1.53195,0.0052975,0.0052975,0.0052975
40,4212.39,1.24457,1.22033,1.44025,0.77592,0.69821,0.75623,0.46515,1.33965,0.98963,1.52886,0.00517375,0.00517375,0.00517375
41,4317.57,1.22608,1.18291,1.42213,0.7543,0.70893,0.75567,0.46128,1.33855,0.98019,1.53255,0.00505,0.00505,0.00505
42,4422.89,1.23024,1.18999,1.42712,0.76501,0.70183,0.75965,0.46741,1.34281,0.96851,1.53366,0.00492625,0.00492625,0.00492625
43,4528.04,1.22455,1.17874,1.41971,0.7993,0.69067,0.76268,0.46653,1.33749,0.96425,1.52827,0.0048025,0.0048025,0.0048025
44,4633.25,1.21074,1.15149,1.41339,0.78696,0.70371,0.76884,0.47278,1.33881,0.95582,1.53054,0.00467875,0.00467875,0.00467875
45,4737.83,1.20253,1.13449,1.40041,0.80203,0.70558,0.77012,0.47539,1.33956,0.94675,1.53575,0.004555,0.004555,0.004555
46,4842.94,1.19984,1.12935,1.39757,0.80248,0.70675,0.77167,0.47553,1.3401,0.93828,1.53409,0.00443125,0.00443125,0.00443125
47,4947.74,1.19186,1.12137,1.39329,0.7831,0.71892,0.77619,0.47836,1.33386,0.93043,1.5255,0.0043075,0.0043075,0.0043075
48,5052.7,1.18557,1.09633,1.38525,0.79273,0.71506,0.77709,0.48245,1.32857,0.92975,1.51907,0.00418375,0.00418375,0.00418375
49,5157.63,1.17486,1.08279,1.37883,0.80018,0.7083,0.77543,0.48295,1.33104,0.92946,1.52233,0.00406,0.00406,0.00406
