epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.863,2.13326,4.42041,2.47652,0.28104,0.28568,0.23279,0.09423,1.92785,3.35972,2.392,0.00332311,0.00332311,0.00332311
2,280.82,1.83443,3.43563,2.11062,0.12396,0.15931,0.05737,0.02085,2.2344,4.44548,2.64852,0.00657407,0.00657407,0.00657407
3,415.077,1.93106,3.35952,2.21756,0.11819,0.15315,0.06808,0.0263,2.18063,3.76718,2.58424,0.00974253,0.00974253,0.00974253
4,542.15,1.88371,3.0963,2.16528,0.20838,0.21668,0.14092,0.05929,1.96967,3.45127,2.36684,0.00962875,0.00962875,0.00962875
5,670.33,1.78531,2.82263,2.08272,0.29243,0.25135,0.19567,0.08565,1.87332,2.74918,2.24096,0.009505,0.009505,0.009505
6,797.956,1.73387,2.65668,2.02537,0.37636,0.31387,0.28638,0.13523,1.77592,2.41036,2.13749,0.00938125,0.00938125,0.00938125
7,926.158,1.68065,2.47347,1.96513,0.44192,0.37305,0.34217,0.16228,1.7124,2.31223,2.05647,0.0092575,0.0092575,0.0092575
8,1053.48,1.64438,2.39157,1.93057,0.45035,0.39727,0.38132,0.18559,1.69511,2.17668,2.01077,0.00913375,0.00913375,0.00913375
9,1180.8,1.61151,2.28716,1.89164,0.46524,0.4088,0.40331,0.19863,1.68868,2.04584,2.0429,0.00901,0.00901,0.00901
10,1309.76,1.58469,2.22721,1.86821,0.50295,0.46277,0.44608,0.23169,1.60724,1.89053,1.92233,0.00888625,0.00888625,0.00888625
11,1437.69,1.55926,2.14526,1.83724,0.48635,0.43699,0.43353,0.22452,1.64177,1.90785,1.93066,0.0087625,0.0087625,0.0087625
12,1565.05,1.54723,2.07737,1.82371,0.56589,0.48433,0.48359,0.25305,1.60023,1.75838,1.90028,0.00863875,0.00863875,0.00863875
13,1692.49,1.51907,2.02374,1.79712,0.56372,0.53389,0.53882,0.28509,1.56556,1.64998,1.8599,0.008515,0.008515,0.008515
