epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.285,1.54865,3.21337,1.68923,0.5021,0.40972,0.40088,0.20135,1.58968,2.66705,1.74224,0.00331903,0.00331903,0.00331903
2,221.693,1.57078,2.62639,1.67606,0.27116,0.23846,0.16457,0.07023,1.93959,3.27493,2.15011,0.00657004,0.00657004,0.00657004
3,341.425,1.83354,2.86663,1.92664,0.04493,0.12207,0.01973,0.00675,2.50343,52.7612,3.36797,0.00973855,0.00973855,0.00973855
4,447.798,1.94464,3.00563,2.06965,0.38861,0.17515,0.09427,0.03784,2.11766,6.65869,2.3422,0.00962875,0.00962875,0.00962875
5,558.217,1.81948,2.70847,1.97216,0.25465,0.23461,0.17928,0.07682,1.98179,3.23765,2.2256,0.009505,0.009505,0.009505
6,665.606,1.74337,2.5333,1.90263,0.30645,0.30232,0.25132,0.11808,1.83588,2.50822,2.03039,0.00938125,0.00938125,0.00938125
7,773.2,1.68752,2.37273,1.83939,0.42896,0.34353,0.32957,0.15756,1.77715,2.19544,2.01021,0.0092575,0.0092575,0.0092575
8,882.42,1.65375,2.26471,1.81055,0.41093,0.36035,0.35954,0.17587,1.73212,2.13364,1.98164,0.00913375,0.00913375,0.00913375
9,992.261,1.60609,2.16652,1.76902,0.45742,0.41442,0.39736,0.19868,1.69062,1.95994,1.89962,0.00901,0.00901,0.00901
10,1100.94,1.5869,2.0965,1.75236,0.49809,0.42728,0.42579,0.21015,1.67906,1.90284,1.86091,0.00888625,0.00888625,0.00888625
11,1208.74,1.55519,2.02956,1.71969,0.53086,0.46184,0.46668,0.24507,1.65061,1.77272,1.82385,0.0087625,0.0087625,0.0087625
12,1317.86,1.54076,1.9733,1.71834,0.56042,0.4812,0.50153,0.26732,1.57942,1.72646,1.82028,0.00863875,0.00863875,0.00863875
13,1427.44,1.51311,1.9087,1.69097,0.55962,0.51637,0.52169,0.2729,1.57133,1.69007,1.78325,0.008515,0.008515,0.008515
14,1535.78,1.49647,1.8694,1.67555,0.55483,0.50546,0.51598,0.27794,1.57506,1.62037,1.76706,0.00839125,0.00839125,0.00839125
15,1645.07,1.48579,1.8355,1.66673,0.60328,0.5184,0.54308,0.29624,1.54115,1.57525,1.7365,0.0082675,0.0082675,0.0082675
16,1754.26,1.47564,1.80615,1.65639,0.58985,0.54017,0.56248,0.30557,1.55622,1.53509,1.74135,0.00814375,0.00814375,0.00814375
17,1864.15,1.45768,1.74492,1.6278,0.62247,0.55595,0.59173,0.32577,1.52715,1.47047,1.71863,0.00802,0.00802,0.00802
18,1972.36,1.43243,1.70318,1.61633,0.64271,0.53884,0.58523,0.33181,1.49968,1.45545,1.69255,0.00789625,0.00789625,0.00789625
19,2081.2,1.42955,1.67908,1.60627,0.62266,0.54598,0.58013,0.32423,1.50372,1.43867,1.69763,0.0077725,0.0077725,0.0077725
20,2189.8,1.41862,1.65016,1.5949,0.67799,0.57513,0.62779,0.3536,1.48127,1.34838,1.67055,0.00764875,0.00764875,0.00764875
21,2297.49,1.39981,1.61019,1.5859,0.67272,0.59144,0.63748,0.36062,1.45448,1.355,1.66049,0.007525,0.007525,0.007525
22,2405.35,1.3812,1.58077,1.56647,0.67913,0.60991,0.64944,0.37273,1.45034,1.329,1.64575,0.00740125,0.00740125,0.00740125
23,2513.79,1.38756,1.56703,1.57135,0.65842,0.60872,0.63961,0.36955,1.42977,1.31772,1.62996,0.0072775,0.0072775,0.0072775
24,2623.49,1.36693,1.53024,1.55233,0.69881,0.60824,0.65299,0.37795,1.43172,1.26316,1.63385,0.00715375,0.00715375,0.00715375
25,2730.59,1.35899,1.51353,1.55059,0.71867,0.61289,0.66947,0.39179,1.42497,1.23548,1.6159,0.00703,0.00703,0.00703
26,2840.01,1.35512,1.50654,1.54353,0.70101,0.63576,0.68653,0.40423,1.40705,1.20825,1.61374,0.00690625,0.00690625,0.00690625
27,2948.85,1.34128,1.47308,1.53515,0.70875,0.62911,0.68894,0.40344,1.40957,1.1928,1.61009,0.0067825,0.0067825,0.0067825
28,3058.45,1.32918,1.44526,1.52314,0.73747,0.63661,0.69707,0.41262,1.40104,1.17519,1.58103,0.00665875,0.00665875,0.00665875
29,3167.47,1.3172,1.43124,1.51043,0.73511,0.6333,0.70276,0.41679,1.39161,1.15399,1.58451,0.006535,0.006535,0.006535
30,3272.08,1.31688,1.41559,1.50881,0.70866,0.64404,0.70489,0.42222,1.3805,1.14587,1.57627,0.00641125,0.00641125,0.00641125
31,3377.92,1.30772,1.3879,1.49575,0.74258,0.6433,0.7101,0.42555,1.38251,1.12358,1.5772,0.0062875,0.0062875,0.0062875
32,3487.33,1.31055,1.38731,1.49577,0.73398,0.66751,0.71737,0.43494,1.35589,1.11308,1.55013,0.00616375,0.00616375,0.00616375
33,3596.01,1.2908,1.34393,1.48444,0.74085,0.66276,0.71958,0.43535,1.36501,1.0952,1.55862,0.00604,0.00604,0.00604
34,3705.64,1.29294,1.33244,1.48861,0.75465,0.67445,0.73046,0.44257,1.35133,1.0773,1.55986,0.00591625,0.00591625,0.00591625
35,3815.3,1.27786,1.3174,1.47636,0.73247,0.6847,0.72891,0.44265,1.34393,1.07611,1.54462,0.0057925,0.0057925,0.0057925
36,3924.88,1.278,1.31552,1.47163,0.73103,0.6946,0.735,0.44624,1.34918,1.06636,1.54789,0.00566875,0.00566875,0.00566875
37,4029.64,1.2575,1.28796,1.45244,0.76844,0.67695,0.74126,0.44924,1.34157,1.05475,1.53698,0.005545,0.005545,0.005545
38,4133.65,1.25352,1.27118,1.45511,0.74959,0.68561,0.73542,0.45244,1.33433,1.05407,1.53294,0.00542125,0.00542125,0.00542125
39,4238.85,1.25446,1.26134,1.45821,0.75319,0.68595,0.74163,0.456,1.34354,1.03857,1.54896,0.0052975,0.0052975,0.0052975
40,4345.19,1.25047,1.24611,1.45081,0.78436,0.68581,0.74964,0.46097,1.34113,1.02453,1.53727,0.00517375,0.00517375,0.00517375
41,4454.76,1.23215,1.21265,1.43349,0.7992,0.68121,0.75314,0.46111,1.33084,1.01713,1.53457,0.00505,0.00505,0.00505
42,4564.3,1.23215,1.21537,1.43309,0.8008,0.68445,0.75488,0.46485,1.33561,1.00044,1.53594,0.00492625,0.00492625,0.00492625
43,4673.5,1.22414,1.20137,1.42981,0.78116,0.68988,0.75284,0.46541,1.34026,0.99291,1.54144,0.0048025,0.0048025,0.0048025
