epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.9783,1.76538,2.80303,1.85156,0.42647,0.44981,0.40584,0.19242,1.63941,2.0686,1.78075,0.00331903,0.00331903,0.00331903
2,197.86,1.60621,2.0894,1.69048,0.28943,0.27494,0.20002,0.08235,2.00944,3.80256,2.19068,0.00657004,0.00657004,0.00657004
3,299.266,1.85642,2.61,1.92147,0.04773,0.11597,0.02225,0.00833,2.57121,24.8347,3.2191,0.00973855,0.00973855,0.00973855
4,398.967,1.9529,2.91624,2.05412,0.17926,0.13973,0.08995,0.03611,2.13291,5.88211,2.47387,0.00962875,0.00962875,0.00962875
5,496.04,1.82725,2.62391,1.94089,0.27769,0.28684,0.2227,0.09296,1.97148,3.23325,2.17985,0.009505,0.009505,0.009505
6,595.659,1.75299,2.46754,1.87901,0.35586,0.3241,0.27773,0.12781,1.85352,2.35029,2.02758,0.00938125,0.00938125,0.00938125
7,695.429,1.68895,2.30577,1.82689,0.38648,0.39075,0.33197,0.15641,1.79749,2.26756,1.99099,0.0092575,0.0092575,0.0092575
8,793.115,1.64949,2.20941,1.78735,0.47904,0.36123,0.36851,0.18181,1.76357,2.11701,1.92106,0.00913375,0.00913375,0.00913375
9,891.204,1.61192,2.11998,1.75263,0.51907,0.42784,0.4371,0.21953,1.70225,1.84111,1.85782,0.00901,0.00901,0.00901
10,989.734,1.58968,2.04404,1.73251,0.49604,0.44271,0.43559,0.2169,1.66233,1.87896,1.82829,0.00888625,0.00888625,0.00888625
11,1086.76,1.55575,1.97909,1.70278,0.54739,0.46918,0.48526,0.24952,1.64605,1.75505,1.83129,0.0087625,0.0087625,0.0087625
12,1185.05,1.5391,1.91858,1.69104,0.57353,0.50441,0.50807,0.27313,1.5876,1.6919,1.78579,0.00863875,0.00863875,0.00863875
13,1281.77,1.51238,1.86082,1.67239,0.55424,0.5242,0.54037,0.297,1.55554,1.55328,1.72875,0.008515,0.008515,0.008515
14,1379.71,1.49879,1.82305,1.65272,0.6022,0.51131,0.53896,0.29058,1.57235,1.55243,1.74186,0.00839125,0.00839125,0.00839125
15,1476.88,1.47846,1.77707,1.63809,0.6201,0.51512,0.55953,0.30533,1.56883,1.5465,1.74114,0.0082675,0.0082675,0.0082675
16,1574.89,1.47316,1.76035,1.63212,0.63842,0.55179,0.58873,0.32661,1.52809,1.47057,1.68376,0.00814375,0.00814375,0.00814375
17,1672.11,1.4539,1.7003,1.60903,0.67114,0.54925,0.59902,0.33195,1.50761,1.44065,1.68788,0.00802,0.00802,0.00802
18,1769.98,1.42697,1.66826,1.59544,0.61859,0.58127,0.60095,0.33952,1.47445,1.38922,1.66049,0.00789625,0.00789625,0.00789625
19,1867.85,1.42787,1.63105,1.59063,0.65131,0.57287,0.61731,0.34586,1.48804,1.38324,1.65541,0.0077725,0.0077725,0.0077725
20,1965.95,1.41852,1.61438,1.57684,0.64228,0.59129,0.62813,0.35661,1.47565,1.32623,1.64126,0.00764875,0.00764875,0.00764875
21,2064.25,1.40023,1.56657,1.56764,0.70236,0.59305,0.64535,0.36624,1.47743,1.30032,1.64742,0.007525,0.007525,0.007525
