epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.69,1.56016,2.68588,1.69049,0.43145,0.45053,0.40763,0.21135,1.64176,2.16066,1.72157,0.00332005,0.00332005,0.00332005
2,217.275,1.58807,2.06553,1.68589,0.30072,0.30278,0.22352,0.09968,1.97267,3.43661,2.15063,0.00657105,0.00657105,0.00657105
3,327.27,1.82403,2.60995,1.94248,0.16998,0.05733,0.01879,0.00603,2.85598,17.6102,3.46149,0.00973955,0.00973955,0.00973955
4,432.5,1.91397,2.87147,2.06264,0.20202,0.20989,0.12808,0.05238,2.11448,6.9961,2.42291,0.00962875,0.00962875,0.00962875
5,540.07,1.79272,2.6055,1.95257,0.3574,0.27299,0.2366,0.10438,2.03498,2.97171,2.25845,0.009505,0.009505,0.009505
6,650.48,1.72304,2.41971,1.89014,0.46739,0.333,0.33047,0.15574,1.81104,2.72431,2.02363,0.00938125,0.00938125,0.00938125
7,760.099,1.6714,2.28152,1.83873,0.42728,0.35844,0.3456,0.17326,1.82084,2.39498,2.01534,0.0092575,0.0092575,0.0092575
8,871.589,1.62286,2.16842,1.79436,0.48448,0.39837,0.38344,0.18664,1.74848,2.25844,1.95922,0.00913375,0.00913375,0.00913375
9,980.694,1.5957,2.08475,1.77001,0.4963,0.40986,0.39746,0.20138,1.73435,2.06613,1.89896,0.00901,0.00901,0.00901
10,1090.41,1.55763,2.01962,1.73788,0.52879,0.47486,0.47129,0.24283,1.7033,1.97473,1.85667,0.00888625,0.00888625,0.00888625
11,1199.54,1.54407,1.95208,1.72151,0.55476,0.47253,0.48288,0.25635,1.72179,1.87331,1.87487,0.0087625,0.0087625,0.0087625
12,1309.07,1.52486,1.90787,1.70306,0.55615,0.51459,0.53224,0.28595,1.62445,1.6693,1.80492,0.00863875,0.00863875,0.00863875
13,1417.69,1.49852,1.84488,1.68146,0.61139,0.5375,0.56402,0.30526,1.61197,1.69296,1.78665,0.008515,0.008515,0.008515
14,1526.59,1.47987,1.78482,1.6636,0.59745,0.54261,0.57285,0.31491,1.55774,1.5249,1.72464,0.00839125,0.00839125,0.00839125
15,1635.05,1.46067,1.75261,1.64596,0.60931,0.53655,0.56802,0.31316,1.57535,1.61322,1.74211,0.0082675,0.0082675,0.0082675
16,1743.04,1.44744,1.69947,1.63135,0.64061,0.57369,0.60828,0.34225,1.53543,1.47668,1.71508,0.00814375,0.00814375,0.00814375
17,1851.92,1.43614,1.68313,1.61251,0.63013,0.57544,0.60701,0.34161,1.52918,1.50356,1.70011,0.00802,0.00802,0.00802
18,1958.51,1.41397,1.64612,1.60593,0.65007,0.5676,0.60787,0.33709,1.55586,1.46123,1.72673,0.00789625,0.00789625,0.00789625
19,2067.83,1.40644,1.60897,1.58514,0.65905,0.60481,0.6378,0.36405,1.49323,1.45515,1.66407,0.0077725,0.0077725,0.0077725
20,2176.94,1.40109,1.59642,1.59178,0.65596,0.60945,0.64373,0.36894,1.48309,1.35576,1.6652,0.00764875,0.00764875,0.00764875
21,2286.38,1.38738,1.56137,1.57549,0.68942,0.61666,0.65228,0.37554,1.50327,1.39231,1.66335,0.007525,0.007525,0.007525
22,2393.73,1.37115,1.53299,1.55893,0.67197,0.6351,0.66132,0.38292,1.46785,1.35669,1.63703,0.00740125,0.00740125,0.00740125
23,2503.05,1.37432,1.51129,1.55445,0.71,0.60836,0.67564,0.39354,1.42806,1.24409,1.61114,0.0072775,0.0072775,0.0072775
24,2608.39,1.3599,1.4767,1.54498,0.71844,0.63425,0.69214,0.40729,1.46529,1.23272,1.62537,0.00715375,0.00715375,0.00715375
25,2717.72,1.3354,1.43536,1.5287,0.71616,0.62482,0.69001,0.40998,1.45477,1.22478,1.62315,0.00703,0.00703,0.00703
26,2827.08,1.34269,1.438,1.52789,0.73416,0.65017,0.70293,0.41739,1.44623,1.22471,1.59881,0.00690625,0.00690625,0.00690625
27,2936.42,1.32622,1.41019,1.51654,0.74547,0.65247,0.7121,0.4239,1.42315,1.18112,1.58869,0.0067825,0.0067825,0.0067825
28,3045.27,1.32692,1.39838,1.51348,0.73321,0.66254,0.70523,0.4194,1.43055,1.1823,1.58558,0.00665875,0.00665875,0.00665875
29,3151.97,1.3123,1.3851,1.49711,0.74094,0.66298,0.72093,0.42897,1.4176,1.16574,1.5915,0.006535,0.006535,0.006535
30,3255.88,1.30513,1.35308,1.50124,0.74267,0.67737,0.72294,0.43597,1.44815,1.15454,1.61397,0.00641125,0.00641125,0.00641125
31,3359.41,1.30267,1.34738,1.49177,0.73502,0.67507,0.72297,0.43088,1.41141,1.1099,1.58024,0.0062875,0.0062875,0.0062875
32,3468.37,1.29497,1.31739,1.48484,0.73839,0.68622,0.73636,0.4452,1.41423,1.08513,1.57951,0.00616375,0.00616375,0.00616375
33,3571.74,1.27913,1.29959,1.47328,0.75547,0.67504,0.73791,0.44798,1.40371,1.09971,1.56679,0.00604,0.00604,0.00604
34,3675.66,1.27915,1.2799,1.46959,0.75354,0.6839,0.74195,0.4493,1.39486,1.08182,1.56688,0.00591625,0.00591625,0.00591625
35,3784.09,1.26174,1.26941,1.46358,0.75986,0.70148,0.75298,0.45538,1.39033,1.04776,1.55443,0.0057925,0.0057925,0.0057925
36,3887.28,1.26337,1.26483,1.46328,0.77087,0.68793,0.75289,0.45726,1.37861,1.03475,1.55404,0.00566875,0.00566875,0.00566875
37,3993.45,1.24144,1.2314,1.44785,0.77794,0.67849,0.74847,0.45776,1.38959,1.03545,1.56299,0.005545,0.005545,0.005545
38,4102.1,1.24598,1.23138,1.44633,0.77422,0.70095,0.75751,0.46153,1.39204,1.03804,1.56969,0.00542125,0.00542125,0.00542125
39,4210.99,1.24082,1.21957,1.44596,0.765,0.70019,0.7557,0.4645,1.39303,1.04947,1.57066,0.0052975,0.0052975,0.0052975
40,4320.22,1.22617,1.19863,1.43301,0.77376,0.70306,0.75972,0.46686,1.3854,1.02024,1.56018,0.00517375,0.00517375,0.00517375
41,4429.67,1.21409,1.16765,1.41639,0.77326,0.70505,0.76401,0.46984,1.38872,1.01022,1.55846,0.00505,0.00505,0.00505
42,4538.93,1.21431,1.16461,1.42231,0.8061,0.69079,0.76696,0.46956,1.38269,1.00071,1.55584,0.00492625,0.00492625,0.00492625
43,4648.4,1.20838,1.14962,1.41712,0.78307,0.7134,0.76757,0.47483,1.39392,0.98077,1.56291,0.0048025,0.0048025,0.0048025
44,4757.95,1.19521,1.12263,1.40356,0.79187,0.70005,0.76765,0.47482,1.3818,0.9671,1.5494,0.00467875,0.00467875,0.00467875
45,4867.16,1.1951,1.12295,1.4008,0.78528,0.71498,0.77225,0.47936,1.38276,0.95986,1.54716,0.004555,0.004555,0.004555
46,4976.35,1.18338,1.10654,1.39405,0.77995,0.71925,0.77179,0.47902,1.38291,0.956,1.55344,0.00443125,0.00443125,0.00443125
47,5085.17,1.17664,1.08708,1.39403,0.78804,0.7075,0.7709,0.47895,1.38099,0.96547,1.55667,0.0043075,0.0043075,0.0043075
48,5194.14,1.16995,1.0874,1.3871,0.78121,0.71204,0.76853,0.47807,1.37707,0.95427,1.5531,0.00418375,0.00418375,0.00418375
49,5303.4,1.16956,1.07689,1.3813,0.79489,0.70543,0.77233,0.47975,1.37186,0.94536,1.5477,0.00406,0.00406,0.00406
50,5412.34,1.15034,1.05559,1.37066,0.79323,0.71804,0.77566,0.48239,1.35682,0.9395,1.53475,0.00393625,0.00393625,0.00393625
51,5521.28,1.15279,1.03547,1.36547,0.79244,0.71848,0.77504,0.48187,1.35927,0.9359,1.53707,0.0038125,0.0038125,0.0038125
