epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.924,1.57986,2.9214,1.67609,0.42397,0.38822,0.35226,0.17912,1.61739,2.29655,1.76222,0.00332056,0.00332056,0.00332056
2,204.751,1.61101,2.21871,1.69905,0.37393,0.23673,0.1935,0.08093,2.0403,4.18724,2.2783,0.00657155,0.00657155,0.00657155
3,309.497,1.87475,2.73896,1.95506,0.27201,0.037,0.0099,0.00292,2.61326,19.0518,3.3724,0.00974004,0.00974004,0.00974004
4,410.13,1.9819,3.02591,2.12029,0.13657,0.15976,0.08855,0.0341,2.2312,5.81569,2.60031,0.00962875,0.00962875,0.00962875
5,513.747,1.84967,2.76329,1.99747,0.27225,0.21466,0.16764,0.06819,2.06781,3.12847,2.28861,0.009505,0.009505,0.009505
6,616.653,1.76528,2.54199,1.92349,0.28557,0.28983,0.22718,0.10427,1.84451,2.96759,2.08084,0.00938125,0.00938125,0.00938125
7,720.292,1.70474,2.38961,1.856,0.39175,0.3628,0.31991,0.15017,1.81378,2.44854,2.01132,0.0092575,0.0092575,0.0092575
8,823.719,1.6617,2.26921,1.8183,0.46895,0.36933,0.36058,0.17458,1.76218,2.10564,1.95482,0.00913375,0.00913375,0.00913375
9,927.366,1.63135,2.19358,1.79141,0.48658,0.39907,0.37788,0.188,1.70048,2.03131,1.89522,0.00901,0.00901,0.00901
10,1030.96,1.60205,2.09923,1.76185,0.47836,0.41709,0.42095,0.21263,1.66299,1.98075,1.8835,0.00888625,0.00888625,0.00888625
11,1134.45,1.56875,2.04736,1.73457,0.53411,0.44122,0.44688,0.22621,1.66104,1.83552,1.85528,0.0087625,0.0087625,0.0087625
12,1237.79,1.54304,1.98072,1.71464,0.50988,0.47759,0.46588,0.23991,1.59803,1.80669,1.83426,0.00863875,0.00863875,0.00863875
13,1340.83,1.5455,1.94976,1.71129,0.55115,0.49489,0.50062,0.26718,1.57048,1.6776,1.78239,0.008515,0.008515,0.008515
14,1442.94,1.51203,1.88857,1.68699,0.57555,0.47663,0.49985,0.27087,1.53768,1.67695,1.75002,0.00839125,0.00839125,0.00839125
15,1546.46,1.49973,1.84492,1.67267,0.6051,0.53533,0.55854,0.2947,1.55451,1.54929,1.7411,0.0082675,0.0082675,0.0082675
