epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.3044,1.56245,2.80554,1.68141,0.4578,0.46174,0.43682,0.22488,1.62025,1.96673,1.69596,0.00332056,0.00332056,0.00332056
2,196.451,1.59825,2.09062,1.68146,0.23,0.30104,0.1861,0.07662,2.03968,2.90214,2.13488,0.00657155,0.00657155,0.00657155
3,295.519,1.86352,2.67258,1.9377,0.28297,0.07136,0.01133,0.00376,2.61684,4.67858,3.05278,0.00974004,0.00974004,0.00974004
4,393.064,1.97701,2.95572,2.08096,0.44712,0.17831,0.12912,0.04964,2.23344,3.41786,2.53611,0.00962875,0.00962875,0.00962875
5,491.369,1.83169,2.69593,1.96456,0.28935,0.29112,0.2214,0.09343,2.05985,2.6132,2.24815,0.009505,0.009505,0.009505
6,588.444,1.75729,2.49551,1.89713,0.32316,0.32547,0.25623,0.11895,1.99833,2.5972,2.15886,0.00938125,0.00938125,0.00938125
7,684.563,1.70208,2.34402,1.83976,0.39139,0.37762,0.33107,0.15271,1.89799,2.29041,2.03157,0.0092575,0.0092575,0.0092575
8,782.674,1.65523,2.23426,1.79646,0.40911,0.34582,0.30331,0.14787,1.93668,2.49862,2.08401,0.00913375,0.00913375,0.00913375
9,881.075,1.62733,2.15275,1.77349,0.40443,0.41325,0.3531,0.17035,1.88721,2.26286,2.03855,0.00901,0.00901,0.00901
10,979.397,1.59859,2.06727,1.74699,0.48243,0.42567,0.4181,0.21438,1.79578,2.09546,1.94125,0.00888625,0.00888625,0.00888625
11,1077.15,1.56016,2.00644,1.71368,0.53315,0.46258,0.4665,0.24301,1.7297,1.95407,1.87355,0.0087625,0.0087625,0.0087625
12,1173.42,1.53644,1.93962,1.69371,0.54708,0.48627,0.50069,0.26402,1.70282,1.77242,1.86904,0.00863875,0.00863875,0.00863875
13,1271.78,1.53354,1.9184,1.68647,0.56208,0.48855,0.50135,0.27597,1.65405,1.77085,1.83199,0.008515,0.008515,0.008515
14,1369.63,1.49913,1.84991,1.66634,0.56395,0.49183,0.50707,0.27232,1.66229,1.79681,1.83334,0.00839125,0.00839125,0.00839125
15,1465.72,1.49006,1.81606,1.66005,0.5902,0.52941,0.54058,0.29694,1.64156,1.72203,1.79037,0.0082675,0.0082675,0.0082675
16,1562.34,1.47585,1.76304,1.64439,0.60203,0.55339,0.56857,0.31561,1.59865,1.59058,1.76229,0.00814375,0.00814375,0.00814375
17,1659.52,1.45981,1.73748,1.62488,0.5965,0.56491,0.58698,0.32404,1.59675,1.58402,1.76348,0.00802,0.00802,0.00802
18,1757.45,1.43897,1.70797,1.61032,0.62196,0.55986,0.58322,0.3277,1.5909,1.57273,1.74871,0.00789625,0.00789625,0.00789625
19,1854.83,1.43387,1.67299,1.60855,0.63855,0.56546,0.60193,0.34024,1.56156,1.50589,1.72726,0.0077725,0.0077725,0.0077725
20,1951.23,1.423,1.6361,1.59206,0.6861,0.56385,0.62182,0.35015,1.55586,1.46947,1.71683,0.00764875,0.00764875,0.00764875
21,2049.01,1.40671,1.60609,1.57695,0.64846,0.60914,0.63206,0.36511,1.51091,1.42024,1.68458,0.007525,0.007525,0.007525
