epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.443,1.57789,2.85184,1.67928,0.40008,0.37407,0.34383,0.17456,1.57011,2.36786,1.72054,0.00332056,0.00332056,0.00332056
2,215.813,1.61526,2.21794,1.68763,0.34926,0.20722,0.17304,0.07062,1.95488,4.81462,2.23706,0.00657155,0.00657155,0.00657155
3,327.665,1.87571,2.75652,1.94907,0.2736,0.03431,0.00524,0.00171,2.69899,12.8647,3.41059,0.00974004,0.00974004,0.00974004
4,436.596,1.97349,3.01745,2.0909,0.411,0.15577,0.09672,0.03863,2.13665,6.10577,2.44949,0.00962875,0.00962875,0.00962875
5,547.314,1.83894,2.74189,1.97812,0.26999,0.24915,0.18393,0.0781,1.97672,3.19707,2.18244,0.009505,0.009505,0.009505
6,657.63,1.76543,2.53934,1.90682,0.20508,0.2405,0.14716,0.06569,2.03258,3.38532,2.26941,0.00938125,0.00938125,0.00938125
7,767.362,1.69563,2.37378,1.83881,0.37395,0.37432,0.32702,0.15294,1.82694,2.3175,2.01856,0.0092575,0.0092575,0.0092575
8,872.322,1.6577,2.26521,1.80243,0.45299,0.38991,0.37795,0.18448,1.73446,2.0662,1.94125,0.00913375,0.00913375,0.00913375
9,977.207,1.62145,2.1879,1.76818,0.39619,0.35562,0.32359,0.15687,1.78861,2.25511,2.03409,0.00901,0.00901,0.00901
10,1081.96,1.59794,2.09653,1.75778,0.50367,0.45088,0.43453,0.21741,1.64924,1.91647,1.85467,0.00888625,0.00888625,0.00888625
11,1193.12,1.56743,2.03725,1.72558,0.54878,0.45947,0.48259,0.24569,1.64014,1.76515,1.82376,0.0087625,0.0087625,0.0087625
12,1303.18,1.54277,1.96771,1.70967,0.56875,0.4727,0.48962,0.255,1.61176,1.74095,1.81282,0.00863875,0.00863875,0.00863875
13,1412.27,1.54105,1.93918,1.69913,0.52582,0.47347,0.46638,0.2457,1.60238,1.73397,1.79365,0.008515,0.008515,0.008515
14,1523.02,1.50783,1.87073,1.67609,0.55713,0.49627,0.50658,0.26672,1.55953,1.65731,1.75486,0.00839125,0.00839125,0.00839125
15,1627.91,1.4986,1.8405,1.66729,0.58445,0.51686,0.54488,0.29215,1.55908,1.56979,1.75754,0.0082675,0.0082675,0.0082675
16,1735.54,1.4784,1.78219,1.6465,0.61693,0.56173,0.57576,0.31192,1.52633,1.48583,1.72209,0.00814375,0.00814375,0.00814375
17,1845.79,1.46322,1.75995,1.62677,0.61413,0.54132,0.57524,0.31767,1.524,1.51764,1.71867,0.00802,0.00802,0.00802
18,1955.19,1.44076,1.71391,1.62026,0.63571,0.56069,0.59717,0.33639,1.49705,1.42063,1.69368,0.00789625,0.00789625,0.00789625
19,2059.76,1.43126,1.69037,1.60906,0.64166,0.57199,0.61553,0.34888,1.46809,1.39622,1.65615,0.0077725,0.0077725,0.0077725
20,2164.41,1.43053,1.65796,1.60288,0.63756,0.59271,0.62497,0.3553,1.45277,1.34658,1.65491,0.00764875,0.00764875,0.00764875
21,2269.58,1.41354,1.62677,1.58806,0.66686,0.58531,0.62679,0.3641,1.43849,1.32651,1.64181,0.007525,0.007525,0.007525
22,2379.74,1.40189,1.60384,1.58126,0.68574,0.60718,0.65343,0.37363,1.43863,1.30893,1.63384,0.00740125,0.00740125,0.00740125
23,2489.91,1.39026,1.57356,1.56411,0.68706,0.59831,0.65114,0.37329,1.41942,1.29124,1.62231,0.0072775,0.0072775,0.0072775
24,2599.2,1.38179,1.54609,1.5612,0.69379,0.62035,0.66766,0.39338,1.40738,1.24035,1.60788,0.00715375,0.00715375,0.00715375
