epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.4092,1.55448,2.63387,1.67948,0.45905,0.47589,0.44273,0.23197,1.61828,1.85455,1.7496,0.00332056,0.00332056,0.00332056
2,193.835,1.59834,2.06914,1.6908,0.28576,0.26707,0.18652,0.07538,2.17065,3.07207,2.27298,0.00657155,0.00657155,0.00657155
3,290.555,1.87798,2.69143,1.95361,0.19278,0.05369,0.01695,0.00545,2.64655,5.05324,3.2041,0.00974004,0.00974004,0.00974004
4,387.347,1.97843,2.98346,2.10263,0.24201,0.19781,0.11984,0.04641,2.15171,4.3025,2.47658,0.00962875,0.00962875,0.00962875
5,483.705,1.8481,2.71513,1.9861,0.26497,0.28439,0.2042,0.08937,2.02705,2.68986,2.23189,0.009505,0.009505,0.009505
6,581.587,1.7672,2.51653,1.9106,0.31042,0.33829,0.26031,0.12205,1.87671,2.45476,2.09027,0.00938125,0.00938125,0.00938125
7,679.837,1.69982,2.35267,1.84765,0.3801,0.38395,0.32362,0.15167,1.86655,2.30999,2.02927,0.0092575,0.0092575,0.0092575
8,778.207,1.65887,2.24306,1.81145,0.46642,0.40002,0.38825,0.19545,1.76578,2.10838,1.9576,0.00913375,0.00913375,0.00913375
9,876.768,1.62348,2.16354,1.77516,0.46336,0.41169,0.38418,0.18888,1.79574,2.02654,1.96833,0.00901,0.00901,0.00901
10,973.212,1.59813,2.07861,1.74918,0.51271,0.45837,0.45998,0.23289,1.70281,1.82521,1.87201,0.00888625,0.00888625,0.00888625
11,1071.26,1.55986,2.00769,1.72435,0.58296,0.46224,0.48727,0.25042,1.68609,1.79797,1.84234,0.0087625,0.0087625,0.0087625
12,1169.07,1.53827,1.94984,1.69929,0.57242,0.47704,0.50299,0.26627,1.65999,1.73191,1.83819,0.00863875,0.00863875,0.00863875
13,1267.52,1.53237,1.91188,1.69263,0.57071,0.49251,0.51555,0.27715,1.62886,1.70739,1.79389,0.008515,0.008515,0.008515
14,1365.38,1.50174,1.86045,1.67055,0.56762,0.50417,0.5208,0.27609,1.60462,1.69047,1.78887,0.00839125,0.00839125,0.00839125
15,1463.32,1.49421,1.82899,1.66864,0.58837,0.50912,0.53361,0.29248,1.62086,1.66834,1.80476,0.0082675,0.0082675,0.0082675
16,1561.45,1.47378,1.76801,1.64765,0.61276,0.54636,0.56568,0.31114,1.58169,1.55228,1.75673,0.00814375,0.00814375,0.00814375
17,1659.57,1.45971,1.73308,1.62938,0.63696,0.54782,0.58284,0.32759,1.56921,1.52298,1.72926,0.00802,0.00802,0.00802
18,1757.46,1.43879,1.70401,1.61843,0.62248,0.57492,0.60193,0.33809,1.54304,1.45101,1.72549,0.00789625,0.00789625,0.00789625
19,1855.6,1.42985,1.67845,1.61046,0.67079,0.56474,0.62089,0.34665,1.52706,1.39991,1.70486,0.0077725,0.0077725,0.0077725
20,1953.73,1.42494,1.64033,1.59493,0.65636,0.59754,0.63264,0.36252,1.49532,1.37493,1.6695,0.00764875,0.00764875,0.00764875
21,2051.28,1.41027,1.61245,1.58426,0.68174,0.58125,0.63755,0.3655,1.47662,1.33496,1.65458,0.007525,0.007525,0.007525
22,2149.25,1.39915,1.5832,1.57328,0.69673,0.59348,0.64902,0.37204,1.49355,1.32426,1.66503,0.00740125,0.00740125,0.00740125
23,2245.97,1.38704,1.55917,1.55848,0.68556,0.60096,0.65163,0.38078,1.47848,1.32392,1.65219,0.0072775,0.0072775,0.0072775
24,2342.08,1.37387,1.52917,1.55111,0.68828,0.62824,0.67289,0.39098,1.47487,1.2546,1.63674,0.00715375,0.00715375,0.00715375
