epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.959,1.57556,2.86418,1.69834,0.43061,0.42912,0.39167,0.19637,1.64121,2.00558,1.75099,0.00332108,0.00332108,0.00332108
2,243.972,1.59394,2.21692,1.70481,0.31377,0.25884,0.21952,0.0988,1.89683,3.87474,2.07562,0.00657206,0.00657206,0.00657206
3,370.622,1.82011,2.70743,1.95997,0.07456,0.12108,0.03018,0.01057,2.45402,17.6031,2.92003,0.00974055,0.00974055,0.00974055
4,495.612,1.90465,2.9375,2.09275,0.13206,0.13903,0.06704,0.02614,2.16206,6.6626,2.54876,0.00962875,0.00962875,0.00962875
5,620.132,1.78364,2.65893,1.97858,0.39679,0.24318,0.2078,0.08781,1.89061,3.18524,2.15402,0.009505,0.009505,0.009505
6,738.607,1.71084,2.46853,1.9029,0.44089,0.33597,0.32167,0.15163,1.76934,2.47468,2.03494,0.00938125,0.00938125,0.00938125
7,863.179,1.65832,2.322,1.85265,0.42142,0.37008,0.33988,0.15078,1.80538,2.35811,2.04619,0.0092575,0.0092575,0.0092575
8,983.3,1.62672,2.23583,1.83246,0.43396,0.41256,0.38231,0.19106,1.70353,2.12528,1.96659,0.00913375,0.00913375,0.00913375
9,1107.98,1.59392,2.14049,1.79965,0.46889,0.44526,0.42655,0.21372,1.66428,1.94399,1.93868,0.00901,0.00901,0.00901
10,1229.14,1.57097,2.07109,1.77678,0.53304,0.46358,0.46743,0.23307,1.65472,1.79047,1.8922,0.00888625,0.00888625,0.00888625
11,1353.85,1.54682,2.00709,1.7559,0.54255,0.47679,0.48869,0.25533,1.6065,1.74238,1.85607,0.0087625,0.0087625,0.0087625
12,1479.1,1.53145,1.93321,1.73098,0.56324,0.52315,0.52579,0.27809,1.60322,1.62489,1.82438,0.00863875,0.00863875,0.00863875
13,1602.47,1.50305,1.88583,1.70893,0.61163,0.49506,0.53826,0.29432,1.52536,1.59797,1.77653,0.008515,0.008515,0.008515
14,1727.73,1.49159,1.83911,1.69141,0.63239,0.51608,0.553,0.30169,1.54365,1.54213,1.77397,0.00839125,0.00839125,0.00839125
15,1850.41,1.47233,1.78979,1.67712,0.58218,0.55882,0.57402,0.30417,1.51795,1.51235,1.77682,0.0082675,0.0082675,0.0082675
16,1971.76,1.45356,1.73586,1.66279,0.60976,0.54611,0.58053,0.32513,1.48676,1.47928,1.72609,0.00814375,0.00814375,0.00814375
17,2096.85,1.4449,1.72042,1.64539,0.63219,0.56989,0.60244,0.33669,1.46775,1.42279,1.71074,0.00802,0.00802,0.00802
18,2221.96,1.42224,1.66809,1.62271,0.65979,0.58234,0.61236,0.34452,1.47262,1.37899,1.69948,0.00789625,0.00789625,0.00789625
19,2345.58,1.42426,1.65502,1.62842,0.67624,0.58235,0.63289,0.35944,1.46264,1.34545,1.68864,0.0077725,0.0077725,0.0077725
