epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.735,2.17401,4.15201,2.30823,0.29291,0.25125,0.18825,0.07666,2.06318,3.00331,2.27813,0.00331956,0.00331956,0.00331956
2,207.726,1.76923,2.55313,1.93251,0.13213,0.15392,0.07374,0.02716,2.30292,4.11969,2.59657,0.00657056,0.00657056,0.00657056
3,317.994,1.92003,2.85926,2.06233,0.30943,0.09707,0.01477,0.00461,2.68916,31.7163,3.58693,0.00973907,0.00973907,0.00973907
4,425.837,1.96712,3.02171,2.10655,0.16136,0.18004,0.09472,0.03644,2.14146,5.36165,2.40833,0.00962875,0.00962875,0.00962875
5,535.454,1.8312,2.7407,2.00733,0.23808,0.19718,0.14197,0.0592,2.09512,3.2148,2.34,0.009505,0.009505,0.009505
6,644.777,1.77124,2.5598,1.94794,0.33072,0.25503,0.21471,0.09291,1.96159,3.01606,2.19962,0.00938125,0.00938125,0.00938125
7,753.153,1.71216,2.42731,1.88671,0.50581,0.31807,0.31606,0.14418,1.83951,2.5001,2.07986,0.0092575,0.0092575,0.0092575
8,861.852,1.67128,2.32323,1.86276,0.40651,0.33847,0.30016,0.14275,1.83983,2.45355,2.09387,0.00913375,0.00913375,0.00913375
9,970.54,1.63119,2.20247,1.82076,0.45128,0.40446,0.39135,0.19109,1.77134,2.08082,1.96014,0.00901,0.00901,0.00901
10,1079.37,1.61331,2.14685,1.80917,0.50208,0.42122,0.40899,0.20281,1.68735,2.00409,1.89939,0.00888625,0.00888625,0.00888625
11,1188.62,1.57132,2.07601,1.77353,0.50317,0.46047,0.45837,0.23208,1.69304,1.97063,1.92003,0.0087625,0.0087625,0.0087625
12,1296.86,1.56819,2.02491,1.76168,0.53889,0.44069,0.45139,0.23748,1.66395,1.82916,1.89899,0.00863875,0.00863875,0.00863875
13,1405.04,1.53881,1.98085,1.73799,0.54083,0.50058,0.50381,0.26794,1.62604,1.80827,1.83866,0.008515,0.008515,0.008515
14,1513.38,1.51258,1.90666,1.71695,0.55069,0.48299,0.50289,0.26616,1.63095,1.70511,1.80934,0.00839125,0.00839125,0.00839125
15,1617.92,1.50319,1.87009,1.70867,0.61166,0.49788,0.53841,0.28557,1.6364,1.65799,1.82846,0.0082675,0.0082675,0.0082675
16,1722.67,1.4872,1.81964,1.69321,0.57722,0.50834,0.53601,0.29012,1.58771,1.66893,1.78933,0.00814375,0.00814375,0.00814375
17,1827.77,1.47446,1.80307,1.67524,0.61622,0.52901,0.5636,0.30175,1.61803,1.63353,1.79471,0.00802,0.00802,0.00802
18,1936.14,1.46949,1.78584,1.67094,0.62015,0.54055,0.57889,0.31792,1.57545,1.54149,1.76857,0.00789625,0.00789625,0.00789625
19,2044.67,1.4502,1.73735,1.66531,0.64709,0.55038,0.59548,0.32652,1.57125,1.56008,1.77633,0.0077725,0.0077725,0.0077725
20,2152.88,1.43552,1.6936,1.64116,0.6344,0.57975,0.61326,0.34248,1.51582,1.50506,1.72354,0.00764875,0.00764875,0.00764875
21,2260.15,1.41649,1.66332,1.63131,0.6579,0.5688,0.6207,0.34502,1.55499,1.45764,1.75373,0.007525,0.007525,0.007525
22,2368.47,1.40989,1.63009,1.61857,0.64745,0.60023,0.63266,0.35734,1.52356,1.42837,1.71991,0.00740125,0.00740125,0.00740125
23,2476.78,1.40807,1.60344,1.61656,0.68342,0.58888,0.63755,0.36479,1.52188,1.40691,1.71314,0.0072775,0.0072775,0.0072775
24,2585.07,1.40178,1.59065,1.60938,0.6911,0.5913,0.65565,0.37804,1.52118,1.40195,1.7113,0.00715375,0.00715375,0.00715375
25,2693.54,1.38067,1.56022,1.59658,0.67339,0.61651,0.65386,0.37406,1.50069,1.43089,1.71727,0.00703,0.00703,0.00703
26,2801.75,1.3842,1.55408,1.59557,0.71,0.60212,0.66489,0.38352,1.48438,1.33864,1.67768,0.00690625,0.00690625,0.00690625
27,2910.25,1.3593,1.52568,1.58094,0.70299,0.6231,0.67105,0.39157,1.48227,1.32722,1.68872,0.0067825,0.0067825,0.0067825
28,3018.46,1.35406,1.49394,1.56937,0.69215,0.65035,0.67989,0.39743,1.46521,1.31715,1.66807,0.00665875,0.00665875,0.00665875
29,3126.61,1.34479,1.4773,1.56164,0.70819,0.64431,0.69662,0.40939,1.45232,1.29893,1.64873,0.006535,0.006535,0.006535
30,3235.07,1.33917,1.4475,1.56492,0.72089,0.64551,0.69984,0.41146,1.46545,1.23227,1.66443,0.00641125,0.00641125,0.00641125
31,3339.5,1.33519,1.43933,1.55074,0.73432,0.64458,0.70951,0.42003,1.42741,1.23382,1.62782,0.0062875,0.0062875,0.0062875
32,3445.28,1.32583,1.40718,1.54119,0.74572,0.65271,0.71436,0.42486,1.4353,1.24474,1.62828,0.00616375,0.00616375,0.00616375
33,3553.12,1.30516,1.38414,1.52351,0.72722,0.66594,0.71515,0.42628,1.43836,1.24491,1.63338,0.00604,0.00604,0.00604
34,3658.03,1.30561,1.38489,1.53271,0.72444,0.67679,0.72238,0.43344,1.42804,1.18904,1.63021,0.00591625,0.00591625,0.00591625
35,3764.69,1.29735,1.35173,1.51824,0.73126,0.68177,0.72193,0.43516,1.42636,1.1487,1.62582,0.0057925,0.0057925,0.0057925
36,3873.15,1.29586,1.34145,1.51229,0.7433,0.67647,0.73053,0.44021,1.41727,1.13791,1.61233,0.00566875,0.00566875,0.00566875
37,3981.36,1.2862,1.32634,1.50976,0.72808,0.68538,0.73112,0.44161,1.40958,1.11549,1.60656,0.005545,0.005545,0.005545
38,4089.76,1.2693,1.2968,1.49313,0.75324,0.68153,0.73449,0.44999,1.39722,1.12313,1.59836,0.00542125,0.00542125,0.00542125
39,4194.56,1.26559,1.28389,1.49583,0.75529,0.68023,0.74201,0.4488,1.38916,1.09024,1.60493,0.0052975,0.0052975,0.0052975
40,4302.31,1.2637,1.2649,1.49478,0.7577,0.69101,0.7424,0.45255,1.42193,1.08941,1.62471,0.00517375,0.00517375,0.00517375
41,4410.34,1.26133,1.26342,1.48665,0.75334,0.69235,0.74295,0.45864,1.42035,1.11077,1.62154,0.00505,0.00505,0.00505
42,4518.34,1.23916,1.23891,1.47379,0.76373,0.69118,0.74837,0.45881,1.42082,1.09182,1.62524,0.00492625,0.00492625,0.00492625
43,4626.31,1.25324,1.24306,1.47832,0.73268,0.71142,0.74906,0.45822,1.42526,1.07809,1.6218,0.0048025,0.0048025,0.0048025
44,4734.32,1.2365,1.21977,1.47144,0.76691,0.69944,0.75437,0.46007,1.40395,1.0679,1.60442,0.00467875,0.00467875,0.00467875
45,4842.13,1.22552,1.19329,1.45869,0.7669,0.70816,0.75802,0.4634,1.41867,1.07881,1.61464,0.004555,0.004555,0.004555
46,4950.11,1.224,1.18482,1.45646,0.76606,0.71181,0.75932,0.46282,1.42075,1.07609,1.61489,0.00443125,0.00443125,0.00443125
