epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.053,2.58016,3.75321,3.53664,0.37379,0.38708,0.33462,0.12935,2.07619,3.27537,2.92823,0.00331956,0.00331956,0.00331956
2,201.005,1.96442,2.79085,2.5133,0.22202,0.20447,0.12772,0.04975,2.23887,4.88227,2.77295,0.00657056,0.00657056,0.00657056
3,302.363,2.01589,2.86423,2.4086,0.02127,0.08834,0.0078,0.00291,2.70353,13.2053,3.63945,0.00973907,0.00973907,0.00973907
4,402.682,2.02237,2.99307,2.36443,0.34649,0.1019,0.04095,0.01527,2.26024,11.998,2.83603,0.00962875,0.00962875,0.00962875
5,501.689,1.87065,2.69847,2.18941,0.26256,0.25683,0.18542,0.07509,2.06413,2.95743,2.42903,0.009505,0.009505,0.009505
6,599.833,1.79377,2.5149,2.09406,0.3793,0.33835,0.31035,0.13988,1.92588,2.3402,2.21461,0.00938125,0.00938125,0.00938125
7,696.595,1.72595,2.37757,2.01573,0.44852,0.35336,0.35637,0.16683,1.82407,2.38363,2.12574,0.0092575,0.0092575,0.0092575
8,793.215,1.68069,2.26142,1.96753,0.43791,0.40439,0.38007,0.1793,1.81566,2.17409,2.10565,0.00913375,0.00913375,0.00913375
9,889.834,1.63782,2.14941,1.91306,0.46382,0.42083,0.4052,0.1985,1.74894,2.15516,2.02507,0.00901,0.00901,0.00901
10,986.508,1.61664,2.09285,1.89924,0.4776,0.44779,0.42698,0.21496,1.71874,1.99084,2.00297,0.00888625,0.00888625,0.00888625
11,1083.48,1.574,2.02418,1.85823,0.54389,0.48482,0.5,0.26096,1.66221,1.8836,1.94301,0.0087625,0.0087625,0.0087625
12,1180.08,1.56094,1.97472,1.83387,0.51973,0.46135,0.46211,0.24163,1.6908,1.86195,1.97527,0.00863875,0.00863875,0.00863875
13,1276.83,1.53723,1.92439,1.81135,0.55947,0.52878,0.52587,0.27474,1.62758,1.70881,1.92912,0.008515,0.008515,0.008515
14,1373.58,1.51013,1.86546,1.78679,0.58199,0.51975,0.53661,0.28875,1.61244,1.63862,1.87502,0.00839125,0.00839125,0.00839125
15,1471.57,1.50263,1.81671,1.77009,0.62104,0.54303,0.57661,0.31408,1.59651,1.61543,1.83406,0.0082675,0.0082675,0.0082675
16,1569.19,1.48435,1.77928,1.75771,0.60258,0.56233,0.58631,0.32177,1.55825,1.62526,1.83965,0.00814375,0.00814375,0.00814375
17,1667.63,1.47685,1.74722,1.74912,0.61591,0.5763,0.60063,0.32964,1.57212,1.48454,1.82146,0.00802,0.00802,0.00802
18,1766.03,1.47117,1.73242,1.73118,0.65787,0.56585,0.61957,0.35156,1.56632,1.45429,1.80577,0.00789625,0.00789625,0.00789625
19,1864.13,1.44813,1.6928,1.71665,0.66971,0.57552,0.62336,0.34747,1.56437,1.5489,1.82198,0.0077725,0.0077725,0.0077725
20,1961.55,1.43719,1.65076,1.7062,0.68309,0.57344,0.63025,0.35653,1.52379,1.52471,1.765,0.00764875,0.00764875,0.00764875
21,2057.97,1.41971,1.6163,1.68764,0.66211,0.59906,0.64489,0.36036,1.54185,1.43603,1.7886,0.007525,0.007525,0.007525
