epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.581,1.57514,2.55018,1.69583,0.52326,0.44275,0.45345,0.23602,1.61005,1.86642,1.74471,0.00331797,0.00331797,0.00331797
2,206.981,1.57403,2.02827,1.65552,0.331,0.27051,0.2151,0.09388,1.99035,2.95914,2.21957,0.006569,0.006569,0.006569
3,312.494,1.82563,2.54065,1.89954,0.08875,0.12343,0.0305,0.01182,2.5118,16.9385,2.9985,0.00973752,0.00973752,0.00973752
4,416.003,1.94094,2.85666,2.04422,0.12556,0.13396,0.05768,0.02327,2.27454,4.37936,2.67862,0.00962875,0.00962875,0.00962875
5,520.06,1.81795,2.61506,1.94595,0.23116,0.33542,0.20731,0.08891,1.93965,2.99739,2.19734,0.009505,0.009505,0.009505
6,624.484,1.7503,2.44698,1.88343,0.38689,0.33571,0.2926,0.1314,1.81774,2.78894,2.04547,0.00938125,0.00938125,0.00938125
7,728.471,1.67208,2.27162,1.81371,0.47184,0.36506,0.38072,0.18689,1.68254,2.21092,1.90418,0.0092575,0.0092575,0.0092575
8,828.216,1.62824,2.18429,1.78125,0.46081,0.40397,0.38811,0.18779,1.71688,2.03127,1.91373,0.00913375,0.00913375,0.00913375
9,929.689,1.59677,2.08418,1.74441,0.45483,0.40275,0.39306,0.19993,1.69144,2.0025,1.92074,0.00901,0.00901,0.00901
10,1032.73,1.57244,2.02225,1.72453,0.58685,0.43501,0.47775,0.24419,1.62919,1.83568,1.82165,0.00888625,0.00888625,0.00888625
11,1136.43,1.5402,1.94853,1.69671,0.55411,0.48677,0.49131,0.25365,1.61123,1.70664,1.80074,0.0087625,0.0087625,0.0087625
12,1238.91,1.52927,1.89829,1.6872,0.57582,0.5006,0.52011,0.27797,1.55948,1.64891,1.75836,0.00863875,0.00863875,0.00863875
13,1342.71,1.50931,1.84777,1.66737,0.5794,0.52253,0.53866,0.28548,1.5671,1.58286,1.77769,0.008515,0.008515,0.008515
14,1446.01,1.49407,1.8007,1.6551,0.55647,0.51106,0.51138,0.27615,1.5608,1.61656,1.77171,0.00839125,0.00839125,0.00839125
15,1549.05,1.47238,1.75859,1.63476,0.62107,0.54624,0.57229,0.31603,1.52602,1.5019,1.72402,0.0082675,0.0082675,0.0082675
16,1650,1.45434,1.72333,1.62502,0.6314,0.52246,0.56793,0.31665,1.50481,1.52081,1.70082,0.00814375,0.00814375,0.00814375
17,1752.31,1.43852,1.68087,1.61084,0.63434,0.55423,0.59678,0.32876,1.51572,1.42718,1.72354,0.00802,0.00802,0.00802
18,1855.73,1.42849,1.6499,1.60315,0.65398,0.57072,0.61276,0.34503,1.47574,1.38747,1.68754,0.00789625,0.00789625,0.00789625
19,1959.05,1.42117,1.62849,1.59215,0.63601,0.57615,0.59869,0.33845,1.47203,1.39933,1.67951,0.0077725,0.0077725,0.0077725
20,2062.34,1.41215,1.5939,1.58222,0.66636,0.59238,0.6326,0.36082,1.45324,1.32206,1.64635,0.00764875,0.00764875,0.00764875
21,2165.69,1.39106,1.56227,1.5689,0.66104,0.59905,0.63968,0.36628,1.45625,1.29189,1.65225,0.007525,0.007525,0.007525
22,2268.99,1.38546,1.54315,1.56385,0.68516,0.61546,0.66138,0.37636,1.44539,1.28914,1.64894,0.00740125,0.00740125,0.00740125
23,2372.3,1.37527,1.52231,1.55057,0.70925,0.6053,0.66525,0.38405,1.43495,1.25736,1.63652,0.0072775,0.0072775,0.0072775
24,2475.77,1.36791,1.49183,1.54021,0.69141,0.61076,0.66795,0.38608,1.42775,1.24151,1.62701,0.00715375,0.00715375,0.00715375
25,2579.16,1.34454,1.45986,1.52941,0.68049,0.62102,0.66305,0.38918,1.42229,1.22824,1.62275,0.00703,0.00703,0.00703
26,2681.4,1.3486,1.44854,1.53232,0.71572,0.63321,0.68781,0.40802,1.40082,1.19437,1.61324,0.00690625,0.00690625,0.00690625
27,2784.75,1.33895,1.41688,1.5202,0.73995,0.62734,0.69371,0.41049,1.39162,1.18399,1.5972,0.0067825,0.0067825,0.0067825
28,2888.26,1.32059,1.39048,1.51016,0.73324,0.62959,0.69089,0.40935,1.38282,1.17018,1.59245,0.00665875,0.00665875,0.00665875
29,2991.6,1.32503,1.39797,1.50944,0.71777,0.65424,0.69949,0.41203,1.38427,1.15616,1.59232,0.006535,0.006535,0.006535
30,3091.54,1.30475,1.36697,1.49504,0.72777,0.66061,0.71382,0.42659,1.36591,1.12457,1.56515,0.00641125,0.00641125,0.00641125
31,3191.13,1.30565,1.34843,1.48829,0.74723,0.65415,0.71855,0.42679,1.37366,1.11142,1.5839,0.0062875,0.0062875,0.0062875
32,3294.41,1.29759,1.32578,1.47817,0.75078,0.66556,0.71804,0.43503,1.35827,1.09068,1.55334,0.00616375,0.00616375,0.00616375
33,3397.63,1.28685,1.29784,1.46924,0.74947,0.67774,0.72589,0.4393,1.35323,1.07193,1.55896,0.00604,0.00604,0.00604
34,3499.98,1.27723,1.29258,1.46541,0.7475,0.66914,0.72828,0.44394,1.34437,1.06672,1.54602,0.00591625,0.00591625,0.00591625
35,3603.32,1.26483,1.27197,1.45534,0.73992,0.69457,0.73413,0.44665,1.33401,1.06422,1.53973,0.0057925,0.0057925,0.0057925
36,3705.55,1.26991,1.26877,1.46434,0.74171,0.68636,0.73611,0.44658,1.33855,1.04849,1.54967,0.00566875,0.00566875,0.00566875
37,3805.91,1.25506,1.24209,1.4448,0.75056,0.69294,0.73697,0.45011,1.33705,1.04122,1.55417,0.005545,0.005545,0.005545
38,3906.56,1.25151,1.23472,1.44372,0.76074,0.68351,0.74374,0.45466,1.33251,1.02346,1.54131,0.00542125,0.00542125,0.00542125
39,4009.83,1.23783,1.21363,1.4303,0.75768,0.69192,0.74363,0.45403,1.33959,1.01544,1.54624,0.0052975,0.0052975,0.0052975
40,4113.04,1.23117,1.19694,1.43448,0.76601,0.68566,0.74556,0.45962,1.32846,1.00532,1.54373,0.00517375,0.00517375,0.00517375
41,4215.81,1.21706,1.17641,1.41313,0.7787,0.69486,0.75678,0.46599,1.31557,0.9957,1.52582,0.00505,0.00505,0.00505
42,4318.07,1.21248,1.1769,1.41661,0.78522,0.69926,0.75842,0.46534,1.32796,0.98192,1.53821,0.00492625,0.00492625,0.00492625
43,4421.3,1.21349,1.16513,1.40987,0.79306,0.69581,0.76047,0.46991,1.32078,0.97074,1.53043,0.0048025,0.0048025,0.0048025
44,4524.25,1.19653,1.13919,1.40417,0.77911,0.70057,0.76023,0.47101,1.32125,0.96881,1.53486,0.00467875,0.00467875,0.00467875
45,4623.65,1.19496,1.13351,1.39706,0.7952,0.70849,0.76465,0.47309,1.323,0.95476,1.53411,0.004555,0.004555,0.004555
46,4724.27,1.18315,1.11377,1.38773,0.78551,0.71482,0.76617,0.47206,1.32378,0.95147,1.53767,0.00443125,0.00443125,0.00443125
47,4826.63,1.17809,1.09829,1.38309,0.7914,0.71395,0.76735,0.4783,1.31469,0.94634,1.53296,0.0043075,0.0043075,0.0043075
48,4929.21,1.17523,1.08834,1.38637,0.78467,0.72158,0.77123,0.47992,1.3211,0.93921,1.53882,0.00418375,0.00418375,0.00418375
49,5032.12,1.16874,1.06617,1.37767,0.78291,0.72104,0.7703,0.48073,1.31571,0.93095,1.53292,0.00406,0.00406,0.00406
