epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.186,2.69515,4.01735,3.65273,0.20752,0.24399,0.15341,0.05223,2.30886,3.62934,3.22465,0.00331956,0.00331956,0.00331956
2,230.615,2.07408,2.93788,2.6936,0.20136,0.20329,0.11512,0.03931,2.55756,5.33995,3.19989,0.00657056,0.00657056,0.00657056
3,358.635,2.08946,2.97215,2.54329,0.04494,0.05903,0.01442,0.00457,2.72337,12.216,3.61698,0.00973907,0.00973907,0.00973907
4,470.059,2.05327,3.03845,2.44604,0.158,0.16057,0.06417,0.02552,2.32866,4.90278,2.79221,0.00962875,0.00962875,0.00962875
5,583.998,1.89392,2.72961,2.25577,0.26995,0.2316,0.16924,0.06691,2.04848,3.80107,2.46993,0.009505,0.009505,0.009505
6,694.884,1.80979,2.55309,2.16368,0.43947,0.28225,0.24808,0.10769,1.99188,2.59816,2.37702,0.00938125,0.00938125,0.00938125
7,810.696,1.74082,2.40408,2.08029,0.44322,0.36487,0.34513,0.15853,1.84213,2.3075,2.21515,0.0092575,0.0092575,0.0092575
8,924.924,1.70268,2.2856,2.0407,0.46018,0.38724,0.37245,0.17482,1.80928,2.16974,2.17817,0.00913375,0.00913375,0.00913375
9,1040.1,1.65671,2.18072,1.99118,0.43903,0.44318,0.41055,0.19757,1.73666,2.04392,2.09309,0.00901,0.00901,0.00901
10,1154.83,1.62852,2.12887,1.96693,0.46435,0.4581,0.43883,0.21363,1.70945,1.91371,2.06725,0.00888625,0.00888625,0.00888625
11,1270.34,1.59487,2.05828,1.93042,0.48522,0.45716,0.456,0.2297,1.69259,2.02447,2.03482,0.0087625,0.0087625,0.0087625
12,1382.32,1.57867,2.00784,1.90628,0.53973,0.49242,0.49817,0.26427,1.63928,1.76777,1.97737,0.00863875,0.00863875,0.00863875
13,1496.84,1.55566,1.95823,1.88609,0.53062,0.47156,0.48468,0.24958,1.59741,1.84928,1.95586,0.008515,0.008515,0.008515
14,1612.19,1.53017,1.90108,1.8632,0.5566,0.52552,0.53214,0.27885,1.61674,1.65774,1.94351,0.00839125,0.00839125,0.00839125
15,1727.13,1.51773,1.87192,1.84648,0.60938,0.54263,0.56709,0.30708,1.58958,1.67693,1.91006,0.0082675,0.0082675,0.0082675
16,1841.51,1.49696,1.81091,1.82995,0.57587,0.55592,0.5643,0.30151,1.60011,1.63758,1.89996,0.00814375,0.00814375,0.00814375
17,1955.57,1.48256,1.78351,1.81185,0.63562,0.56819,0.60661,0.3367,1.56803,1.50109,1.88255,0.00802,0.00802,0.00802
18,2066.49,1.48061,1.76261,1.811,0.62329,0.54748,0.5831,0.32732,1.55312,1.60024,1.87534,0.00789625,0.00789625,0.00789625
19,2177.14,1.46089,1.71561,1.78694,0.63552,0.57281,0.61416,0.33963,1.56462,1.53457,1.8886,0.0077725,0.0077725,0.0077725
20,2289.45,1.44585,1.66339,1.77023,0.65405,0.57763,0.62192,0.34411,1.56427,1.47512,1.85926,0.00764875,0.00764875,0.00764875
21,2404.07,1.42695,1.6404,1.75817,0.65314,0.59654,0.62899,0.35147,1.55052,1.49579,1.86682,0.007525,0.007525,0.007525
22,2517.13,1.41093,1.60886,1.74101,0.69682,0.60258,0.65278,0.37426,1.51172,1.43124,1.82018,0.00740125,0.00740125,0.00740125
23,2631.84,1.40675,1.59016,1.73953,0.68251,0.61034,0.66083,0.37802,1.50571,1.36727,1.82926,0.0072775,0.0072775,0.0072775
24,2747.14,1.40772,1.58119,1.73437,0.70313,0.62659,0.67507,0.38855,1.4843,1.31034,1.7973,0.00715375,0.00715375,0.00715375
25,2862.36,1.38538,1.53822,1.71348,0.70514,0.62797,0.68032,0.39266,1.48992,1.32644,1.80361,0.00703,0.00703,0.00703
26,2973.98,1.38943,1.52868,1.71695,0.72357,0.6206,0.68446,0.40063,1.46079,1.29294,1.77739,0.00690625,0.00690625,0.00690625
27,3087.42,1.36762,1.49839,1.69687,0.71583,0.64693,0.70196,0.40818,1.47321,1.28874,1.78412,0.0067825,0.0067825,0.0067825
28,3201.73,1.36141,1.47755,1.69035,0.72153,0.64643,0.70065,0.41118,1.45016,1.30018,1.76282,0.00665875,0.00665875,0.00665875
29,3316.27,1.34992,1.46604,1.68324,0.70287,0.66852,0.71429,0.42229,1.43261,1.23115,1.74514,0.006535,0.006535,0.006535
30,3431.32,1.34313,1.43277,1.67686,0.72481,0.65722,0.71291,0.4233,1.41842,1.2011,1.73636,0.00641125,0.00641125,0.00641125
31,3546.3,1.34046,1.4141,1.66839,0.73823,0.65421,0.71016,0.42697,1.43807,1.20715,1.74556,0.0062875,0.0062875,0.0062875
32,3658.93,1.32688,1.38631,1.6592,0.73117,0.6808,0.72259,0.43141,1.43802,1.18957,1.7504,0.00616375,0.00616375,0.00616375
33,3773.59,1.31264,1.36459,1.64616,0.74317,0.66651,0.71653,0.42917,1.43378,1.15334,1.74313,0.00604,0.00604,0.00604
34,3887.49,1.30503,1.36006,1.64085,0.77568,0.66243,0.73571,0.44125,1.41723,1.15089,1.72598,0.00591625,0.00591625,0.00591625
35,3998.28,1.3027,1.34204,1.63556,0.75007,0.6851,0.73382,0.44057,1.44047,1.14781,1.75391,0.0057925,0.0057925,0.0057925
36,4113.1,1.29538,1.32073,1.6233,0.76593,0.66563,0.73014,0.44314,1.43593,1.14586,1.73432,0.00566875,0.00566875,0.00566875
37,4226.1,1.28956,1.3118,1.6184,0.74437,0.69973,0.74015,0.45018,1.41165,1.15642,1.7212,0.005545,0.005545,0.005545
38,4340.7,1.26776,1.28923,1.60614,0.76028,0.69837,0.74547,0.45488,1.41562,1.09452,1.72266,0.00542125,0.00542125,0.00542125
39,4454.26,1.26392,1.26841,1.60299,0.75515,0.6993,0.74967,0.45712,1.39968,1.08325,1.71359,0.0052975,0.0052975,0.0052975
40,4568.98,1.25844,1.25375,1.59729,0.76539,0.69708,0.75122,0.46261,1.40238,1.06485,1.71058,0.00517375,0.00517375,0.00517375
41,4683.47,1.26088,1.24625,1.59533,0.76662,0.69988,0.75525,0.46421,1.39798,1.03665,1.7013,0.00505,0.00505,0.00505
42,4797.23,1.23911,1.22728,1.58112,0.75946,0.70647,0.75542,0.46519,1.39672,1.03431,1.70591,0.00492625,0.00492625,0.00492625
43,4911.77,1.2467,1.22238,1.58253,0.75579,0.70991,0.75657,0.46654,1.40106,1.03531,1.70795,0.0048025,0.0048025,0.0048025
44,5024.95,1.23199,1.2032,1.57351,0.7497,0.71754,0.75748,0.46723,1.3923,1.02837,1.70328,0.00467875,0.00467875,0.00467875
45,5136.53,1.22126,1.17487,1.56345,0.76448,0.71569,0.75983,0.46797,1.39732,1.03034,1.70951,0.004555,0.004555,0.004555
46,5248.18,1.21708,1.17971,1.56418,0.77039,0.71533,0.75967,0.46937,1.40196,1.03506,1.71811,0.00443125,0.00443125,0.00443125
47,5362.25,1.21518,1.16935,1.5526,0.77798,0.72149,0.76297,0.47311,1.39633,1.02507,1.70894,0.0043075,0.0043075,0.0043075
48,5476.71,1.20417,1.14875,1.54905,0.78313,0.71287,0.76491,0.47405,1.39847,1.01261,1.71328,0.00418375,0.00418375,0.00418375
49,5587.25,1.19108,1.12294,1.54036,0.78365,0.71304,0.76547,0.47293,1.39796,1.00249,1.71491,0.00406,0.00406,0.00406
50,5700.89,1.18153,1.12067,1.53054,0.77399,0.72045,0.76524,0.47399,1.3952,1.0005,1.71508,0.00393625,0.00393625,0.00393625
51,5815.19,1.17159,1.08797,1.51954,0.78177,0.721,0.77148,0.47814,1.39215,1.00984,1.71525,0.0038125,0.0038125,0.0038125
52,5929.67,1.1705,1.08391,1.51743,0.78942,0.71494,0.76926,0.47904,1.37832,1.00388,1.70609,0.00368875,0.00368875,0.00368875
53,6040.38,1.17102,1.08287,1.51807,0.7827,0.72013,0.76821,0.47813,1.38513,0.99357,1.71064,0.003565,0.003565,0.003565
54,6150.69,1.15435,1.0539,1.50821,0.77027,0.72981,0.77054,0.47946,1.38659,0.99298,1.71001,0.00344125,0.00344125,0.00344125
55,6263.12,1.14777,1.04765,1.50078,0.77763,0.72417,0.7716,0.47956,1.39332,0.98799,1.7167,0.0033175,0.0033175,0.0033175
56,6377.66,1.14019,1.04412,1.49753,0.77739,0.72556,0.76889,0.47955,1.3932,0.98616,1.71695,0.00319375,0.00319375,0.00319375
57,6488.24,1.13683,1.03208,1.4878,0.78434,0.72382,0.77002,0.48027,1.38696,0.98091,1.71644,0.00307,0.00307,0.00307
58,6602.65,1.1168,1.00668,1.47399,0.79092,0.72692,0.77321,0.48048,1.38677,0.97169,1.71821,0.00294625,0.00294625,0.00294625
59,6713.9,1.11012,0.99882,1.4669,0.79445,0.71986,0.77093,0.47928,1.38696,0.9712,1.72064,0.0028225,0.0028225,0.0028225
