epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.8507,1.55592,2.76905,1.68614,0.48674,0.44455,0.43554,0.23177,1.57624,1.88834,1.694,0.00331852,0.00331852,0.00331852
2,197.027,1.58516,2.03731,1.67792,0.27176,0.32757,0.22154,0.09112,2.04415,3.4311,2.18755,0.00656954,0.00656954,0.00656954
3,298.5,1.84527,2.5814,1.91487,0.05099,0.08258,0.02333,0.00735,2.54207,11.158,3.14712,0.00973805,0.00973805,0.00973805
4,397.487,1.95361,2.89171,2.04886,0.17392,0.17984,0.09036,0.036,2.22509,6.00381,2.46769,0.00962875,0.00962875,0.00962875
5,496.844,1.82822,2.64388,1.94717,0.24589,0.25624,0.18216,0.07601,1.9865,2.93553,2.22236,0.009505,0.009505,0.009505
6,596.56,1.74295,2.45792,1.86516,0.36635,0.33577,0.30215,0.13801,1.83661,2.53306,2.03332,0.00938125,0.00938125,0.00938125
7,694.122,1.69438,2.3065,1.81443,0.42085,0.39547,0.35381,0.16444,1.74728,2.17555,1.93569,0.0092575,0.0092575,0.0092575
8,792.157,1.64434,2.21874,1.7826,0.42179,0.35964,0.35059,0.17176,1.72043,2.12457,1.93857,0.00913375,0.00913375,0.00913375
9,890.283,1.60571,2.09788,1.74711,0.48593,0.44009,0.42188,0.2066,1.67094,1.89035,1.87622,0.00901,0.00901,0.00901
10,989.51,1.57518,2.04296,1.71962,0.49077,0.4637,0.45195,0.23075,1.64463,1.79016,1.83757,0.00888625,0.00888625,0.00888625
11,1088.79,1.56871,1.98836,1.71062,0.57313,0.45394,0.47105,0.24467,1.63354,1.7962,1.81458,0.0087625,0.0087625,0.0087625
12,1187.97,1.53888,1.9268,1.68475,0.55238,0.47529,0.49205,0.26624,1.55948,1.68272,1.7678,0.00863875,0.00863875,0.00863875
13,1285.31,1.51349,1.86644,1.66477,0.59699,0.5092,0.53647,0.28241,1.57501,1.63512,1.75935,0.008515,0.008515,0.008515
14,1383.93,1.4985,1.84039,1.64438,0.59812,0.52898,0.54624,0.28954,1.54007,1.56328,1.72958,0.00839125,0.00839125,0.00839125
15,1482.38,1.47824,1.77584,1.6308,0.5969,0.52001,0.54541,0.29951,1.52002,1.55116,1.72032,0.0082675,0.0082675,0.0082675
16,1581.15,1.46728,1.74169,1.62911,0.61318,0.53336,0.566,0.31271,1.50823,1.50217,1.70781,0.00814375,0.00814375,0.00814375
17,1679.35,1.44858,1.70298,1.6024,0.60944,0.56675,0.58471,0.32156,1.51516,1.46594,1.70073,0.00802,0.00802,0.00802
18,1778.05,1.42805,1.66914,1.58499,0.64672,0.55818,0.60374,0.34206,1.47874,1.42697,1.66777,0.00789625,0.00789625,0.00789625
19,1876.16,1.43121,1.6562,1.58998,0.64295,0.56347,0.6159,0.34883,1.47702,1.3854,1.65808,0.0077725,0.0077725,0.0077725
20,1975.57,1.41542,1.61427,1.56779,0.668,0.60838,0.64264,0.3656,1.44321,1.31331,1.64342,0.00764875,0.00764875,0.00764875
21,2072.9,1.40315,1.58319,1.56102,0.71071,0.5939,0.64925,0.36977,1.45217,1.29043,1.6328,0.007525,0.007525,0.007525
22,2170.19,1.39722,1.56016,1.54895,0.67479,0.60846,0.6512,0.3795,1.43197,1.27606,1.60574,0.00740125,0.00740125,0.00740125
23,2267.66,1.3852,1.51027,1.54416,0.68187,0.61409,0.6602,0.38371,1.42225,1.25567,1.60701,0.0072775,0.0072775,0.0072775
24,2364.94,1.37498,1.51169,1.53116,0.68731,0.63015,0.67128,0.39117,1.42116,1.22808,1.60346,0.00715375,0.00715375,0.00715375
25,2462.25,1.35348,1.48169,1.51944,0.70147,0.61856,0.67426,0.39613,1.40669,1.21881,1.59651,0.00703,0.00703,0.00703
26,2559.78,1.35616,1.47132,1.52144,0.70614,0.63001,0.68503,0.40217,1.40709,1.19299,1.5965,0.00690625,0.00690625,0.00690625
27,2657.12,1.33198,1.43318,1.50129,0.70027,0.6385,0.68259,0.4043,1.38061,1.19138,1.57927,0.0067825,0.0067825,0.0067825
28,2755.53,1.33129,1.40211,1.50145,0.73138,0.64904,0.70377,0.4134,1.39641,1.16245,1.59062,0.00665875,0.00665875,0.00665875
29,2852.89,1.32252,1.39985,1.49243,0.6988,0.67182,0.70634,0.41698,1.38058,1.1438,1.56396,0.006535,0.006535,0.006535
30,2951.24,1.31702,1.38031,1.48557,0.71593,0.66158,0.70601,0.41888,1.3709,1.11894,1.56248,0.00641125,0.00641125,0.00641125
31,3049.27,1.31812,1.35083,1.48562,0.74316,0.67695,0.72166,0.43073,1.37549,1.10122,1.5566,0.0062875,0.0062875,0.0062875
32,3146.92,1.31118,1.33886,1.47908,0.73997,0.68083,0.73105,0.43571,1.36798,1.08711,1.55568,0.00616375,0.00616375,0.00616375
33,3245,1.29362,1.32657,1.46805,0.73377,0.67612,0.72176,0.43426,1.35574,1.09238,1.54118,0.00604,0.00604,0.00604
34,3342.21,1.28708,1.30878,1.46296,0.75084,0.68153,0.73345,0.44245,1.34918,1.07207,1.52938,0.00591625,0.00591625,0.00591625
35,3440.61,1.2795,1.2911,1.45836,0.74572,0.68337,0.73339,0.44522,1.34198,1.05807,1.54112,0.0057925,0.0057925,0.0057925
36,3539.09,1.27207,1.2803,1.45367,0.7321,0.68345,0.73308,0.44705,1.3351,1.05253,1.5323,0.00566875,0.00566875,0.00566875
