epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.3646,1.55573,2.67554,1.68682,0.48518,0.44462,0.43828,0.22501,1.63267,1.88418,1.75075,0.00331903,0.00331903,0.00331903
2,196.6,1.58088,2.03588,1.66494,0.31584,0.3271,0.24655,0.1105,1.89192,3.08976,2.08463,0.00657004,0.00657004,0.00657004
3,319.32,1.84373,2.59137,1.91792,0.02084,0.03739,0.00322,0.00067,2.97652,53.9171,3.71903,0.00973855,0.00973855,0.00973855
4,418.384,1.95692,2.94949,2.0747,0.14663,0.1174,0.05347,0.02024,2.32296,4.87345,2.61981,0.00962875,0.00962875,0.00962875
5,517.29,1.8332,2.67298,1.97544,0.31968,0.2545,0.21815,0.09498,1.99221,2.79092,2.23958,0.009505,0.009505,0.009505
6,616.93,1.75635,2.4867,1.89321,0.31152,0.32225,0.25346,0.11459,1.83706,2.58368,2.04551,0.00938125,0.00938125,0.00938125
7,715.825,1.69085,2.325,1.83829,0.40691,0.35781,0.32648,0.15745,1.77853,2.18029,1.98981,0.0092575,0.0092575,0.0092575
8,813.713,1.6495,2.23527,1.80908,0.46629,0.38147,0.37092,0.17623,1.73055,2.1507,1.9625,0.00913375,0.00913375,0.00913375
9,912.326,1.61561,2.13677,1.77131,0.48228,0.41802,0.40246,0.20112,1.71937,1.97923,1.92284,0.00901,0.00901,0.00901
10,1012.03,1.59026,2.05412,1.75101,0.50161,0.43575,0.43799,0.22222,1.66289,1.87939,1.83404,0.00888625,0.00888625,0.00888625
11,1111.93,1.55485,1.98015,1.70925,0.51485,0.48683,0.47181,0.24231,1.6439,1.85276,1.84056,0.0087625,0.0087625,0.0087625
12,1211.56,1.54035,1.93083,1.70093,0.57093,0.47253,0.50085,0.26301,1.59596,1.70692,1.81411,0.00863875,0.00863875,0.00863875
13,1310.63,1.51442,1.8708,1.68255,0.54851,0.52853,0.52972,0.28657,1.57303,1.60237,1.76817,0.008515,0.008515,0.008515
14,1408.22,1.4931,1.8259,1.65204,0.58712,0.51814,0.53373,0.28972,1.58551,1.60132,1.77109,0.00839125,0.00839125,0.00839125
15,1506.53,1.48678,1.79605,1.64977,0.59595,0.5388,0.55304,0.30555,1.52975,1.53262,1.71806,0.0082675,0.0082675,0.0082675
16,1604.9,1.47454,1.76628,1.64213,0.64929,0.55233,0.58801,0.32168,1.5259,1.47209,1.70955,0.00814375,0.00814375,0.00814375
17,1704.68,1.46126,1.70644,1.62261,0.63567,0.564,0.59653,0.33165,1.52743,1.44145,1.71852,0.00802,0.00802,0.00802
18,1804.64,1.43101,1.6645,1.60716,0.62167,0.58318,0.60402,0.34286,1.49366,1.42385,1.6776,0.00789625,0.00789625,0.00789625
19,1904.11,1.42663,1.64192,1.59731,0.62648,0.59022,0.60594,0.33967,1.49428,1.40577,1.67573,0.0077725,0.0077725,0.0077725
20,2001.68,1.41838,1.62052,1.58641,0.66587,0.59341,0.62979,0.35883,1.47689,1.35564,1.673,0.00764875,0.00764875,0.00764875
21,2100.53,1.40378,1.57885,1.57579,0.66037,0.60187,0.64367,0.3654,1.46288,1.31936,1.64197,0.007525,0.007525,0.007525
22,2198.65,1.37667,1.54477,1.55738,0.67348,0.60919,0.65389,0.3749,1.45636,1.31427,1.64902,0.00740125,0.00740125,0.00740125
23,2298.16,1.39258,1.54087,1.56164,0.68148,0.61409,0.65356,0.3761,1.44514,1.29579,1.6293,0.0072775,0.0072775,0.0072775
24,2396.67,1.36653,1.50237,1.53967,0.68073,0.61073,0.65195,0.38241,1.4127,1.2805,1.61134,0.00715375,0.00715375,0.00715375
25,2496.06,1.3601,1.48299,1.53802,0.69576,0.63853,0.67533,0.39518,1.42421,1.21418,1.60369,0.00703,0.00703,0.00703
26,2594.1,1.35797,1.48176,1.53487,0.72305,0.61811,0.68397,0.40152,1.4069,1.22191,1.60131,0.00690625,0.00690625,0.00690625
27,2693.12,1.34076,1.44789,1.52351,0.71398,0.64075,0.69365,0.40551,1.39637,1.18957,1.58667,0.0067825,0.0067825,0.0067825
28,2791.35,1.32815,1.41314,1.51123,0.72228,0.65086,0.70276,0.41222,1.40265,1.15307,1.5903,0.00665875,0.00665875,0.00665875
29,2890.39,1.31952,1.39758,1.49903,0.72411,0.65236,0.70153,0.41771,1.39743,1.14993,1.58609,0.006535,0.006535,0.006535
30,2989.33,1.31444,1.39264,1.49688,0.72541,0.63171,0.70584,0.41674,1.37998,1.15001,1.5714,0.00641125,0.00641125,0.00641125
31,3088.52,1.30726,1.36097,1.4857,0.71033,0.66408,0.70774,0.423,1.38207,1.12266,1.57205,0.0062875,0.0062875,0.0062875
32,3187.01,1.3107,1.35522,1.48867,0.72455,0.66134,0.70883,0.42512,1.37819,1.11469,1.56286,0.00616375,0.00616375,0.00616375
33,3285.29,1.29327,1.32209,1.47536,0.74497,0.67496,0.7285,0.43652,1.38088,1.07905,1.56251,0.00604,0.00604,0.00604
34,3383.78,1.29207,1.30527,1.47679,0.75949,0.66907,0.73054,0.4401,1.37598,1.06321,1.56179,0.00591625,0.00591625,0.00591625
35,3481.9,1.27442,1.29457,1.46237,0.72661,0.68034,0.72377,0.43882,1.35969,1.07583,1.5519,0.0057925,0.0057925,0.0057925
36,3580.04,1.27534,1.288,1.46771,0.75288,0.67643,0.7306,0.44653,1.36064,1.05313,1.5564,0.00566875,0.00566875,0.00566875
37,3679,1.25993,1.26629,1.4456,0.74774,0.67994,0.73608,0.44832,1.34662,1.03565,1.53926,0.005545,0.005545,0.005545
38,3778.16,1.25579,1.24192,1.45162,0.7219,0.70212,0.73707,0.44897,1.34679,1.03022,1.53948,0.00542125,0.00542125,0.00542125
39,3877.49,1.25243,1.24636,1.44964,0.74391,0.68472,0.73742,0.45279,1.34335,1.0158,1.53911,0.0052975,0.0052975,0.0052975
40,3975.72,1.24912,1.22074,1.44219,0.74441,0.70419,0.74397,0.4592,1.33829,1.00304,1.53662,0.00517375,0.00517375,0.00517375
