epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.051,1.55965,2.6543,1.66717,0.4777,0.43343,0.42112,0.21588,1.6774,2.04331,1.78062,0.00331956,0.00331956,0.00331956
2,200.58,1.60259,2.07889,1.68875,0.29656,0.24956,0.19855,0.0799,2.12462,4.21434,2.30321,0.00657056,0.00657056,0.00657056
3,302.493,1.85858,2.61961,1.92982,0.51139,0.02618,0.00647,0.00234,2.7366,26.7596,3.3458,0.00973907,0.00973907,0.00973907
4,402.902,1.95546,2.94037,2.05672,0.22403,0.17771,0.11948,0.04582,2.18809,6.36281,2.44898,0.00962875,0.00962875,0.00962875
5,503.529,1.82063,2.65837,1.95619,0.2275,0.22562,0.14532,0.06071,2.07091,3.25065,2.3099,0.009505,0.009505,0.009505
6,603.101,1.74313,2.453,1.87226,0.41258,0.34316,0.30106,0.13643,1.88449,2.60108,2.05955,0.00938125,0.00938125,0.00938125
7,702.874,1.68941,2.32967,1.83157,0.38308,0.37833,0.33172,0.15737,1.85868,2.50885,2.05015,0.0092575,0.0092575,0.0092575
8,804.598,1.65192,2.22737,1.79873,0.45725,0.36721,0.36081,0.17285,1.85006,2.35071,2.0081,0.00913375,0.00913375,0.00913375
9,904.119,1.60722,2.11717,1.7625,0.49877,0.43887,0.42667,0.21774,1.684,2.01842,1.85439,0.00901,0.00901,0.00901
10,1004.03,1.59211,2.07015,1.74488,0.52792,0.45622,0.45537,0.2328,1.63522,1.84257,1.82054,0.00888625,0.00888625,0.00888625
11,1105.25,1.55468,1.98369,1.71284,0.53146,0.46582,0.47947,0.25051,1.664,1.84381,1.82447,0.0087625,0.0087625,0.0087625
12,1204.63,1.54439,1.94211,1.69318,0.55566,0.49212,0.4935,0.26346,1.63798,1.78635,1.79853,0.00863875,0.00863875,0.00863875
13,1305.09,1.52242,1.89129,1.68035,0.58102,0.50276,0.52462,0.27648,1.6118,1.7776,1.80232,0.008515,0.008515,0.008515
14,1404.27,1.49655,1.83649,1.66276,0.60737,0.53287,0.55978,0.30367,1.59857,1.62761,1.75255,0.00839125,0.00839125,0.00839125
15,1503.56,1.48449,1.79634,1.64682,0.59815,0.52372,0.55519,0.30043,1.58588,1.62892,1.73843,0.0082675,0.0082675,0.0082675
16,1602.9,1.46929,1.74425,1.63354,0.6351,0.5272,0.56875,0.3148,1.56852,1.58072,1.72359,0.00814375,0.00814375,0.00814375
17,1703.8,1.45687,1.71673,1.62162,0.64972,0.55315,0.60068,0.33345,1.56957,1.46951,1.70764,0.00802,0.00802,0.00802
18,1801.98,1.4559,1.69553,1.61505,0.6362,0.5734,0.59993,0.33944,1.52785,1.50475,1.6885,0.00789625,0.00789625,0.00789625
19,1900.97,1.42992,1.67086,1.60993,0.67816,0.55887,0.61756,0.34574,1.52342,1.57628,1.69227,0.0077725,0.0077725,0.0077725
20,2001.53,1.42,1.61771,1.58259,0.65104,0.57957,0.61394,0.3442,1.53494,1.5353,1.69739,0.00764875,0.00764875,0.00764875
21,2103.45,1.4005,1.59075,1.5705,0.67979,0.58619,0.6344,0.35894,1.54212,1.4916,1.69324,0.007525,0.007525,0.007525
22,2202.7,1.39473,1.56691,1.56463,0.6801,0.59224,0.64214,0.36436,1.52039,1.4238,1.66577,0.00740125,0.00740125,0.00740125
23,2302.39,1.38767,1.54075,1.55297,0.69553,0.60377,0.65697,0.3784,1.4867,1.36133,1.62784,0.0072775,0.0072775,0.0072775
24,2403.42,1.38347,1.52438,1.55235,0.70385,0.60024,0.65918,0.38378,1.49108,1.36062,1.65903,0.00715375,0.00715375,0.00715375
25,2501.74,1.36405,1.50138,1.53812,0.66998,0.6398,0.66834,0.38805,1.48648,1.43891,1.63768,0.00703,0.00703,0.00703
26,2602.61,1.36641,1.48778,1.52877,0.69176,0.6315,0.67779,0.39947,1.46838,1.34695,1.6091,0.00690625,0.00690625,0.00690625
27,2704.42,1.34617,1.45305,1.52029,0.70573,0.63374,0.68151,0.40264,1.45841,1.36331,1.61116,0.0067825,0.0067825,0.0067825
28,2805.69,1.33984,1.43976,1.51437,0.70531,0.64322,0.69293,0.41032,1.41677,1.21905,1.58658,0.00665875,0.00665875,0.00665875
