epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.1762,1.74091,2.62889,1.74817,0.42235,0.3607,0.34002,0.16711,1.75513,2.3413,1.79651,0.00331903,0.00331903,0.00331903
2,195.727,1.6685,2.04826,1.66256,0.28025,0.30887,0.21815,0.09449,1.93801,3.39153,2.09767,0.00657004,0.00657004,0.00657004
3,295.34,1.90494,2.65569,1.93219,0.28768,0.0478,0.0159,0.00516,2.75476,18.2547,3.15312,0.00973855,0.00973855,0.00973855
4,393.756,1.9859,2.96492,2.06742,0.1535,0.1654,0.08886,0.03573,2.20193,5.39708,2.4301,0.00962875,0.00962875,0.00962875
5,492.933,1.84255,2.66363,1.95467,0.30611,0.25988,0.21019,0.08432,2.03501,3.14059,2.22898,0.009505,0.009505,0.009505
6,591.589,1.76537,2.50305,1.89036,0.33345,0.2507,0.21584,0.09899,1.89169,2.83793,2.09664,0.00938125,0.00938125,0.00938125
7,690.534,1.70645,2.34555,1.8465,0.42177,0.3706,0.34105,0.16439,1.76812,2.17111,1.96172,0.0092575,0.0092575,0.0092575
8,789.939,1.65495,2.24946,1.80213,0.47272,0.41183,0.38358,0.1786,1.74522,2.14496,1.93031,0.00913375,0.00913375,0.00913375
9,888.249,1.61743,2.14675,1.7654,0.51415,0.42349,0.43064,0.21184,1.69261,1.90686,1.89272,0.00901,0.00901,0.00901
10,985.89,1.59069,2.07415,1.74758,0.52194,0.43573,0.45331,0.22612,1.69238,1.82064,1.86918,0.00888625,0.00888625,0.00888625
11,1083.19,1.55564,2.00231,1.70989,0.52467,0.47546,0.46589,0.23931,1.65802,1.77991,1.85094,0.0087625,0.0087625,0.0087625
12,1180.91,1.54186,1.95134,1.70816,0.56578,0.50315,0.51723,0.27306,1.57003,1.73351,1.79005,0.00863875,0.00863875,0.00863875
13,1279.85,1.51758,1.89307,1.68359,0.58312,0.50897,0.53674,0.28773,1.55861,1.62331,1.75362,0.008515,0.008515,0.008515
14,1376.99,1.4979,1.85359,1.66607,0.61469,0.4893,0.52723,0.28068,1.60068,1.59988,1.77841,0.00839125,0.00839125,0.00839125
15,1474.46,1.48394,1.80975,1.65592,0.61922,0.50796,0.54882,0.30208,1.57112,1.57531,1.75481,0.0082675,0.0082675,0.0082675
16,1572.86,1.47599,1.78014,1.64121,0.61316,0.53085,0.56762,0.31107,1.53255,1.51253,1.71813,0.00814375,0.00814375,0.00814375
17,1670.65,1.45895,1.7248,1.62244,0.59615,0.57066,0.59336,0.32665,1.51055,1.44121,1.70582,0.00802,0.00802,0.00802
18,1768.9,1.43283,1.68469,1.60757,0.65972,0.54789,0.60135,0.34016,1.49018,1.42753,1.67754,0.00789625,0.00789625,0.00789625
19,1867.96,1.42934,1.65721,1.60507,0.60974,0.58324,0.60797,0.3427,1.48115,1.38536,1.67301,0.0077725,0.0077725,0.0077725
20,1967.41,1.41688,1.62736,1.58739,0.6808,0.58472,0.63472,0.36117,1.4649,1.33497,1.66151,0.00764875,0.00764875,0.00764875
21,2066.1,1.40197,1.59021,1.58291,0.68402,0.60118,0.64078,0.36239,1.46833,1.32023,1.64754,0.007525,0.007525,0.007525
22,2163.7,1.37807,1.56097,1.55646,0.66301,0.60017,0.64634,0.36853,1.4697,1.32872,1.64936,0.00740125,0.00740125,0.00740125
23,2262.31,1.39084,1.54687,1.56518,0.67547,0.59335,0.64006,0.36784,1.44356,1.29603,1.62903,0.0072775,0.0072775,0.0072775
24,2360.93,1.36911,1.51803,1.5547,0.69735,0.60887,0.66304,0.38379,1.41659,1.26408,1.61656,0.00715375,0.00715375,0.00715375
25,2458.22,1.3596,1.49389,1.54794,0.72608,0.61943,0.67716,0.40127,1.41961,1.22551,1.60566,0.00703,0.00703,0.00703
26,2555.93,1.35313,1.48955,1.53965,0.72543,0.6194,0.69346,0.40084,1.4245,1.19887,1.61761,0.00690625,0.00690625,0.00690625
27,2653.7,1.34535,1.4513,1.53085,0.70587,0.64925,0.69482,0.40724,1.40915,1.17366,1.5998,0.0067825,0.0067825,0.0067825
28,2752.11,1.32618,1.41677,1.5165,0.73829,0.6294,0.69723,0.41074,1.40951,1.15928,1.59699,0.00665875,0.00665875,0.00665875
29,2852.21,1.31829,1.40294,1.51283,0.73931,0.63813,0.70266,0.41373,1.39588,1.15883,1.60248,0.006535,0.006535,0.006535
30,2951.14,1.31562,1.39751,1.50703,0.73388,0.67006,0.71255,0.42581,1.38197,1.11856,1.58054,0.00641125,0.00641125,0.00641125
